AllAuthors;FirstName1stAuthor;Gender;Place;Year;NumberOfAuthors;Title;Conference;FirstName2ndAuthor;Gender2;FirstName3rdAuthor;Gender3;FirstName4thAuthor;Gender4;FirstName5thAuthor;Gender5;FirstName6thAuthor;Gender6;FirstName7thAuthor;Gender7;FirstName8thAuthor;Gender8;FirstName9thAuthor;Gender9;FirstName10thAuthor;Gender10;FirstName11thAuthor;Gender11;FirstName12thAuthor;Gender12;FirstName13thAuthor;Gender13;FirstName14thAuthor;Gender14;FirstName15thAuthor;Gender15;FirstName16thAuthor;Gender16;FirstName17thAuthor;Gender17;Probability1;Probability2;Probability3;Probability4;Probability5;Probability6;Probability7;Probability8;Probability9;Probability10;Probability11;Probability12;Probability13;Probability14;Probability15;Probability16;Probability17;
['Daniele Pozzi '];Daniele;male;USA;2019;1;ELSE: AN ARTISTIC STUDY ON ALGORITHMIC AGENCY IN SOUND SYNTHESIS COMPOSITION;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;;;;;;;;;;;;;;;;;
['Danilo Rossetti', 'Jonatas Manzoli '];Danilo;male;USA;2019;2;CREATING TIMBRE IN SPACE: GRANULAR SYNTHESIS AND AMBISONICS SPATIALIZATION STUDY AND COMPOSITION;ICMC;Jonatas;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;1.0;;;;;;;;;;;;;;;;
['Donya Quick', 'Christopher Burrows '];Donya;female;USA;2019;2;EVALUATING NATURAL LANGUAGE FOR MUSICAL OPERATIONS;ICMC;Christopher;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.99;;;;;;;;;;;;;;;;
['Dustin Lee', 'Andrew Horner '];Dustin;male;USA;2019;2;A COMPARISON OF THE EMOTIONAL CHARACTERISTICS OF THE VIOLIN AND ERHU ON THE BUTTERFLY LOVERS CONCERTO;ICMC;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;;;;;;;;;;;;;;;;
['Edgar Berdahl', 'Anthony T. Marasco '];Edgar;male;USA;2019;2;"PROPOSING ""COMPUTER BENDING"" AND ""CIRCUIT VACUUMING"" AS TECHNIQUES IN EXPERIMENTAL MUSIC";ICMC;Anthony;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Edgar Berdahl', 'Chase Mitchusson', 'William Montgomery '];Edgar;male;USA;2019;3;"AN INITIATIVE IN EMBEDDED SOUND ART WITH FOUND OBJECTS: ""WHAT'S OLD IS NEW"" ";ICMC;Chase;male;William;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.97;0.99;;;;;;;;;;;;;;;
['Emiliano del Cerro '];Emiliano;male;USA;2019;1;3D SOUND DIFFUSION IN CONCERT HALL;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Eric Lemmon '];Eric;male;USA;2019;1;THE IMPACT OF INSTITUTIONAL SUPPORT ON ARTISTIC RESEARCH AND CREATION: THE COLUMBIA-PRINCETON ELECTRONIC MUSIC CENTER AND THE RCA MARK II;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Eric Lyon '];Eric;male;USA;2019;1;MULTICHANNEL SOUND DESIGN ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Eric Sheffield', 'William A Thompson', 'Edgar Berdahl '];Eric;male;USA;2019;3;TWO DIFFERENT PARADIGMS FOR NETWORK AUDIO PERFORMANCE WITH A LAPTOP ENSEMBLE ;ICMC;William;male;Edgar;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;;;;;;;;;;;;;;;
['Frédéric Dufeu', 'Keitaro Takahashi', 'Axel Roebel', 'Michael Clarke '];Frédéric;male;USA;2019;4;THE IRIMAS SOFTWARE: INTEGRATING INTERACTIVE LISTENING AND PLAY INTO MUSICOLOGICAL RESEARCH;ICMC;Keitaro;male;Axel;male;Michael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.98;0.99;;;;;;;;;;;;;;
['Georg Boenn '];Georg;male;USA;2019;1;AN EFFICIENT ALGORITHM FOR COMPOSING POLYRHYTHMIC SEQUENCES ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Guillaume Boutard '];Guillaume;male;USA;2019;1;IS THERE A DIGITAL ARCHIVIST IN THE ROOM? THE PRESERVATION OF MUSIQUE MIXTE;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Halldor A. Ulfarsson '];Halldor;male;USA;2019;1;FEEDBACK MAYHEM. COMPOSITIONAL AFFORDANCES OF THE HALLDOROPHONE DISCUSSED BY ITS USERS;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;
['Hiu Ting Chan', 'Bing Yen Chang', 'Andrew Horner '];Hiu;None;USA;2019;3;THE EMOTIONAL CHARACTERISTICS OF WOODWIND MUSICAL INSTRUMENTS WITH DIFFERENT PITCH AND DYNAMICS;ICMC;Bing;male;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;0.63;0.99;;;;;;;;;;;;;;;
['Hiu Ting Chan', 'Ronald Mo', 'Christopher Keyes', 'Andrew Horner '];Hiu;None;USA;2019;4;THE EMOTIONAL CHARACTERISTICS OF BRASS MUSICAL INSTRUMENTS WITH DIFFERENT PITCH AND DYNAMICS;ICMC;Ronald;male;Christopher;male;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;0.99;0.99;0.99;;;;;;;;;;;;;;
['Ian S. Gibson '];Ian;male;USA;2019;1;PROXSYNITY: A REAL-TIME, NETWORKED, PERFORMANCE SYSTEM ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['J Diaz '];J;male;USA;2019;1;TOWARD A QUEER CONCEPT OF THE SCORE ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;;;;;;;;;;;;;;;;;
['Jack Woodbury', 'Mo Zareei '];Jack;male;USA;2019;2;A TREE FALLS: TO ACOUSTICALLY SIGNIFY AUDIENCE PROXIMITY;ICMC;Mo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.8;;;;;;;;;;;;;;;;
['Javier A. Garavaglia '];Javier;male;USA;2019;1;SPATIALISATING THE SAME ACOUSMATIC COMPOSITION IN DIFFERENT VENUES FEATURING HIGH-DENSITY LOUDSPEAKER ARRAYS;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Jesse Austin-Stewart', 'Mo Zareei '];Jesse;male;USA;2019;2;THE EXTENDED STEREO SPEAKER CONFIGURATION AS AN INDIVIDUAL SPATIAL EXPERIENCE;ICMC;Mo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;0.8;;;;;;;;;;;;;;;;
['John M. Bowers', 'Kerry Hagan '];John;male;USA;2019;2;IMPROVISATION AT THE EDGE OF CHAOS: A WORKED-THROUGH DESIGN AND PERFORMANCE PRACTICE FOR ELECTRONIC IMPROVISATION;ICMC;Kerry;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.8;;;;;;;;;;;;;;;;
['Jonathan Bell '];Jonathan;male;USA;2019;1;THE RISSET CYCLE, RECENT USE CASES WITH SMARTVOX ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Jonathan Pitkin '];Jonathan;male;USA;2019;1;QTCHECK: A COMPOSERS’ TOOL FOR CHECKING PLAYABILITY OF MUSIC FOR QUARTER- TONE ALTO FLUTE ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Jonathon Kirk', 'Brent Wetters '];Jonathon;male;USA;2019;2;MADERNA'S MAHLER: A MODEL FOR ELECTROACOUSTIC COMPOSITION ;ICMC;Brent;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;;;;;;;;;;;;;;;;
['José Miguel Fernande', 'Jean-Louis Giavitto', 'Pierre Donat-Bouillud '];José;male;USA;2019;3;ANTESCOLLIDER: CONTROL AND SIGNAL PROCESSING IN THE SAME SCORE ;ICMC;Jean-Louis;male;Pierre;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.99;0.99;;;;;;;;;;;;;;;
['Juan A. Parra Cancino', 'Jonathan Impett '];Juan;male;USA;2019;2;STUDIO REPORT: MTT AT THE ORPHEUS INSTITUTE ;ICMC;Jonathan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;;
['Juan Carlos Vasquez '];Juan;male;USA;2019;1;CONSIDERATIONS ON SOUND ART DOCUMENTATION: THEORIES AND CASE STUDIES 323;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Ken Paoli '];Ken;male;USA;2019;1;HINDEMITH AND ALGORITHMIC HARMONIC GENERATION ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Kevin Parks '];Kevin;male;USA;2019;1;PERFORMING AND LISTENING BODIES ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Kıvanç Tatar', 'Philippe Pasquier', 'Remy Siu '];Kıvanç;male;USA;2019;3;AUDIO-BASED MUSICAL ARTIFICIAL INTELLIGENCE AND AUDIO-REACTIVE VISUAL AGENTS IN REVIVE;ICMC;Philippe;male;Remy;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.99;0.87;;;;;;;;;;;;;;;
['Laura Bianchini', 'Michelangelo Lupone', 'Silvia Lanzalone', 'Alessio Gabriele '];Laura;female;USA;2019;4;AUGMENTED INSTRUMENTS AT CRM – CENTRO RICERCHE MUSICALI OF ROME: FEED- DRUM, SKINACT, WINDBACK AND RESOFLUTE;ICMC;Michelangelo;male;Silvia;female;Alessio;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.99;0.99;;;;;;;;;;;;;;
['Laurie C. Radford '];Laurie;female;USA;2019;1;TO MIX OR NOT TO MIX: UNIFYING THE CREATIVE PROCESS IN COMPOSING FOR INSTRUMENTS AND ELECTRONICS;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;;;;;;;;;;;;;;;;;
['Logan B. Barrett '];Logan;male;USA;2019;1;"EXTENDED COMBINATORIAL STRUCTURES IN ""OUT OF TIME""  ";ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;;;;;;;;;;;;;;;;;
['M Benjamin Smith', 'Jordan Munson', 'Christopher Kincaid', 'Jason Palamara '];M;male;USA;2019;4;TEACHING COMPUTER MUSIC PERFORMANCE: DESIGNING AN APPLIED MUSIC TECHNOLOGY CURRICULU;ICMC;Jordan;male;Christopher;male;Jason;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.97;0.99;0.99;;;;;;;;;;;;;;
['Manuella R. Blackburn '];Manuella;female;USA;2019;1;WORKING WITH BREVITY: SHORT SOUNDFILES IN ELECTROACOUSTIC COMPOSITION ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Mara M Helmuth', 'Shawn Milloway', 'Zhixin Xu', 'Yunze Mu', 'Owen Hopper', 'Jacob Duber '];Mara;female;USA;2019;6;CCM CENTER FOR COMPUTER MUSIC STUDIO REPORT 2019;ICMC;Shawn;male;Zhixin;male;Yunze;male;Owen;male;Jacob;male;;;;;;;;;;;;;;;;;;;;;;;0.96;0.97;0.82;1.0;0.98;0.99;;;;;;;;;;;;
['Marc Evanstein '];Marc;male;USA;2019;1;CLOCKBLOCKS: A PURE-PYTHON LIBRARY FOR CONTROLLING MUSICAL TIME ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Marie C González-Inostroza', 'Rodrigo F. Cadiz '];Marie;female;USA;2019;2;PLAY YOUR TABLET: A SURVEY OF PERFORMATIVE MUSICAL APPS, FOCUSED ON INTERACTION;ICMC;Rodrigo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;;
['Masatoshi Hamanaka', 'Mizuki Kobayashi', 'Kyoko Otagawa', 'Mayumi Shimada '];Masatoshi;male;USA;2019;4;MELODY SLOT MACHINE: MELODY MORPHING BY USING TIME-SPAN TREE OF GTTM;ICMC;Mizuki;None;Kyoko;female;Mayumi;female;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.73;0.97;0.98;;;;;;;;;;;;;;
['Matthew Goodheart', 'Jeremy Stewart '];Matthew;male;USA;2019;2;MUSIC INTELLIGENCE AND KNOWLEDGE AGENT (MIKA) ;ICMC;Jeremy;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;;;;;;;;;;;;;;;;
['Max Neupert', 'Clemens Wegener '];Max;male;USA;2019;2;EXCITED SOUNDS AUGMENTED BY GESTURAL CONTROL ;ICMC;Clemens;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;;
['Michael V. Blandino '];Michael;male;USA;2019;1;FIELDFLOWS: OSCILLATING SOUND FIELDS OF NEAR-HARMONIC FREQUENCIES FOR SPATIAL AUDIO EFFECTS ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Mick S. Grierson', 'Matthew Yee-King', 'Louis McCallum', 'Chris Kiefer', 'Michael Zbyszynski '];Mick;male;USA;2019;5;CONTEMPORARY MACHINE LEARNING FOR AUDIO AND MUSIC GENERATION ON THE WEB: CURRENT CHALLENGES AND POTENTIAL SOLUTIONS;ICMC;Matthew;male;Louis;male;Chris;male;Michael;male;;;;;;;;;;;;;;;;;;;;;;;;;0.98;1.0;0.97;0.9;0.99;;;;;;;;;;;;;
['Miller Puckette', 'Kerry Hagan '];Miller;male;USA;2019;2;REMNANT: EXPLORING PRESENCE AND ABSENCE THROUGH ACOUSTIC DISTURBANCES IN SPACE;ICMC;Kerry;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;0.8;;;;;;;;;;;;;;;;
['Minjie Lu', 'Xiao Hu', 'Yanmin Han '];Minjie;female;USA;2019;3;CREATION AND PRACTICE OF FANTASY SCENE MUSIC THEATRE OF CHINESE TRADITIONAL INSTRUMENTS AND ELECTRONIC MUSIC;ICMC;Xiao;male;Yanmin;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.56;0.77;;;;;;;;;;;;;;;
['Miriam Akkermann '];Miriam;female;USA;2019;1;WHAT IS SAVED? CONSIDERATIONS ON DOCUMENTING, ARCHIVING AND (RE-)PERFORMING COMPUTER MUSIC;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Motohiro A Suzuki', 'Andrew Telichan-Phillips', 'Scott Murakami', 'Toshihisa Tsuruoka', 'Tae Hong Park '];Motohiro;male;USA;2019;5;STUDIO REPORT 2019: NEW YORK UNIVERSITY (NYU) MUSIC COMPOSITION & TECHNOLOGY PROGRAMS;ICMC;Andrew;male;Scott;male;Toshihisa;male;Tae;male;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;0.99;1.0;0.86;;;;;;;;;;;;;
['Natasha L. Barrett '];Natasha;female;USA;2019;1;COMPOSING IMAGES IN SPACE: SCHAEFFER'S ALLURE PROJECTED IN HIGHER-ORDER AMBISONICS;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Nick Collins', 'Shelly Knotts '];Nick;male;USA;2019;2;A JAVASCRIPT MUSICAL MACHINE LISTENING LIBRARY ;ICMC;Shelly;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.96;;;;;;;;;;;;;;;;
['Omar A. Peracha', 'Shawn Head '];Omar;male;USA;2019;2;GANKYOKU: A GENERATIVE ADVERSARIAL NETWORK FOR SHAKUHACHI MUSIC ;ICMC;Shawn;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.97;;;;;;;;;;;;;;;;
['Pedro Rebelo', 'Michael McKnight '];Pedro;male;USA;2019;2;SPACES IN BETWEEN – TOWARDS AMBIGUITY IN IMMERSIVE AUDIO EXPERIENCES ;ICMC;Michael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['PerMagnus Lindborg '];PerMagnus;male;USA;2019;1;WHAT IS THE COLOUR OF THAT EA MUSIC?  ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;
['Pierre Alexandre Tremblay', 'Owen Green', 'Gerard Roma', 'Alex Harker '];Pierre;male;USA;2019;4;FROM COLLECTIONS TO CORPORA: EXPLORING SOUNDS THROUGH FLUID DECOMPOSITION ;ICMC;Owen;male;Gerard;male;Alex;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.98;0.9;;;;;;;;;;;;;;
['Richard A. Garrett '];Richard;male;USA;2019;1;BUBBLES: AN OBJECT-ORIENTED APPROACH TO OBJECT-BASED SOUND FOR SPATIAL COMPOSITION AND BEYOND;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Rob Hamilton '];Rob;male;USA;2019;1;TROIS MACHINS DE LA GRÂCE AIMANTE: A VIRTUAL REALITY STRING QUARTET ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Robert A. Mackay '];Robert;male;USA;2019;1;STRATA SEQUENCE: FROM MUSICAL ROCKS TO PALAEOSOUNDSCAPES ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Robert Pritchard '];Robert;male;USA;2019;1;TRACKING AND SMART TEXTILES ENVIRONMENT (TASTE) ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Robert Richey '];Robert;male;USA;2019;1;INDICATORS OF INTENSITY: A COMPOSITION VIA THE SONIFICATION OF CYCLING DATA;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Ryota Matsui', 'Yoshinari Takegawa', 'Keiji Hirata '];Ryota;male;USA;2019;3;REMOTE PIANO LESSON SYSTEM CONSIDERING CAMERA SWITCHING;ICMC;Yoshinari;male;Keiji;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;0.99;;;;;;;;;;;;;;;
['Sabine Breitsameter '];Sabine;female;USA;2019;1;SCULPTING AND LANDSCAPING WITH SOUND. CRITICAL APPROACHES TO DEVELOPING SPECIFIC ARTISTIC STRATEGIES IN AND WITH 3D AUDIO;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Scott Peteresen', 'Mark Santolucito', 'Konrad Kaczmarek '];Scott;male;USA;2019;3;STUDIO REPORT: YALE OPEN MUSIC INITIATIVE ;ICMC;Mark;male;Konrad;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;1.0;;;;;;;;;;;;;;;
['Seth D Thorn', 'Byron Lahey '];Seth;male;USA;2019;2;A HAPTIC-FEEDBACK SHOULDER REST FOR THE HYBRID VIOLIN ;ICMC;Byron;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.98;;;;;;;;;;;;;;;;
['Seth Shafer', 'Timothy Larson', 'Elaine diFalco '];Seth;male;USA;2019;3;THE SONIFICATION OF SOLAR HARMONICS (SOSH) PROJECT ;ICMC;Timothy;male;Elaine;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.98;;;;;;;;;;;;;;;
['Sever Tipei '];Sever;male;USA;2019;1;CONTROL, INDETERMINACY, NARRATIVE AND DIALOGUE IN GHIOC FOR SAXOPHONE AND FIXED MEDIA ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;;;;;;;;;;;;;;;;;
['Stefan Riedel '];Stefan;male;USA;2019;1;DESIGN AND CONTROL OF MIXED-ORDER SPHERICAL LOUDSPEAKER ARRAYS ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Tae Hong Park', 'Toshihisa Tsuruoka '];Tae;male;USA;2019;2;GENERATIVE BOOKSCAPES: TOWARDS IMMERSIVE AND INTERACTIVE BOOK READING;ICMC;Toshihisa;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;1.0;;;;;;;;;;;;;;;;
['Tate Carson '];Tate;male;USA;2019;1;SYSTEMS THINKING AND ENVIRONMENTAL INTERACTION IN THE WORK OF TOMAS SARACENO AND DAVID DUNN;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.73;;;;;;;;;;;;;;;;;
['Thibaut Carpentier '];Thibaut;male;USA;2019;1;STEERING BEHAVIORS FOR SPATIAL SOUND AUTHORING;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Thomas Neuhaus '];Thomas;male;USA;2019;1;INSTITUTE FOR COMPUTER MUSIC AND ELECTRONIC MEDIA OF FOLKWANG UNIVERSITY OF THE ARTS - A STUDIO REPORT;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Tor Halmrast '];Tor;male;USA;2019;1;"THE TIMBRE OF FLUTTER ECHOES, AND THE COMPOSITION “FLUTR"" ";ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;;;;;;;;;;;;;;;;;
['Toshihisa Tsuruoka '];Toshihisa;male;USA;2019;1;SOUNDWRITER: REAL-TIME POETRY READING AND MUSIC GENERATION THROUGH EMOTION MAPPING;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;
['Tsung-Ching Liu', 'Xing-Wen Wang '];Tsung-Ching;male;USA;2019;2;THE REAL-TIME SYNTHESIS OF THE ANCIENT CHINESE CHIME BELL INSTRUMENT OF MARQUIS YI IN MSP ;ICMC;Xing-Wen;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
['Victoria Cheah', 'Zach Thomas', 'Ermir Bejo', 'Dan Tramte '];Victoria;female;USA;2019;4;CURATION, CHOICE, AND THE INTERNET: SCORE FOLLOWER AND NEW MUSIC ON YOUTUBE;ICMC;Zach;male;Ermir;male;Dan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.99;0.95;;;;;;;;;;;;;;
['Visda Goudarzi', 'Artemi-Maria Gioti', 'Giacomo Lepri', 'Fabio Morreale '];Visda;female;USA;2019;4;EXPLORING PARTICIPATORY SOUND ART ;ICMC;Artemi-Maria;female;Giacomo;male;Fabio;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.99;0.99;;;;;;;;;;;;;;
