AllAuthors;FirstName1stAuthor;Gender;Place;Year;NumberOfAuthors;Title;Conference;FirstName2ndAuthor;Gender2;FirstName3rdAuthor;Gender3;FirstName4thAuthor;Gender4;FirstName5thAuthor;Gender5;FirstName6thAuthor;Gender6;FirstName7thAuthor;Gender7;FirstName8thAuthor;Gender8;FirstName9thAuthor;Gender9;FirstName10thAuthor;Gender10;FirstName11thAuthor;Gender11;FirstName12thAuthor;Gender12;FirstName13thAuthor;Gender13;FirstName14thAuthor;Gender14;FirstName15thAuthor;Gender15;FirstName16thAuthor;Gender16;FirstName17thAuthor;Gender17;Probability1;Probability2;Probability3;Probability4;Probability5;Probability6;Probability7;Probability8;Probability9;Probability10;Probability11;Probability12;Probability13;Probability14;Probability15;Probability16;Probability17
['Raul Masu', ' Andrea Conci', ' Cristina Core', ' Antonella de Angeli', ' Fabio Morreale'];Raul;male;Finland;2017;5;Robinflock: a Polyphonic Algorithmic Composer for Interactive Scenarios with Children;SMC;Andrea;male;Cristina;female;Antonella;female;Fabio;male;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.62;0.99;0.99;0.99;;;;;;;;;;;;
['Jongpil Lee', ' Jiyoung Park', ' Keunhyoung Luke Kim', ' Juhan Nam'];Jongpil;male;Finland;2017;4;Sample-Level Deep Convolutional Neural Networks for Music Auto-Tagging Using Raw Waveforms;SMC;Jiyoung;female;Keunhyoung;male;Juhan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.93;0.67;0.97;;;;;;;;;;;;;
['Zhiyan Duan', ' Chitralekha Gupta', ' Graham Percival', ' David Grunberg ', ' Ye Wang'];Zhiyan;female;Finland;2017;5;SECCIMA: Singing and Ear Training for Children with Cochlear Implants via a Mobile Application;SMC;Chitralekha;female;Graham;male;David;male;Ye;male;;;;;;;;;;;;;;;;;;;;;;;;;0.79;1.0;0.99;0.99;0.54;;;;;;;;;;;;
['Otso Lähdeoja', ' Josué Moreno'];Otso;male;Finland;2017;2;SONIC GREENHOUSE - Considerations on a Large-Scale Audio-Architectural Installation;SMC;Josué;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;1.0;;;;;;;;;;;;;;;
['Miroslav Malik', ' Sharath Adavanne', ' Konstantinos Drossos', ' Tuomas Virtanen', ' Dasa Ticha', ' Roman Jarina'];Miroslav;male;Finland;2017;6;Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition;SMC;Sharath;male;Konstantinos;male;Tuomas;male;Dasa;female;Roman;male;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;0.99;0.9;0.98;;;;;;;;;;;
['Andrea Valle', ' Mauro Lanza'];Andrea;male;Finland;2017;2;Systema Naturae: Shared Practices Between Physical Computing and Algorithmic Composition;SMC;Mauro;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;0.99;;;;;;;;;;;;;;;
['Philippe Kocher'];Philippe;male;Finland;2017;1;Technology-Assisted Performance of Polytemporal Music;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Victor Lazzarini'];Victor;male;Finland;2017;1;The CSOUND Plugin Opcode Framework;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Victor Lazzarini'];Victor;male;Finland;2017;1;The design of a lightweight DSP programming library;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Augoustinos Tsiros', ' Grégory Leplâtre'];Augoustinos;male;Finland;2017;2;The Effectiveness of Two Audiovisual Mappings to Control a Concatenative Synthesiser;SMC;Grégory;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;
['Alexander Refsum Jensenius', ' Agata Zelechowska', ' Victor Gonzalez Sanchez'];Alexander;male;Finland;2017;3;The Musical Influence on People's Micromotion when Standing Still in Groups;SMC;Agata;female;Victor;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.99;;;;;;;;;;;;;;
['Yevgen Mexin', ' Aristotelis Hadjakos', ' Axel Berndt', ' Simon Waloschek', ' Anastasia Wawilow', ' Gerd Szwillus'];Yevgen;male;Finland;2017;6;Tools for Annotatiing Musical Measures in Digital Music Editions;SMC;Aristotelis;male;Axel;male;Simon;male;Anastasia;female;Gerd;male;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.98;0.98;0.98;0.93;;;;;;;;;;;
['Flavio Everardo'];Flavio;male;Finland;2017;1;Towards an Automated Multitrack Mixing Tool Using Answer Set Programming;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Luca Turchet', ' Carlo Fischione', ' Mathieu Barthet'];Luca;male;Finland;2017;3;Towards the internet of musical things;SMC;Carlo;male;Mathieu;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;0.99;0.99;;;;;;;;;;;;;;
['Ryan Kirkbride'];Ryan;male;Finland;2017;1;Troop: A Collaborative Tool for Live Coding;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Kristian Nymoen', ' Anne Danielsen', ' Justin London'];Kristian;male;Finland;2017;3;Validating Attach Phase Descriptors Obtained by the Timbre Toolbox and MIRtoolbox;SMC;Anne;female;Justin;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.97;0.98;;;;;;;;;;;;;;
['Johnty Wang', ' Joseph Malloch', ' Stéphane Huot', ' Fanny Chevalier', ' Marcelo Wanderley'];Johnty;male;Finland;2017;5;Versioning and Annotation Support for Collaborative Mapping Design;SMC;Joseph;male;Stéphane;male;Fanny;female;Marcelo;male;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;0.99;0.97;0.99;;;;;;;;;;;;
['Fabián Esqueda', ' Henri Pöntynen', ' Julian D. Parker', ' Stefan Bilbao'];Fabián;male;Finland;2017;4;Virtual Analog Model of the Lockhart Wavefolder;SMC;Henri;male;Julian;male;Stefan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.98;0.98;0.98;;;;;;;;;;;;;
['Silvin Willemsen', ' Stefania Serafin', ' Jesper Rindom Jensen'];Silvin;male;Finland;2017;3;Virtual Analog Simulation and Extensions of Plate Reverberation;SMC;Stefania;female;Jesper;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;0.99;0.99;;;;;;;;;;;;;;
['Filipe Lopes'];Filipe;male;Finland;2017;1;WALLACE: Composing Music for Variable Reverberation;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Asmita Poddar', ' Eva Zangerle', ' Yi-Hsuan Yang '];Asmita;female;Cyprus ;2018;3;#nowplaying-RS: A New Benchmark Dataset for Building Context-Aware Music Recommender Systems.;SMC;Eva;female;Yi-Hsuan;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;0.98;0.71;;;;;;;;;;;;;;
['Romain Michon', ' John Granzow '];Romain;male;Cyprus ;2018;2;3D Printing and Physical Modeling of Musical Instruments: Casting the Net.;SMC;John;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Christos Garoufis', ' Athanasia Zlatintsi', ' Petros Maragos '];Christos;male;Cyprus ;2018;3;A Collaborative System for Composing Music via Motion Using a Kinect Sensor and Skeletal Data.;SMC;Athanasia;female;Petros;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;;;;;;;;;;;;;;
['Nicolas Figueiredo', ' Felipe Felix', ' Carolina Brum Medeiros', ' Marcelo Queiroz '];Nicolas;male;Cyprus ;2018;4;A comparative study on filtering and classification of bird songs. ;SMC;Felipe;male;Carolina;female;Marcelo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.98;0.99;;;;;;;;;;;;;
['Diemo Schwarz', ' Daniel Schindler', ' Severino Spadavecchia '];Diemo;male;Cyprus ;2018;3;A Heuristic Algorithm for DJ Cue Point Estimation. ;SMC;Daniel;male;Severino;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.94;0.99;0.98;;;;;;;;;;;;;;
['Furkan Yesiler', ' Rafael Ramirez '];Furkan;male;Cyprus ;2018;2;A Machine Learning Approach to Classification of Phonation Modes in Singing. ;SMC;Rafael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;
['Matteo Lionello', ' Rafael Ramirez '];Matteo;male;Cyprus ;2018;2;A Machine Learning Approach to Violin Vibrato Modelling in Audio Performances and a Didactic Application for Mobile Devices.;SMC;Rafael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Thibaut Carpentier '];Thibaut;male;Cyprus ;2018;1;A new implementation of Spat in Max. ;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Elliot K. Canfield-Dafilou', ' Eoin Callery', ' Christopher Jette '];Elliot;male;Cyprus ;2018;3;A Portable Impulse Response Measurement System. ;SMC;Eoin;male;Christopher;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.98;0.99;;;;;;;;;;;;;;
['Eduardo Fonseca', ' Rong Gong', ' Xavier Serra '];Eduardo;male;Cyprus ;2018;3;A Simple Fusion of Deep and Shallow Learning for Acoustic Scene Classification. ;SMC;Rong;male;Xavier;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.59;0.99;;;;;;;;;;;;;;
['Jan-Torsten Milde'];Jan-Torsten;male;Cyprus ;2018;1;A system for spacial audio using synchronized mobile devices. p.93;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;
['Zacharias Vamvakousis', ' Alfonso Perez Carrillo', ' Rafael Ramirez '];Zacharias;male;Cyprus ;2018;3;Acquisition of Violin Instrumental Gestures Using an Infrared Depth. Camera. ;SMC;Alfonso;male;Rafael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.99;;;;;;;;;;;;;;
['Tychonas Michailidis', ' Jason Hockman '];Tychonas;male;Cyprus ;2018;2;Affordances of Vibrational Excitation for Music Composition and Performance. ;SMC;Jason;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.99;;;;;;;;;;;;;;;
['Ke Ma', ' Tian Xia '];Ke;male;Cyprus ;2018;2;AI Encountering Interactive Systems: A Deep Learning Reinforced Musical Composition Model. ;SMC;Tian;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.71;;;;;;;;;;;;;;;
['Fabián Esqueda', ' Otso Lähdeoja', ' Vesa Valimaki '];Fabián;male;Cyprus ;2018;3;Algorithms for Guitar-Driven Synthesis: Application to an Augmented Guitar. ;SMC;Otso;male;Vesa;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.98;0.86;;;;;;;;;;;;;;
['Ohejl Zabetian ', ' Pablo Delgado', ' Sofia Dahl', ' Stefania Serafin '];Ohejl;None;Cyprus ;2018;4;An Expressive Multidimensional Physical Modelling Percussion Instrument. ;SMC;Pablo;male;Sofia;female;Stefania;female;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.99;0.98;0.99;;;;;;;;;;;;;
['Tomas Gajarsky', ' Hendrik Purwins '];Tomas;male;Cyprus ;2018;2;An Xception Residual Recurrent Neural Network for Audio Event Detection and Tagging.;SMC;Hendrik;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Nick Bouris', ' Achilleas Chaldaeakes', ' Anastasia Georgaki '];Nick;male;Cyprus ;2018;3;Analyzing and Classifying Guitarists from ;SMC;Achilleas;male;Anastasia;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.98;;;;;;;;;;;;;;
['George Petras', ' Panagiotis Tsagkarakis', ' Anastasia Georgaki '];George;male;Cyprus ;2018;3;Approaches and Assessment of Drama Prosodic Tools in Live Performance. ;SMC;Panagiotis;male;Anastasia;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.98;;;;;;;;;;;;;;
['Stefania Serafin', ' Romain Michon', ' Smilen Dimitrov '];Stefania;female;Cyprus ;2018;3;Blender2faust: from drawn 3d objects to physically based sound models.;SMC;Romain;male;Smilen;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;1.0;;;;;;;;;;;;;;
