Name,Title,Names
Sageev,Learning Advanced Skills on New Instruments,"[u'Oore, Sageev']"
Iván,VIFE \_ alpha v.01 Real-time Visual Sound Installation performed by Glove-Gesture,"[u""Rodr\\'{\\i}guez, David"", u""Rodr\\'{\\i}guez, Iv\\'{a}n""]"
Assegid,Interactive Public Sound Art: a case study,"[u'Birchfield, David', u'Phillips, Kelly', u""Kidan\\'{e}, Assegid"", u'Lorig, David']"
Seiichiro,Sound Rose: Creating Music and Images with a Touch Table,"[u'Crevoisier, Alain', u""Bornand, C\\'{e}dric"", u'Guichard, Arnaud', u'Matsumura, Seiichiro', u'Arakawa, Chuichi']"
Chuichi,Sound Rose: Creating Music and Images with a Touch Table,"[u'Crevoisier, Alain', u""Bornand, C\\'{e}dric"", u'Guichard, Arnaud', u'Matsumura, Seiichiro', u'Arakawa, Chuichi']"
Smilen,A Simple Practical Approach to a Wireless Data Acquisition Board,"[u'Dimitrov, Smilen', u'Serafin, Stefania']"
Atau,Mobile Music Technology: Report on an Emerging Community,"[u'Gaye, Lalya', u'Holmquist, Lars E.', u'Behrendt, Frauke', u'Tanaka, Atau']"
Staas,A Tactile Closed-Loop Device for Musical Interaction,"[u'de Jong, Staas']"
Sukandar,The Gluion Advantages of an {FPGA}-based Sensor Interface,"[u'Kartadinata, Sukandar']"
Katsuhiko,GAINER: A Reconfigurable {I/O} Module and Software Libraries for Education,"[u'Kobayashi, Shigeru', u'Endo, Takanori', u'Harada, Katsuhiko', u'Oishi, Shosei']"
Shosei,GAINER: A Reconfigurable {I/O} Module and Software Libraries for Education,"[u'Kobayashi, Shigeru', u'Endo, Takanori', u'Harada, Katsuhiko', u'Oishi, Shosei']"
Kojiro,LINE: Interactive Sound and Light Installation,"[u'Kobori, Daisuke', u'Kagawa, Kojiro', u'Iida, Makoto', u'Arakawa, Chuichi']"
Chuichi,LINE: Interactive Sound and Light Installation,"[u'Kobori, Daisuke', u'Kagawa, Kojiro', u'Iida, Makoto', u'Arakawa, Chuichi']"
Takuro,Turntable Music in the Digital Era: Designing Alternative Tools for New Turntable Expression,"[u'Lippit, Takuro M.']"
Ludger,The ZKM Klangdom,"[u'Ramakrishnan, Chandrasekhar', u'Go\\ss man, Joachim', u'Br\\""{u}mmer, Ludger']"
Atau,A Framework for Spatial Interaction in Locative Media,"[u'Tanaka, Atau', u'Gemeinboeck, Petra']"
Stanza,Sensity,"[u', Stanza']"
Tetsuaki,Freqtric Drums : A Musical Instrument that Uses Skin Contact as an Interface,"[u'Baba, Tetsuaki', u'Ushiama, Taketoshi', u'Tomimatsu, Kiyoshi']"
Taketoshi,Freqtric Drums : A Musical Instrument that Uses Skin Contact as an Interface,"[u'Baba, Tetsuaki', u'Ushiama, Taketoshi', u'Tomimatsu, Kiyoshi']"
Collective,Miller,[u'Collective Dearraindrop']
Tjebbe,A Look at the Design and Creation of a Graphically Controlled Digital Musical Instrument,"[u""G\\'{o}mez, Daniel"", u'Donner, Tjebbe', u""Posada, Andr\\'{e}s""]"
Takao,A System for Improvisational Musical Expression Based on Player {\textquoteright} s Sense of Tempo,"[u'Hashida, Tomoko', u'Naemura, Takeshi', u'Sato, Takao']"
Trimpin,"Integrating HyperInstruments , Musical Robots \& Machine Musicianship for North {India}n Classical Music","[u'Kapur, Ajay', u'Singer, Eric', u'Benning, Manjinder S.', u'Tzanetakis, George', u'Trimpin, Trimpin']"
Click,Live Coding Practice,"[u'Nilson, Click']"
Yoshinari,Mobile Clavier : New Music Keyboard for Flexible Key Transpose,"[u'Takegawa, Yoshinari', u'Terada, Tsutomu']"
Ryoho,Bd : A Sound Installation with Swarming Robots,"[u'Uozumi, Yuta', u'Takahashi, Masato', u'Kobayashi, Ryoho']"
Álvaro,Ten-Hand Piano : A Networked Music Installation,"[u""Barbosa, A\\'lvaro""]"
Atau,The A20 : Musical Metaphors for Interface Design,"[u'Bau, Olivier', u'Tanaka, Atau', u'Mackay, Wendy E.']"
Smilen,"Developing Block-Movement, Physical-Model Based Objects for the Reactable","[u'Dimitrov, Smilen', u'Alonso, Marcos', u'Serafin, Stefania']"
Staas,The Cyclotactor : Towards a Tactile Platform for Musical Interaction,"[u'de Jong, Staas']"
Vassilios-Fivos,Towards an Affective Gesture Interface for Expressive Music Performance,"[u'Maniatakos, Vassilios-Fivos A.', u'Jacquemin, Christian']"
Cléo,Eight Years of Practice on the Hyper-Flute : Technological and Musical Perspectives,"[u""Palacio-Quintin, Cl\\'{e}o""]"
Yoshinari,UnitKeyboard : An Easily Configurable Compact Clavier,"[u'Takegawa, Yoshinari', u'Tsukamoto, Masahiko']"
Kedzie,A Study of Two Thereminists : Towards Movement Informed Instrument Design,"[u'Ward, Nicholas', u'Penfield, Kedzie', u""O'Modhrain, Sile"", u'Knapp, Benjamin']"
Smilen,An Early Prototype of the Augmented PsychoPhone,"[u'B\\""{o}ttcher, Niels', u'Dimitrov, Smilen']"
Ivika,Elemental \& Cyrene Reefs,"[u'Bukvic, Ivika', u'Standley, Eric']"
Mingfei,LUMI : Live Performance Paradigms Utilizing Software Integrated Touch Screen and Pressure Sensitive Button Matrix,"[u'Gao, Mingfei', u'Hanson, Craig']"
Nan-Wei,MusicGrip : A Writing Instrument for Music Control,"[u'Gong, Nan-Wei', u'Laibowitz, Mat', u'Paradiso, Joseph A.']"
Staas,Developing the Cyclotactor,"[u'de Jong, Staas']"
Chi-Hsia,Hands On Stage : A Sound and Image Performance Interface,"[u'Lai, Chi-Hsia']"
Gascia,Biomuse Trio,"[u'Lyon, Eric', u'Knapp, Benjamin', u'Ouzounian, Gascia']"
Chikashi,Angry Sparrow,"[u'Miyama, Chikashi']"
Pourang,"Let Loose with WallBalls, a Collaborative Tabletop Instrument for Tomorrow","[u'Partridge, Grant', u'Irani, Pourang', u'Fitzell, Gordon']"
Lijuan,A Wii-Based Gestural Interface for Computer Conducting Systems,"[u'Peng, Lijuan', u'Gerhard, David']"
Wen-Yang,"""Extension du Corps Sonore"" - Dancing Viola","[u'Todoroff, Todor', u""Bettens, Fr\\'{e}d\\'{e}ric"", u'Reboursi\\`{e}re, Lo\\""{\\i}c', u'Chu, Wen-Yang']"
Trishul,"The Creation of a Multi-Human, Multi-Robot Interactive Jam Session","[u'Weinberg, Gil', u'Blosser, Brian', u'Mallikarjuna, Trishul', u'Raman, Aparna']"
Meason,Multi-Laser Gestural Interface --- Solutions for Cost-Effective and Open Source Controllers,"[u'Wiley, Meason', u'Kapur, Ajay']"
Lüder,"""playing robot"" : An Interactive Sound Installation in Human-Robot Interaction Design for New Media Art","[u'Buch, Benjamin', u'Coussement, Pieter', u'Schmidt, L\\""{u}der']"
Ivika,Introducing L2Ork : Linux Laptop Orchestra,"[u'Bukvic, Ivika', u'Martin, Thomas', u'Standley, Eric', u'Matthews, Michael']"
Alavaro,scoreLight : Playing with a Human-Sized Laser Pick-Up,"[u'Cassinelli, Alavaro', u'Kuribara, Yusaku', u'Zerroug, Alexis', u'Ishikawa, Masatoshi', u'Manabe, Daito']"
Daito,scoreLight : Playing with a Human-Sized Laser Pick-Up,"[u'Cassinelli, Alavaro', u'Kuribara, Yusaku', u'Zerroug, Alexis', u'Ishikawa, Masatoshi', u'Manabe, Daito']"
Hongchan,LUSH : An Organic Eco + Music System,"[u'Choi, Hongchan', u'Wang, Ge']"
Sungkuk,Freepad : A Custom Paper-based MIDI Interface,"[u'Chun, Sungkuk', u'Hawryshkewich, Andrew', u'Jung, Keechul', u'Pasquier, Philippe']"
Keechul,Freepad : A Custom Paper-based MIDI Interface,"[u'Chun, Sungkuk', u'Hawryshkewich, Andrew', u'Jung, Keechul', u'Pasquier, Philippe']"
Smilen,Extending the Soundcard for Use with Generic {DC} Sensors Demonstrated by Revisiting a Vintage ISA Design,"[u'Dimitrov, Smilen']"
Xiaoyang,Irregular Incurve,"[u'Feng, Xiaoyang']"
Benoît,"DeviceCycle : Rapid and Reusable Prototyping of Gestural Interfaces, Applied to Audio Browsing by Similarity","[u'Frisson, Christian', u'Macq, Beno\\^{\\i}t', u""Dupont, Ste\\'phane"", u'Siebert, Xavier', u'Tardieu, Damien', u'Dutoit, Thierry']"
Stéphane,"DeviceCycle : Rapid and Reusable Prototyping of Gestural Interfaces, Applied to Audio Browsing by Similarity","[u'Frisson, Christian', u'Macq, Beno\\^{\\i}t', u""Dupont, Ste\\'phane"", u'Siebert, Xavier', u'Tardieu, Damien', u'Dutoit, Thierry']"
Laewoo,H\'{e} : Calligraphy as a Musical Interface,"[u'Kang, Laewoo', u'Chien, Hsin-Yi']"
Hyun-Soo,Interactive Music Studio : The Soloist,"[u'Kim, Hyun-Soo', u'Yoon, Je-Han', u'Jung, Moon-Sik']"
Je-Han,Interactive Music Studio : The Soloist,"[u'Kim, Hyun-Soo', u'Yoon, Je-Han', u'Jung, Moon-Sik']"
Moon-Sik,Interactive Music Studio : The Soloist,"[u'Kim, Hyun-Soo', u'Yoon, Je-Han', u'Jung, Moon-Sik']"
Yoshinari,UnitInstrument : Easy Configurable Musical Instruments,"[u'Maruyama, Yutaro', u'Takegawa, Yoshinari', u'Terada, Tsutomu', u'Tsukamoto, Masahiko']"
Chikashi,Peacock : A Non-Haptic {3D} Performance Interface,"[u'Miyama, Chikashi']"
Min-Gyu,A Robot Musician Interacting with a Human Partner through Initiative Exchange,"[u'Pan, Ye', u'Kim, Min-Gyu', u'Suzuki, Kenji']"
Sihwa,Online Map Interface for Creative and Interactive,"[u'Park, Sihwa', u'Kim, Seunghun', u'Lee, Samuel', u'Yeo, Woon Seung']"
Kunimatsu,Development of the Waseda Saxophonist Robot and Implementation of an Auditory Feedback Control,"[u'Solis, Jorge', u'Petersen, Klaus', u'Yamamoto, Tetsuro', u'Takeuchi, Masaki', u'Ishikawa, Shimpei', u'Takanishi, Atsuo', u'Hashimoto, Kunimatsu']"
Atau,"Mapping Out Instruments, Affordances, and Mobiles","[u'Tanaka, Atau']"
Diemo,Surfing the Waves : Live Audio Mosaicing of an Electric Bass Performance as a Corpus Browsing Interface,"[u'Tremblay, Pierre Alexandre', u'Schwarz, Diemo']"
Chih-Chieh,An Interactive Responsive Skin for Music,"[u'Tsai, Chih-Chieh', u'Liu, Cha-Lin', u'Chang, Teng-Wen']"
Cha-Lin,An Interactive Responsive Skin for Music,"[u'Tsai, Chih-Chieh', u'Liu, Cha-Lin', u'Chang, Teng-Wen']"
Teng-Wen,An Interactive Responsive Skin for Music,"[u'Tsai, Chih-Chieh', u'Liu, Cha-Lin', u'Chang, Teng-Wen']"
Lonce,Instrumentalizing Synthesis Models,"[u'Wyse, Lonce', u'Duy, Nguyen D.']"
Adrián,The Manipuller : Strings Manipulation and Multi-Dimensional Force Sensing,"[u""Barenca, Adri\\'{a}n"", u'Torre, Giuseppe']"
Hironori,First Person Shooters as Collaborative Multiprocess Instruments,"[u'Berthaut, Florent', u'Katayose, Haruhiro', u'Wakama, Hironori', u'Totani, Naoyuki', u'Sato, Yuichi']"
Öyvind,A Modulation Matrix for Complex Parameter Sets,"[u'Brandtsegg, \\""{O}yvind', u'Saue, Sigurd', u'Johansen, Thom']"
Anders-Petter,Expanding the Role of the Instrument,"[u'Cappelen, Birgitta', u'Anderson, Anders-Petter']"
Souhwan,{SW}AF: Towards a Web Application Framework for Composition and Documentation of Soundscape,"[u'Choe, Souhwan', u'Lee, Kyogu']"
Kyogu,{SW}AF: Towards a Web Application Framework for Composition and Documentation of Soundscape,"[u'Choe, Souhwan', u'Lee, Kyogu']"
Smilen,Audio Arduino -- an ALSA (Advanced Linux Sound Architecture) Audio Driver for FTDI-based Arduinos,"[u'Dimitrov, Smilen', u'Serafin, Stefania']"
Gaël,MoodifierLive : Interactive and Collaborative Expressive Music Performance on Mobile Devices,"[u'Fabiani, Marco', u'Dubus, Ga\\""{e}l', u'Bresin, Roberto']"
Theophanis,InkSplorer : Exploring Musical Ideas on Paper and Computer,"[u""Garcia, J\\'{e}r\\'{e}mie"", u'Tsandilas, Theophanis', u'Agon, Carlos', u'Mackay, Wendy E.']"
Jiffer,Quadrofeelia -- A New Instrument for Sliding into Notes,"[u'Harriman, Jiffer', u'Casey, Locky', u'Melvin, Linden']"
Locky,Quadrofeelia -- A New Instrument for Sliding into Notes,"[u'Harriman, Jiffer', u'Casey, Locky', u'Melvin, Linden']"
Staas,Making Grains Tangible: Microtouch for Microsound,"[u'de Jong, Staas']"
Trimpin,The KarmetiK NotomotoN : A New Breed of Musical Robot for Teaching and Performance,"[u'Kapur, Ajay', u'Darling, Michael', u'Murphy, Jim', u'Hochenbaum, Jordan', u'Diakopoulos, Dimitri', u'Trimpin, Trimpin']"
Hernán,An Open Source Interface based on Biological Neural Networks for Interactive Music Performance,"[u""Kerlle\\~{n}evich, Hern\\'{a}n"", u""Egu\\'{\\i}a, Manuel C."", u'Riera, Pablo E.']"
Ben-Zhen,Daft Datum -- An Interface for Producing Music Through Foot-based Interaction,"[u'Kondapalli, Ravi', u'Sung, Ben-Zhen']"
Jeong-seob,Sonicstrument : A Musical Interface with Stereotypical Acoustic Transducers,"[u'Lee, Jeong-seob', u'Yeo, Woon Seung']"
Madeiras,"Battle of the DJs: an HCI Perspective of Traditional, Virtual, Hybrid and Multitouch DJing","[u'Lopez, Pedro', u'Ferreira, Alfredo', u'Pereira, Madeiras']"
Chi-Hsia,Strike on Stage : a Percussion and Media Performance,"[u'Martin, Charles', u'Lai, Chi-Hsia']"
Yuan-Yi,BioRhythm : a Biologically-inspired Audio-Visual Installation,"[u'Mcgee, Ryan', u'Fan, Yuan-Yi', u'Ali, Reza']"
Sebastián,Listening to Your Brain : Implicit Interaction in Collaborative Music Performances,"[u""Mealla, Sebasti\\'{a}n"", u'V\\""{a}aljam\\""{a}ae, Aleksander', u'Bosi, Mathieu', u'Jord\\`{a}, Sergi']"
Martín,BeatJockey : A New Tool for Enhancing DJ Skills,"[u'Molina, Pablo', u""Haro, Mart\\'{\\i}n"", u'Jord\\`{a}, Sergi']"
Stå,SoundSaber -- A Motion Capture Instrument,"[u'Nymoen, Kristian', u'Skogstad, St\\aa le A.', u'Jensenius, Alexander R.']"
Jung-Sim,"Robust and Reliable Fabric, Piezoresistive Multitouch Sensing Surfaces for Musical Controllers","[u'Roh, Jung-Sim', u'Mann, Yotam', u'Freed, Adrian', u'Wessel, David']"
Stå,OSC Implementation and Evaluation of the Xsens {MV}N Suit,"[u'Skogstad, St\\aa le A.', u'de Quay, Yago', u'Jensenius, Alexander R.']"
Yu-Chung,Sound Low Fun,"[u'Tseng, Yu-Chung', u'Liu, Che-Wei', u'Chi, Tzu-Heng', u'Wang, Hui-Yu']"
Che-Wei,Sound Low Fun,"[u'Tseng, Yu-Chung', u'Liu, Che-Wei', u'Chi, Tzu-Heng', u'Wang, Hui-Yu']"
Tzu-Heng,Sound Low Fun,"[u'Tseng, Yu-Chung', u'Liu, Che-Wei', u'Chi, Tzu-Heng', u'Wang, Hui-Yu']"
Hui-Yu,Sound Low Fun,"[u'Tseng, Yu-Chung', u'Liu, Che-Wei', u'Chi, Tzu-Heng', u'Wang, Hui-Yu']"
Johnty,SQUEEZY : Extending a Multi-touch Screen with Force Sensing Objects for Controlling Articulatory Synthesis,"[u'Wang, Johnty', u""d'Alessandro, Nicolas"", u'Fels, Sidney S.', u'Pritchard, Bob']"
Lonce,The Effect of Visualizing Audio Targets in a Musical Listening and Performance Task,"[u'Wyse, Lonce', u'Mitani, Norikazu', u'Nanayakkara, Suranga']"
Min-Joon,Creating Musical Expression using Kinect,"[u'Yoo, Min-Joon', u'Beak, Jin-Wook', u'Lee, In-Kwon']"
Jin-Wook,Creating Musical Expression using Kinect,"[u'Yoo, Min-Joon', u'Beak, Jin-Wook', u'Lee, In-Kwon']"
In-Kwon,Creating Musical Expression using Kinect,"[u'Yoo, Min-Joon', u'Beak, Jin-Wook', u'Lee, In-Kwon']"
Johnty,A Digital Mobile Choir: Joining Two Interfaces towards Composing and Performing Collaborative Mobile Music,"[u""Nicolas d'Alessandro"", u'Aura Pon', u'Johnty Wang', u'David Eagle', u'Ehud Sharlin', u'Sidney Fels']"
Jerônimo,Considering Audience's View Towards an Evaluation Methodology for Digital Musical Instruments,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Vero\\^nica Teichrieb', u'Geber Ramalho', u'Patrick McGlynn']"
Verônica,Considering Audience's View Towards an Evaluation Methodology for Digital Musical Instruments,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Vero\\^nica Teichrieb', u'Geber Ramalho', u'Patrick McGlynn']"
Geber,Considering Audience's View Towards an Evaluation Methodology for Digital Musical Instruments,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Vero\\^nica Teichrieb', u'Geber Ramalho', u'Patrick McGlynn']"
Aisen,Play-A-Grill: Music To Your Teeth,[u'Aisen Caro Chacin']
Hongchan,The Deckle Project : A Sketch of Three Sensors,"[u'Hongchan Choi', u'John Granzow', u'Joel Sadler']"
LONCE,A Voice Interface for Sound Generators: adaptive and automatic mapping of gestures to sound,"[u'STEFANO FASCIANI', u'LONCE WYSE']"
Stéphane,LoopJam: turning the dance floor into a collaborative instrumental map,"[u'Christian Frisson', u""Ste\\'phane Dupont"", u'Julien Leroy', u'Alexis Moinet', u'Thierry Ravet', u'Xavier Siebert', u'Thierry Dutoit']"
Nan-Wei,A Customizable Sensate Surface for Music Control,"[u'Nan-Wei Gong', u'Nan Zhao', u'Joseph Paradiso']"
Yoonchang,FutureGrab: A wearable subtractive synthesizer using hand gesture,"[u'Yoonchang Han', u'Jinsoo Na', u'Kyogu Lee']"
Kyogu,FutureGrab: A wearable subtractive synthesizer using hand gesture,"[u'Yoonchang Han', u'Jinsoo Na', u'Kyogu Lee']"
Byeong-jun,Virtual Pottery: An Interactive Audio-Visual Installation,"[u'Yoon Chung Han', u'Byeong-jun Han']"
Jiffer,Sinkapater -An Untethered Beat Sequencer,[u'Jiffer Harriman']
Kojiro,Approaches to Interaction in a Digital Music Ensemble,"[u'Ian Hattwick', u'Kojiro Umezaki']"
Takaharu,PocoPoco: A Kinetic Musical Interface With Electro-Magnetic Levitation Units,"[u'Yuya Kikukawa', u'Takaharu Kanai', u'Tatsuhiko Suzuki', u'Toshiki Yoshiike', u'Tetsuaki Baba', u'Kumiko Kushiyama']"
Tetsuaki,PocoPoco: A Kinetic Musical Interface With Electro-Magnetic Levitation Units,"[u'Yuya Kikukawa', u'Takaharu Kanai', u'Tatsuhiko Suzuki', u'Toshiki Yoshiike', u'Tetsuaki Baba', u'Kumiko Kushiyama']"
Bongjun,Interactive Mobile Music Performance with Digital Compass,"[u'Bongjun Kim', u'Woon Seung Yeo']"
Fred́éric,Extracting Human Expression For Interactive Composition with the Augmented Violin,"[u'Mari Kimura', u'Nicolas Rasamimanana', u""Fred\\'e\\'ric Bevilacqua"", u'Norbert Schnell', u'Bruno Zamborlin', u""Emmanuel Fl{\\'e}ty""]"
Chi-Hsia,A Design Approach to Engage with Audience with Wearable Musical Instruments: Sound Gloves,"[u'Chi-Hsia Lai', u'Koray Tahiroglu']"
Jeong-seob,Real-time Modification of Music with Dancer's Respiration Pattern,"[u'Jeong-seob Lee', u'Woon Seung Yeo']"
Youngsun,Empathetic Interactive Music Video Experience,"[u'Myunghee Lee', u'Youngsun Kim', u'Gerard Kim']"
Jia-Liang,Wireless Interactive Sensor Platform for Real-Time Audio-Visual Experience,"[u'Jia-Liang Lu', u'Da-Lei Fang', u'Yi Qin', u'Jiu-Qiang Tang']"
Da-Lei,Wireless Interactive Sensor Platform for Real-Time Audio-Visual Experience,"[u'Jia-Liang Lu', u'Da-Lei Fang', u'Yi Qin', u'Jiu-Qiang Tang']"
Jiu-Qiang,Wireless Interactive Sensor Platform for Real-Time Audio-Visual Experience,"[u'Jia-Liang Lu', u'Da-Lei Fang', u'Yi Qin', u'Jiu-Qiang Tang']"
Álvaro,Perfect Take: Experience design and new interfaces for musical expression,"[u'Nicolas Makelberge', u""A\\'lvaro Barbosa"", u""Andre\\' Perrotta"", u""Lui\\'s Sarmento Ferreira""]"
André,Perfect Take: Experience design and new interfaces for musical expression,"[u'Nicolas Makelberge', u""A\\'lvaro Barbosa"", u""Andre\\' Perrotta"", u""Lui\\'s Sarmento Ferreira""]"
Luís,Perfect Take: Experience design and new interfaces for musical expression,"[u'Nicolas Makelberge', u""A\\'lvaro Barbosa"", u""Andre\\' Perrotta"", u""Lui\\'s Sarmento Ferreira""]"
Gascia,Music for Sleeping \& Waking Minds,"[u'Gascia Ouzounian', u'Benjamin R. Knapp', u'Eric Lyon', u'Luke DuBois']"
Yongki,Voicon: An Interactive Gestural Microphone For Vocal Performance,"[u'Yongki Park', u'Hoon Heo', u'Kyogu Lee']"
Kyogu,Voicon: An Interactive Gestural Microphone For Vocal Performance,"[u'Yongki Park', u'Hoon Heo', u'Kyogu Lee']"
Stéphane,Left and right-hand guitar playing techniques detection,"[u'Lo\\""{\\i}c Reboursie\\\'re', u'Otso L{\\""a}hdeoja', u'Thomas Drugman', u""Ste\\'phane Dupont"", u""Ce\\'cile Picard-Limpens"", u'Nicolas Riche']"
Cécile,Left and right-hand guitar playing techniques detection,"[u'Lo\\""{\\i}c Reboursie\\\'re', u'Otso L{\\""a}hdeoja', u'Thomas Drugman', u""Ste\\'phane Dupont"", u""Ce\\'cile Picard-Limpens"", u'Nicolas Riche']"
Diemo,DIRTI ---Dirty Tangible Interfaces,"[u'Matthieu Savary', u'Diemo Schwarz', u'Denis Pellerin']"
Sébastien,SABRe: The Augmented Bass Clarinet,"[u""Se\\'bastien Schiesser"", u'Jan C. Schacher']"
Diemo,The Sound Space as Musical Instrument: Playing Corpus-Based Concatenative Synthesis,[u'Diemo Schwarz']
Atau,A Survey and Thematic Analysis Approach as Input to the Design of Mobile Music GUIs,"[u'Atau Tanaka', u'Adam Parkinson', u'Zack Settel', u'Koray Tahiroglu']"
Öyvind,Development and Evaluation of a ZigFlea-based Wireless Transceiver Board for CUI32,"[u'Jim Torresen', u'Hauback, O\\""yvind N.', u'Dan Overholt', u'Jensenius, Alexander Refsum']"
Johnty,Investigation of Gesture Controlled Articulatory Vocal Synthesizer using a Bio-Mechanical Mapping Layer,"[u'Johnty Wang', u""Nicolas d'Alessandro"", u'Sidney Fels', u'Robert Pritchard']"
Yan-Ling,massMobile -an Audience Participation Framework,"[u'Nathan Weitzner', u'Jason Freeman', u'Stephen Garrett', u'Yan-Ling Chen']"
Lonce,Palm-area sensitivity to vibrotactile stimuli above 1~{kHz},"[u'Lonce Wyse', u'Suranga Nanayakkara', u'Paul Seekings', u'Sim Heng Ong', u'Elizabeth Taylor']"
Yemin,"NEXUS: Collaborative Performance for the Masses, Handling Instrument Interface Distribution through the Web","[u'Jesse Allison', u'Yemin Oh', u'Benjamin Taylor']"
Atau,Towards Gestural Sonic Affordances,"[u'Alessandro Altavilla', u'Baptiste Caramiaux', u'Atau Tanaka']"
Anders-Petter,Designing Empowering Vocal and Tangible Interaction,"[u'Anders-Petter Andersson', u'Birgitta Cappelen']"
Sébastien,Coral - a Physical and Haptic Extension of a Swarm Simulation,"[u'Daniel Bisig', u""Se\\'bastien Schiesser""]"
Atau,Machine Learning of Musical Gestures,"[u'Baptiste Caramiaux', u'Atau Tanaka']"
Hongchan,WAAX: Web Audio {API} eXtension,"[u'Hongchan Choi', u'Jonathan Berger']"
Jingyin,Kontrol: Hand Gesture Recognition for Music and Dance Interaction,"[u'Kameron Christopher', u'Jingyin He', u'Raakhi Kapur', u'Ajay Kapur']"
Atau,Muscular Interactions. Combining {EMG} and MMG sensing for musical practice,"[u'Marco Donnarumma', u'Baptiste Caramiaux', u'Atau Tanaka']"
Yuan-Yi,BioSync: An Informed Participatory Interface for Audience Dynamics and Audiovisual Content Co-creation using Mobile PPG and {EEG},"[u'Yuan-Yi Fan', u'Myles Sciotto']"
Lonce,A Self-Organizing Gesture Map for a Voice-Controlled Instrument Interface,"[u'Stefano Fasciani', u'Lonce Wyse']"
Yoonchang,A Musical Performance Evaluation System for Beginner Musician based on Real-time Score Following,"[u'Yoonchang Han', u'Sejun Kwon', u'Kibeom Lee', u'Kyogu Lee']"
Sejun,A Musical Performance Evaluation System for Beginner Musician based on Real-time Score Following,"[u'Yoonchang Han', u'Sejun Kwon', u'Kibeom Lee', u'Kyogu Lee']"
Kyogu,A Musical Performance Evaluation System for Beginner Musician based on Real-time Score Following,"[u'Yoonchang Han', u'Sejun Kwon', u'Kibeom Lee', u'Kyogu Lee']"
Byeong-jun,Digiti Sonus: Advanced Interactive Fingerprint Sonification Using Visual Feature Analysis,"[u'Yoon Chung Han', u'Byeong-jun Han', u'Matthew Wright']"
Shoken,A Function-Oriented Interface for Music Education and Musical Expressions: ``the Sound Wheel'',[u'Shoken Kaneko']
