Elim,female,0.6,#220. Interactive software for the sonification of neuronal activity,"['Argan Verrier', ' Vincent Goudard', ' Elim Hong and Hugues Genevois']",2020
Minz,male,0.72,#210. Evaluation of CNN-based automatic music tagging models,"['Minz Won', ' Andres Ferraro', ' Dmitry Bogdanov and Xavier\xa0Serra']",2020
Mischa,male,0.74,#230. The world's first interactive 5G music concert: Professional quality networked music over a commodity network infrastructure,"['Alexander Carôt', ' Mischa Dohler', ' Simon Saunders', ' Frank Sardis', ' Richard Cornock and Navdeep Uniyal']",2020
Rumi,female,0.7,#132. Computer-based music training with hearing impairments: Lessons from an experiment,['Rumi Hiraga and Kjetil Falkenberg'],2020
Eita,male,0.73,CrestMusePEDB 2nd EDITION: MUSIC PERFORMANCE DATABASE WITH PHRASE p.60 INFORMATION.,"['Mitsuyo Hashida', ' Eita Nakamura', ' Haruhiro Katayose ']",2018
Laurel,female,0.61,Improving the Instrumental Learning Experience through Complexity Management ,"['Laurel Pardue', ' Andrew McPherson', ' Dan Overholt ']",2018
Yi-Hsuan,female,0.71,#nowplaying-RS: A New Benchmark Dataset for Building Context-Aware Music Recommender Systems.,"['Asmita Poddar', ' Eva Zangerle', ' Yi-Hsuan Yang ']",2018
Rong,male,0.59,A Simple Fusion of Deep and Shallow Learning for Acoustic Scene Classification. ,"['Eduardo Fonseca', ' Rong Gong', ' Xavier Serra ']",2018
Hedy,female,0.5,Dervish Sound Dress; a Development of a Musical Interface Garment which explores Wearable Technology using Sound and Haptic Feedback for Performance and Interaction.,"['Eduardo Miranda', ' Hedy Hurban', ' Edward Braund ']",2018
Tian,male,0.71,AI Encountering Interactive Systems: A Deep Learning Reinforced Musical Composition Model. ,"['Ke Ma', ' Tian Xia ']",2018
Andrea,male,0.62,Haptic Interaction with Guitar and Bass Virtual Strings. ,"['Andrea Passalenti', ' Federico Fontana ']",2018
Doga,female,0.54,The BodyHarp: Designing the Intersection Between the Instrument and the Body. ,"['Doga Buse Cavdir', ' Romain Michon', ' Ge Wang ']",2018
Ge,male,0.68,The BodyHarp: Designing the Intersection Between the Instrument and the Body. ,"['Doga Buse Cavdir', ' Romain Michon', ' Ge Wang ']",2018
