AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Jens Vetter', 'Sarah Leimcke']",Jens,male,"Copenhagen, Denmark",2017,2,Homo Restis --- Constructive Control Through Modular String Topologies,NIME,Sarah,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Jeronimo Barbosa', 'Marcelo M. Wanderley', 'Stéphane Huot']",Jeronimo,male,"Copenhagen, Denmark",2017,3,Exploring Playfulness in NIME Design: The Case of Live Looping Tools,NIME,Marcelo,male,Stéphane,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,,,,,,,,,,,,,,,
"['Daniel Manesh', 'Eran Egozy']",Daniel,male,"Copenhagen, Denmark",2017,2,Exquisite Score: A System for Collaborative Musical Composition,NIME,Eran,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,,,,,,,,,,,,,,,,
"['Stahl Stenslie', 'Kjell Tore Innervik', 'Ivar Frounberg', 'Thom Johansen']",Stahl,male,"Copenhagen, Denmark",2017,4,Somatic Sound in Performative Contexts,NIME,Kjell,male,Ivar,male,Thom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.99,0.99,0.98,,,,,,,,,,,,,,
"['Jeppe Veirum Larsen', 'Hendrik Knoche']",Jeppe,male,"Copenhagen, Denmark",2017,2,States and Sound: Modelling Interactions with Musical User Interfaces,NIME,Hendrik,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Guangyu Xia', 'Roger Dannenberg']",Guangyu,male,"Copenhagen, Denmark",2017,2,Improvised Duet Interaction: Learning Improvisation Techniques for Automatic Accompaniment,NIME,Roger,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.98,,,,,,,,,,,,,,,,
['Palle Dahlstedt'],Palle,male,"Copenhagen, Denmark",2017,1,Physical Interactions with Digital Strings --- A hybrid approach to a digital keyboard instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Charles Roberts', 'Graham Wakefield']",Charles,male,"Copenhagen, Denmark",2017,2,gibberwocky: New Live-Coding Instruments for Musical Performance,NIME,Graham,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Sasha Leitman'],Sasha,male,"Copenhagen, Denmark",2017,1,Current Iteration of a Course on Physical Interaction Design for Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,
"['Alex Hofmann', 'Bernt Isak Waerstad', 'Saranya Balasubramanian', 'Kristoffer E. Koch']",Alex,male,"Copenhagen, Denmark",2017,4,From interface design to the software instrument --- Mapping as an approach to FX-instrument building,NIME,Bernt,male,Saranya,female,Kristoffer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.97,0.98,1.0,,,,,,,,,,,,,,
"['Marco Marchini', 'François Pachet', 'Benoît Carré']",Marco,male,"Copenhagen, Denmark",2017,3,Rethinking Reflexive Looper for structured pop music,NIME,François,male,Benoît,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.0,,,,,,,,,,,,,,,
"['Victor Zappi', 'Andrew Allen', 'Sidney Fels']",Victor,male,"Copenhagen, Denmark",2017,3,Shader-based Physical Modelling for the Design of Massive Digital Musical Instruments,NIME,Andrew,male,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.79,,,,,,,,,,,,,,,
"['David Johnson', 'George Tzanetakis']",David,male,"Copenhagen, Denmark",2017,2,VRMin: Using Mixed Reality to Augment the Theremin for Musical Tutoring,NIME,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Richard Graham', 'Brian Bridges', 'Christopher Manzione', 'William Brent']",Richard,male,"Copenhagen, Denmark",2017,4,Exploring Pitch and Timbre through 3D Spaces: Embodied Models in Virtual Reality as a Basis for Performance Systems Design,NIME,Brian,male,Christopher,male,William,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
['Michael Gurevich'],Michael,male,"Copenhagen, Denmark",2017,1,Discovering Instruments in Scores: A Repertoire-Driven Approach to Designing New Interfaces for Musical Expression,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
['Joe Cantrell'],Joe,male,"Copenhagen, Denmark",2017,1,Designing Intent: Defining Critical Meaning for NIME Practitioners,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
"['Juan Vasquez', 'Koray Tahiroğlu', 'Johan Kildal']",Juan,male,"Copenhagen, Denmark",2017,3,"Idiomatic Composition Practices for New Musical Instruments: Context, Background and Current Applications",NIME,Koray,male,Johan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,0.99,,,,,,,,,,,,,,,
"['Florent Berthaut', 'Cagan Arslan', 'Laurent Grisoni']",Florent,male,"Copenhagen, Denmark",2017,3,Revgest: Augmenting Gestural Musical Instruments with Revealed Virtual Objects,NIME,Cagan,male,Laurent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.94,0.99,,,,,,,,,,,,,,,
['Akito van Troyer'],Akito,male,"Copenhagen, Denmark",2017,1,MM-RT: A Tabletop Musical Instrument for Musical Wonderers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
"['Fabio Morreale', 'Andrew McPherson']",Fabio,male,"Copenhagen, Denmark",2017,2,Design for Longevity: Ongoing Use of Instruments from NIME 2010-14,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Samuel Delalez', ""Christophe d'Alessandro""]",Samuel,male,"Copenhagen, Denmark",2017,2,Vokinesis: Syllabic Control Points for Performative Singing Synthesis,NIME,Christophe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Gareth Young', 'Dave Murphy', 'Jeffrey Weeter']",Gareth,male,"Copenhagen, Denmark",2017,3,A Qualitative Analysis of Haptic Feedback in Music Focused Exercises,NIME,Dave,male,Jeffrey,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Jingyin He', 'Jim Murphy', 'Dale A. Carnegie', 'Ajay Kapur']",Jingyin,female,"Copenhagen, Denmark",2017,4,Towards Related-Dedicated Input Devices for Parametrically Rich Mechatronic Musical Instruments,NIME,Jim,male,Dale,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.98,0.93,0.99,,,,,,,,,,,,,,
"['Asha Blatherwick', 'Luke Woodbury', 'Tom Davis']",Asha,female,"Copenhagen, Denmark",2017,3,Design Considerations for Instruments for Users with Complex Needs in SEN Settings,NIME,Luke,male,Tom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.99,0.99,,,,,,,,,,,,,,,
"['Abram Hindle', 'Daryl Posnett']",Abram,male,"Copenhagen, Denmark",2017,2,Performance with an Electronically Excited Didgeridoo,NIME,Daryl,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.91,,,,,,,,,,,,,,,,
"['Michael Zbyszyński', 'Mick Grierson', 'Matthew Yee-King']",Michael,male,"Copenhagen, Denmark",2017,3,Rapid Prototyping of New Instruments with CodeCircle,NIME,Mick,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,1.0,,,,,,,,,,,,,,,
"['Federico Visi', 'Baptiste Caramiaux', 'Michael Mcloughlin', 'Eduardo Miranda']",Federico,male,"Copenhagen, Denmark",2017,4,"A Knowledge-based, Data-driven Method for Action-sound Mapping",NIME,Baptiste,male,Michael,male,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Spencer Salazar', 'Mark Cerqueira']",Spencer,male,"Copenhagen, Denmark",2017,2,ChuckPad: Social Coding for Computer Music,NIME,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,,,,,,,,,,,,,,,,
"['Axel Berndt', 'Simon Waloschek', 'Aristotelis Hadjakos', 'Alexander Leemhuis']",Axel,male,"Copenhagen, Denmark",2017,4,AmbiDice: An Ambient Music Interface for Tabletop Role-Playing Games,NIME,Simon,male,Aristotelis,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,0.99,,,,,,,,,,,,,,
"['Sam Ferguson', 'Anthony Rowe', 'Oliver Bown', 'Liam Birtles', 'Chris Bennewith']",Sam,male,"Copenhagen, Denmark",2017,5,Sound Design for a System of 1000 Distributed Independent Audio-Visual Devices,NIME,Anthony,male,Oliver,male,Liam,male,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.99,0.99,0.98,0.9,,,,,,,,,,,,,
"['Richard Vogl', 'Peter Knees']",Richard,male,"Copenhagen, Denmark",2017,2,An Intelligent Drum Machine for Electronic Dance Music Production and Performance,NIME,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Martin Snejbjerg Jensen', 'Ole Adrian Heggli', 'Patricia Alves Da Mota', 'Peter Vuust']",Martin,male,"Copenhagen, Denmark",2017,4,A low-cost MRI compatible keyboard,NIME,Ole,male,Patricia,female,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.95,0.98,0.99,,,,,,,,,,,,,,
"['Sang Won Lee', 'Jungho Bang', 'Georg Essl']",Sang,male,"Copenhagen, Denmark",2017,3,Live Coding YouTube: Organizing Streaming Media for an Audiovisual Performance,NIME,Jungho,male,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.97,0.99,,,,,,,,,,,,,,,
"['Solen Kiratli', 'Akshay Cadambi', 'Yon Visell']",Solen,female,"Copenhagen, Denmark",2017,3,HIVE: An Interactive Sculpture for Musical Expression,NIME,Akshay,male,Yon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.0,0.88,,,,,,,,,,,,,,,
"['Matthew Blessing', 'Edgar Berdahl']",Matthew,male,"Copenhagen, Denmark",2017,2,The JoyStyx: A Quartet of Embedded Acoustic Instruments,NIME,Edgar,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Graham Wakefield', 'Charles Roberts']",Graham,male,"Copenhagen, Denmark",2017,2,A Virtual Machine for Live Coding Language Design,NIME,Charles,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Tom Davis'],Tom,male,"Copenhagen, Denmark",2017,1,The Feral Cello: A Philosophically Informed Approach to an Actuated Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Francisco Bernardo', 'Nicholas Arner', 'Paul Batchelor']",Francisco,male,"Copenhagen, Denmark",2017,3,O Soli Mio: Exploring Millimeter Wave Radar for Musical Interaction,NIME,Nicholas,male,Paul,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Constanza Levican', 'Andres Aparicio', 'Vernon Belaunde', 'Rodrigo Cadiz']",Constanza,female,"Copenhagen, Denmark",2017,4,Insight2OSC: using the brain and the body as a musical instrument with the Emotiv Insight,NIME,Andres,male,Vernon,male,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.98,0.99,,,,,,,,,,,,,,
"['Benjamin Smith', 'Neal Anderson']",Benjamin,male,"Copenhagen, Denmark",2017,2,ArraYnger: New Interface for Interactive 360° Spatialization,NIME,Neal,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Alexandra Murray-Leslie', 'Andrew Johnston']",Alexandra,female,"Copenhagen, Denmark",2017,2,The Liberation of the Feet: Demaking the High Heeled Shoe For Theatrical Audio-Visual Expression,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
['Christiana Rose'],Christiana,female,"Copenhagen, Denmark",2017,1,SALTO: A System for Musical Expression in the Aerial Arts,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
['Marije Baalman'],Marije,female,"Copenhagen, Denmark",2017,1,"Wireless Sensing for Artistic Applications, a Reflection on Sense/Stage to Motivate the Design of the Next Stage",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Ivica Bukvic', 'Spencer Lee']",Ivica,male,"Copenhagen, Denmark",2017,2,Glasstra: Exploring the Use of an Inconspicuous Head Mounted Display in a Live Technology-Mediated Music Performance,NIME,Spencer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.96,,,,,,,,,,,,,,,,
"['Scott Barton', 'Ethan Prihar', 'Paulo Carvalho']",Scott,male,"Copenhagen, Denmark",2017,3,"Cyther: a Human-playable, Self-tuning Robotic Zither",NIME,Ethan,male,Paulo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Beici Liang', 'György Fazekas', 'Andrew McPherson', 'Mark Sandler']",Beici,None,"Copenhagen, Denmark",2017,4,Piano Pedaller: A Measurement System for Classification and Visualisation of Piano Pedalling Techniques,NIME,György,male,Andrew,male,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.98,0.99,0.99,,,,,,,,,,,,,,
"['Jason Long', 'Jim Murphy', 'Dale A. Carnegie', 'Ajay Kapur']",Jason,male,"Copenhagen, Denmark",2017,4,A Closed-Loop Control System for Robotic Hi-hats,NIME,Jim,male,Dale,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.93,0.99,,,,,,,,,,,,,,
"['Stratos Kountouras', 'Ioannis Zannos']",Stratos,male,"Copenhagen, Denmark",2017,2,Gestus: Teaching Soundscape Composition and Performance with a Tangible Interface,NIME,Ioannis,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Hazar Emre Tez', 'Nick Bryan-Kinns']",Hazar,male,"Copenhagen, Denmark",2017,2,Exploring the Effect of Interface Constraints on Live Collaborative Music Improvisation,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.98,,,,,,,,,,,,,,,,
"['Irmandy Wicaksono', 'Joseph Paradiso']",Irmandy,None,"Copenhagen, Denmark",2017,2,FabricKeyboard: Multimodal Textile Sensate Media as an Expressive and Deformable Musical Interface,NIME,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,,,,,,,,,,,,,,,,
"['Kristians Konovalovs', 'Jelizaveta Zovnercuka', 'Ali Adjorlu', 'Daniel Overholt']",Kristians,male,"Copenhagen, Denmark",2017,4,A Wearable Foot-mounted / Instrument-mounted Effect Controller: Design and Evaluation,NIME,Jelizaveta,female,Ali,male,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.95,0.99,,,,,,,,,,,,,,
"['Herbert Ho-Chun Chang', 'Lloyd May', 'Spencer Topel']",Herbert,male,"Copenhagen, Denmark",2017,3,Nonlinear Acoustic Synthesis in Augmented Musical Instruments,NIME,Lloyd,male,Spencer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.96,,,,,,,,,,,,,,,
"['Georg Hajdu', 'Benedict Carey', 'Goran Lazarevic', 'Eckhard Weymann']",Georg,male,"Copenhagen, Denmark",2017,4,From Atmosphere to Intervention: The circular dynamic of installations in hospital waiting areas,NIME,Benedict,male,Goran,male,Eckhard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.99,0.99,,,,,,,,,,,,,,
"['Dom Brown', 'Chris Nash', 'Tom Mitchell']",Dom,male,"Copenhagen, Denmark",2017,3,A User Experience Review of Music Interaction Evaluations,NIME,Chris,male,Tom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.9,0.99,,,,,,,,,,,,,,,
['Wayne Siegel'],Wayne,male,"Copenhagen, Denmark",2017,1,Conducting Sound in Space,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Spencer Salazar', 'Sarah Reid', 'Daniel McNamara']",Spencer,male,"Copenhagen, Denmark",2017,3,The Fragment String,NIME,Sarah,female,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.98,0.99,,,,,,,,,,,,,,,
['Staas de Jong'],Staas,male,"Copenhagen, Denmark",2017,1,Ghostfinger: a novel platform for fully computational fingertip controllers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
"['Jack Armitage', 'Fabio Morreale', 'Andrew McPherson']",Jack,male,"Copenhagen, Denmark",2017,3,"The finer the musician, the smaller the details: NIMEcraft under the microscope",NIME,Fabio,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,,,,,,,,,,,,,,,
"['Sandor Mehes', 'Maarten van Walstijn', 'Paul Stapleton']",Sandor,male,"Copenhagen, Denmark",2017,3,Virtual-Acoustic Instrument Design: Exploring the Parameter Space of a String-Plate Model,NIME,Maarten,male,Paul,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,0.99,,,,,,,,,,,,,,,
"['Nicolas Bouillot', 'Zack Settel', 'Michal Seta']",Nicolas,male,"Copenhagen, Denmark",2017,3,SATIE: a live and scalable 3D audio scene rendering environment for large multi-channel loudspeaker configurations,NIME,Zack,male,Michal,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Hugo Scurto', 'Frédéric Bevilacqua', 'Jules Françoise']",Hugo,male,"Copenhagen, Denmark",2017,3,Shaping and Exploring Interactive Motion-Sound Mappings Using Online Clustering Techniques,NIME,Frédéric,male,Jules,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.89,,,,,,,,,,,,,,,
"['Kiran Bhumber', 'Bob Pritchard', 'Kitty Rodé']",Kiran,male,"Copenhagen, Denmark",2017,3,A Responsive User Body Suit (RUBS),NIME,Bob,male,Kitty,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.95,0.97,,,,,,,,,,,,,,,
"['Marie Højlund', 'Morten Riis', 'Daniel Rothmann', 'Jonas Kirkegaard']",Marie,female,"Copenhagen, Denmark",2017,4,Applying the EBU R128 Loudness Standard in live-streaming sound sculptures,NIME,Morten,male,Daniel,male,Jonas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Edgar Berdahl', 'Matthew Blessing', 'Matthew Williams', 'Pacco Tan', 'Brygg Ullmer', 'Jesse Allison']",Edgar,male,"Copenhagen, Denmark",2017,6,Spatial Audio Approaches for Embedded Sound Art Installations with Loudspeaker Line Arrays,NIME,Matthew,male,Matthew,male,Pacco,male,Brygg,None,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,0.98,0.0,0.91,,,,,,,,,,,,
"['Fiona Keenan', 'Sandra Pauletto']",Fiona,female,"Copenhagen, Denmark",2017,2,Design and Evaluation of a Digital Theatre Wind Machine,NIME,Sandra,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,,,,,,,,,,,,,,,,
"['Ian Hattwick', 'Marcelo M. Wanderley']",Ian,male,"Copenhagen, Denmark",2017,2,Design of Hardware Systems for Professional Artistic Applications,NIME,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Alexander Refsum Jensenius', 'Victor Gonzalez Sanchez', 'Agata Zelechowska', 'Kari Anne Vadstensvik Bjerkestrand']",Alexander,male,"Copenhagen, Denmark",2017,4,Exploring the Myo controller for sonic microinteraction,NIME,Victor,male,Agata,female,Kari,female,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.5,,,,,,,,,,,,,,
"['Joseph Tilbian', 'Andres Cabrera']",Joseph,male,"Copenhagen, Denmark",2017,2,Stride for Interactive Musical Instrument Design,NIME,Andres,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
