FirstName1stAuthor,Gender,Gender2,Gender3,Gender4,Gender5,Gender6,Country,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,FirstName3rdAuthor,FirstName4thAuthor,FirstName5thAuthor,FirstName6thAuthor
Bert,1,4,0,0,0,0,Spain,2002,2,AStructuredInstrumentDesignApproach:TheVideo-Organ,NIME,Yolande,,,,
Matthew,1,0,0,0,0,0,America,2002,1,Noisegate67forMetasaxophone:CompositionandPerformanceConsiderationsofaNewComputerMusicController,NIME,,,,,
Antonio,1,1,1,0,0,0,Italy,2002,3,InteractiveSystemsDesign:AKANSEI-basedApproach,NIME,Riccardo,Gualtiero,,,
Joel,1,0,0,0,0,0,America,2002,1,TheLimitationsofMappingasaStructuralDescriptiveinElectronicInstruments,NIME,,,,,
Jean-Michel,1,0,0,0,0,0,France,2002,1,AScannedSynthesisVirtualInstrument,NIME,,,,,
Gideon,1,0,0,0,0,0,America,2002,1,CreatingaContextforMusicalInnovation:ANIMECurriculum,NIME,,,,,
Sidney,2,1,0,0,0,0,Canada,2002,2,Tooka:ExplorationsofTwoPersonInstruments,NIME,Florian,,,,
Kieran,1,1,0,0,0,0,Ireland,2002,2,TheMusicalBoxGarden,NIME,Liam,,,,
Emmanuel,1,0,0,0,0,0,France,2002,1,AtoMICPro:aMultipleSensorAcquisitionDevice,NIME,,,,,
Ashley,3,2,0,0,0,0,Canada,2002,2,MetaMuse:MetaphorsforExpressiveInstruments,NIME,Sidney,,,,
Niall,1,1,1,1,1,0,Ireland,2002,5,CirclesandSeeds:AdaptingKpelleIdeasaboutMusicPerformanceforCollaborativeDigitalMusicperformance,NIME,Sean,Donagh,Ed,Sile,
Eric,1,0,1,0,0,0,America,2002,3,CutaneousGrooves:ComposingfortheSenseofTouch,NIME,Glorianna,Sile,,,
Tim,1,1,4,0,0,0,America,2002,3,CircularOpticalObjectLocator,NIME,David,Jocelyn,,,
Leila,4,1,1,0,0,0,America,2002,3,TheTermenova:AHybridFree-GestureInterface,NIME,Nicholas,Joseph,,,
Andy,1,1,1,0,0,0,England,2002,3,TheimportanceofParameterMappinginElectronicInstrumentDesign,NIME,Marcelo,Matthew,,,
Robert,1,0,0,0,0,0,America,2002,1,AnInterfaceforPreciseMusicalControl,NIME,,,,,
Taelman,0,0,0,0,0,0,Belgium,2002,1,ALow-costSonarforUnobtrusiveMan-machineInterfacing,NIME,,,,,
Sergi,1,0,0,0,0,0,Spain,2002,1,Afasia:theUltimateHomericOne-man-multimedia-band,NIME,,,,,
Ajay,1,1,1,1,0,0,America,2002,4,TheElectronicTablaController,NIME,Georg,Philip,Perry,,
Loí¿c,1,0,0,0,0,0,France,2002,1,"Bi-manualMappingExperimentation,withAngularFundamentalFrequencyControlandSoundColorNavigation",NIME,,,,,
Tod,1,0,0,0,0,0,America,2002,1,"Instruments,Interactivity,andInevitability",NIME,,,,,
James,1,0,0,0,0,0,England,2002,1,AdaptiveHyperinstruments:ApplyingEvolutionaryTechniquestoSoundSynthesisandPerformance,NIME,,,,,
Mark,1,1,0,0,0,0,Ireland,2002,3,TheVirtualBodhran--TheVodhran,NIME,Matthias,Breege,,,
Graeme,1,2,0,0,0,0,Canada,2002,2,PlayingonHeart-Strings:Experienceswiththe2{H}eartsSystem,NIME,Sidney,,,,
Lisa,4,1,4,0,0,0,Ireland,2002,3,`PegLegsinMusic'ProcessingtheEffortGeneratedbyLevelsofExpressiveGesturinginMusic,NIME,Edward,Michelle,,,
Kia,4,0,0,0,0,0,England,2002,1,InteractiveGestureMusicPerformanceInterface,NIME,,,,,
Charles,1,0,0,0,0,0,America,2002,1,ThevBow:DevelopmentofaVirtualViolinBowHapticHuman-ComputerInterface,NIME,,,,,
Roberto,1,1,0,0,0,0,Italy,2002,2,Multi-instrumentVirtualKeyboard--TheMIKEYProject,NIME,Giovanni,,,,
Garth,1,0,0,0,0,0,England,2002,1,GESTATION,NIME,,,,,
Laurel,4,1,0,0,0,0,America,2002,2,MusicalNavigatrics:NewMusicalInteractionswithPassiveMagneticTags,NIME,Joseph,,,,
James,1,1,1,0,0,0,America,2002,3,Audiopad:ATag-basedInterfaceforMusicalPerformance,NIME,Ben,Hiroshi,,,
Norbert,1,1,0,0,0,0,France,2002,2,"IntroducingComposedInstruments,TechnicalandMusicologicalImplications",NIME,Marc,,,,
Tamara,4,1,0,0,0,0,America,2002,2,CreatingSustainedToneswiththeCicada'sRapidSequentialBucklingMechanism,NIME,Julius,,,,
Atau,1,1,0,0,0,0,France,2002,2,MultimodalInteractioninMusicUsingtheElectromyogramandRelativePositionSensing,NIME,Benjamin,,,,
Bill,1,1,1,0,0,0,America,2002,3,THEPLANK:DesigningaSimpleHapticController.,NIME,Michael,Max,,,
Florian,1,1,1,2,0,0,Canada,2002,4,Tongue`n'Groove:AnUltrasoundbasedMusicController,NIME,Graeme,Mir,Sidney,,
Gil,1,1,1,0,0,0,America,2002,3,TheBeatbugNetwork-ARhythmicSystemforInterdependentGroupCollaboration,NIME,Roberto,Kevin,,,
David,1,1,1,0,0,0,America,2002,3,IntimateMusicalControlofComputerswithaVarietyofControllersandGestureMappingMetaphors,NIME,Matthew,John,,,
Carr,1,4,4,0,0,0,America,2002,3,TheMuthaRubboardController,NIME,Stefania,Carmen,,,
Todd,1,0,0,0,0,0,America,2002,1,"FusingMovement,Sound,andVideoinFallingUp,anInteractiveDance/TheatreProduction",NIME,,,,,
Jordan,1,1,1,1,1,0,Spain,2002,5,sutoolz1.0alpha:{3D}SoftwareMusicInterface,NIME,Richard,Lucas,Marko,Nacho,
Diana,4,0,0,0,0,0,America,2002,1,TheHyperbowController:Real-TimeDynamicsMeasurementofViolinPerformance,NIME,,,,,
Jesse,1,1,0,0,0,0,America,2003,2,SensorBox:PracticalAudioInterfaceforGesturalPerformance,NIME,Timothy,,,,
Tue,1,0,0,0,0,0,Denmark,2003,1,Mixxx:TowardsNovelDJInterfaces,NIME,,,,,
Marije,4,0,0,0,0,0,Germany,2003,1,TheSTRIMIDILATOR:aStringControlledMIDI-Instrument,NIME,,,,,
Kevin,1,0,0,0,0,0,America,2003,1,Multi-Conductor:AnOnscreenPolymetricalConductingandNotationDisplaySystem,NIME,,,,,
Tina,4,2,0,0,0,0,America,2003,2,ContextsofCollaborativeMusicalExperiences,NIME,Sidney,,,,
Matthew,1,0,0,0,0,0,America,2003,1,Composingforthe(dis)EmbodiedEnsemble:NotationalSystemsin(dis)Appearances,NIME,,,,,
Claude,2,4,1,1,0,0,"Montreal,Canada",2003,4,{AC}ROE-{ICA}ArtisticCreationandComputerInteractiveMultisensorySimulationForceFeedbackGestureTransducers,NIME,Annie,Jean-Loup,Nicolas,,
Cormac,1,1,1,0,0,0,Canada,2003,3,EpipE:ExplorationoftheUilleannPipesasaPotentialControllerforComputer-basedMusic,NIME,Stephen,Sile,,,
Insook,4,0,0,0,0,0,England,2003,1,AComponentModelofGesturalPrimitiveThroughput,NIME,,,,,
Jean-Michel,1,1,0,0,0,0,France,2003,2,PointingFingers:UsingMultipleDirectInteractionswithVisualObjectstoPerformMusic,NIME,Daniel,,,,
Christopher,1,1,0,0,0,0,America,2003,2,GesturalControlofMusicUsingtheVicon8MotionCaptureSystem,NIME,Frí©dí©ric,,,,
Emmanuel,1,1,0,0,0,0,France,2003,2,EoBody:aFollow-uptoAtoMICPro{\textquoteright}sTechnology,NIME,Marc,,,,
Lalya,4,4,1,0,0,0,Sweden,2003,3,SonicCity:TheUrbanEnvironmentasaMusicalInterface,NIME,Ramia,Lars,,,
Motohide,0,0,0,0,0,0,America,2003,1,ErgonomicDesignofAPortableMusicalInstrument,NIME,,,,,
Donna,4,1,0,0,0,0,Australia,2003,2,E-mic:ExtendedMic-standInterfaceController,NIME,Ian,,,,
Reynald,1,1,2,0,0,0,Canada,2003,3,Real-timeAdaptiveControlofModalSynthesis,NIME,Kees,Sidney,,,
David,1,1,1,0,0,0,England,2003,3,ForceFeedbackGestureControlledPhysicalModellingSynthesis,NIME,Stuart,Andy,,,
Andy,1,1,0,0,0,0,England,2003,2,"MidiGrid:Past,PresentandFuture",NIME,Ross,,,,
Sergi,1,0,0,0,0,0,Spain,2003,1,SonigraphicalInstruments:From{FM}OLtothereacTable*,NIME,,,,,
Sukandar,0,0,0,0,0,0,Germany,2003,1,TheGluiph:aNucleusforIntegratedInstruments,NIME,,,,,
Loí¿c,1,1,0,0,0,0,France,2003,2,BimanualityinAlternateMusicalInstruments,NIME,Daniel,,,,
William,1,0,0,0,0,0,America,2003,1,"Dsp.rack:Laptop-basedModular,ProgrammableDigitalSignalProcessingandMixingforLivePerformance",NIME,,,,,
Mat,4,0,0,0,0,0,America,2003,1,BASIS:AGenesisinMusicalInterfaces,NIME,,,,,
Michael,1,1,0,0,0,0,Japan,2003,3,"Designing,Playing,andPerformingwithaVision-basedMouthInterface",NIME,Michael,Nobuji,,,
David,1,0,0,0,0,0,America,2003,1,Head-TrackingforGesturalandContinuousControlofParameterizedAudioEffects,NIME,,,,,
Paul,1,1,1,0,0,0,Germany,2003,3,AnExperimentalSetofHandGesturesforExpressiveControlofMusicalParametersinRealtime,NIME,Tony,Michael,,,
Ali,1,1,0,0,0,0,"Montreal,Canada",2003,2,CharacterizingandControllingMusicalMaterialIntuitivelywithGeometricModels,NIME,David,,,,
David,1,1,0,0,0,0,America,2003,2,Sodaconductor,NIME,Ed,,,,
Yoichi,1,0,0,0,0,0,Japan,2003,1,Bio-SensingSystemsandBio-FeedbackSystemsforInteractiveMediaArts,NIME,,,,,
Teresa,4,0,0,0,0,0,America,2003,1,ImmersionMusic:aProgressReport,NIME,,,,,
Henry,1,1,1,0,0,0,Japan,2003,3,BlockJam:ATangibleInterfaceforInteractiveMusic,NIME,Hiroaki,James,,,
Kazushi,1,4,1,0,0,0,Japan,2003,3,WhyAlwaysVersatile?DynamicallyCustomizableMusicalInstrumentsFacilitateExpressivePerformances,NIME,Chika,Yohei,,,
Nicola,4,1,1,0,0,0,Italy,2003,3,ScoreFollowing:StateoftheArtandNewDevelopments,NIME,Serge,Diemo,,,
Clí©o,4,0,0,0,0,0,Canada,2003,1,TheHyper-Flute,NIME,,,,,
Joseph,1,0,0,0,0,0,America,2003,1,Dual-UseTechnologiesforElectronicMusicControllers:APersonalPerspective,NIME,,,,,
Chad,1,1,1,0,0,0,America,2003,3,AnInterfaceforReal-timeClassificationofArticulationsProducedbyViolinBowing,NIME,David,Guy,,,
Joel,1,1,0,0,0,0,Netherlands,2003,2,TGarden:WearableInstrumentsandAugmentedPhysicality,NIME,Christopher,,,,
Gary,1,0,0,0,0,0,Canada,2003,1,THEPIPE:ExplorationswithBreathControl,NIME,,,,,
Zack,1,1,0,0,0,0,Canada,2003,2,ConvolutionBrother{\textquoteright}sInstrumentDesign,NIME,Cort,,,,
Hiroko,4,1,4,0,0,0,America,2003,3,SoundKitchen:DesigningaChemicallyControlledMusicalPerformance,NIME,Rodrigo,Vivian,,,
Eric,1,0,0,0,0,0,America,2003,1,SonicBanana:ANovelBend-Sensor-BasedMIDIController,NIME,,,,,
Eric,1,1,1,0,0,0,America,2003,3,LEMURGuitarBot:MIDIRoboticStringInstrument,NIME,Kevin,David,,,
Caroline,4,1,1,0,0,0,Canada,2003,3,"IndirectAcquisitionofInstrumentalGestureBasedonSignal,PhysicalandPerceptualInformation",NIME,Philippe,Marcelo,,,
David,1,1,0,0,0,0,America,2003,2,DuetMusicalCompanion:ImprovisationalInterfacesforChildren,NIME,Kenji,,,,
Scott,1,1,1,1,0,0,America,2003,4,MicrocontrollersinMusicHCIInstruction:ReflectionsonourSwitchtotheAtmelAVRPlatform,NIME,Michael,Bill,Pascal,,
Matthew,1,1,1,0,0,0,America,2003,3,OpenSoundControl:StateoftheArt2003,NIME,Adrian,Ali,,,
Diana,4,1,0,0,0,0,America,2003,2,HyperPuja:ATibetanSingingBowlController,NIME,Georg,,,,
Diana,4,4,0,0,0,0,America,2003,2,PlayabilityEvaluationofaVirtualBowedStringInstrument,NIME,Stefania,,,,
Mark,1,0,0,0,0,0,America,2004,1,TheSlidepipe:ATimeline-BasedControllerforReal-TimeSampleManipulation,NIME,,,,,
Nick,1,1,0,0,0,0,England,2004,2,Daisyphone:SupportforRemoteMusicCollaboration,NIME,Patrick,,,,
Matthew,1,0,0,0,0,0,America,2004,1,ATheoryofModulatedObjectsforNewShamanicControllerDesign,NIME,,,,,
Thierry,1,2,4,0,0,0,France,2004,3,TOASTERandKROONDE:High-ResolutionandHigh-SpeedReal-timeSensorInterfaces,NIME,Cyrille,Arshia,,,
Arshia,4,1,2,0,0,0,France,2004,3,Real-timeGestureMappinginPdEnvironmentusingNeuralNetworks,NIME,Thierry,Cyrille,,,
Gideon,1,0,0,0,0,0,America,2004,1,"RecyclingMusic,AnsweringBack:TowardanOralTraditionofElectronicMusic",NIME,,,,,
Roger,1,0,0,0,0,0,America,2004,1,AuraII:MakingReal-TimeSystemsSafeforMusic,NIME,,,,,
Sidney,2,4,4,1,0,0,Canada,2004,4,EvolvingTooka:fromExperimenttoInstrument,NIME,Linda,Sachiyo,Graeme,,
Emmanuel,1,1,1,1,0,0,France,2004,4,VersatileSensorAcquisitionSystemUtilizingNetworkTechnology,NIME,Nicolas,Jean-Christophe,Frí©dí©ric,,
Enrique,1,1,1,0,0,0,Ireland,2004,3,IssuesforDesigningaFlexibleExpressiveAudiovisualSystemforReal-timePerformance\&Composition,NIME,Niall,Mikael,,,
Lalya,4,1,0,0,0,0,Sweden,2004,2,InDuetwithEverydayUrbanSettings:AUserStudyofSonicCity,NIME,Lars,,,,
David,1,2,1,0,0,0,Canada,2004,3,ExplorationoftheCorrespondencebetweenVisualandAcousticParameterSpaces,NIME,Daryl,Matthew,,,
Suguru,1,1,0,0,0,0,France,2004,2,"TheCaseStudyofApplicationofAdvancedGestureInterfaceandMappingInterface,VirtualMusicalInstrument""LeSuperPolm""andGestureController""BodySuit""",NIME,Takahiko,,,,
Tomoko,4,1,1,0,0,0,Japan,2004,3,EnsembleSystemwithi-trace,NIME,Yasuaki,Takeshi,,,
Christophe,1,4,0,0,0,0,France,2004,2,ModelinganAirPercussionforCompositionandPerformance,NIME,Myriam,,,,
Rumi,4,1,1,1,0,0,Japan,2004,4,Rencon2004:TuringTestforMusicalExpression,NIME,Roberto,Keiji,Haruhiro,,
Anthony,1,4,0,0,0,0,America,2004,2,EyeMusic:MakingMusicwiththeEyes,NIME,Linda,,,,
Stephen,1,1,1,0,0,0,Ireland,2004,3,Epipe:ANovelElectronicWoodwindController,NIME,Cormac,Sile,,,
Katsuhisa,1,1,1,0,0,0,Japan,2004,3,ism:ImprovisationSupportingSystembasedonMelodyCorrection,NIME,Tetsuro,Masayuki,,,
Sergi,1,0,0,0,0,0,Spain,2004,1,DigitalInstrumentsandPlayers:PartI--EfficiencyandApprenticeship,NIME,,,,,
Martin,1,1,1,0,0,0,Spain,2004,3,DynamicPatchesforLiveMusicalPerformance,NIME,Gí_nter,Sergi,,,
Ajay,1,1,1,1,1,0,Canada,2004,5,TheElectronicSitarController,NIME,Ariel,Philip,Scott,Perry,
Haruhiro,1,1,0,0,0,0,Japan,2004,2,UsinganExpressivePerformanceTemplateinaMusicConductingInterface,NIME,Keita,,,,
Hideki,1,1,1,0,0,0,Japan,2004,3,AcappellaSynthesisDemonstrationsusingRWCMusicDatabase,NIME,Hideki,Masanori,,,
Eric,1,4,1,0,0,0,Germany,2004,3,You'reTheConductor:ARealisticInteractiveConductingSystemforChildren,NIME,Teresa,Jan,,,
Michael,1,0,0,0,0,0,Ireland,2004,1,LiveCinema:DesigninganInstrumentforCinemaEditingasaLivePerformance,NIME,,,,,
Takuro,1,0,0,0,0,0,America,2004,1,"RealtimeSamplingSystemfortheTurntablist,Version2:16padjoystickcontroller",NIME,,,,,
James,1,1,0,0,0,0,England,2004,2,"Don'tJustPlayit,Growit!:BreedingSoundSynthesisandPerformanceMappings",NIME,Phil,,,,
Homei,0,1,0,0,0,0,Japan,2004,2,Thermoscore:ANew-typeMusicalScorewithTemperatureSensation,NIME,Kazushi,,,,
Geoffrey,1,2,4,0,0,0,America,2004,3,SillyToneSquishFactory,NIME,Sasha,Marina,,,
Yoichi,1,0,0,0,0,0,Japan,2004,1,MeasurementofLatencyinInteractiveMultimediaArt,NIME,,,,,
Mark,1,4,0,0,0,0,America,2004,2,ASurveyofReal-TimeMIDIPerformance,NIME,Belinda,,,,
Sile,1,1,0,0,0,0,Ireland,2004,2,PebbleBoxandCrumbleBag:TactileInterfacesforGranularSynthesis,NIME,Georg,,,,
Garth,1,0,0,0,0,0,Australia,2004,1,GestureandMusicalInteraction:InteractiveEngagementThroughDynamicMorphology,NIME,,,,,
Nikita,1,0,0,0,0,0,Japan,2004,1,"ANewMixofForgottenTechnology:SoundGeneration,SequencingandPerformanceUsinganOpticalTurntable",NIME,,,,,
Jean-Marc,1,0,0,0,0,0,Japan,2004,1,AShape-BasedApproachtoComputerVisionMusicalPerformanceSystems,NIME,,,,,
Cornelius,1,0,0,0,0,0,Germany,2004,1,SynthesizedStringsforStringPlayers,NIME,,,,,
Chandrasekhar,1,1,1,0,0,0,Germany,2004,3,"TheArchitectureofAuracle:aReal-Time,Distributed,CollaborativeInstrument",NIME,Jason,Kristjan,,,
Stefania,4,4,0,0,0,0,Denmark,2004,2,TowardaGeneralizedFrictionController:fromtheBowedStringtoUnusualMusicalInstruments,NIME,Diana,,,,
Michael,1,0,0,0,0,0,America,2004,1,TheStranglophone:EnhancingExpressivenessInLiveElectronicMusic,NIME,,,,,
Judith,4,1,0,0,0,0,America,2004,2,TreeMusic:ComposingwithGAIA,NIME,David,,,,
Brian,1,0,0,0,0,0,Ireland,2004,1,TheSquiggle:ADigitalMusicalInstrument,NIME,,,,,
Gamhewage,0,4,1,0,0,0,Japan,2004,3,ANovelFace-trackingMouthControlleranditsApplicationtoInteractingwithBioacousticModels,NIME,Tamara,Michael,,,
Eric,1,1,1,1,0,0,America,2004,4,LEMUR'sMusicalRobots,NIME,Jeff,Chad,Bil,,
Hans-Christoph,1,0,0,0,0,0,America,2004,1,StickMusic:UsingHapticFeedbackwithaPhaseVocoder,NIME,,,,,
Masami,3,1,2,1,0,0,Japan,2004,4,SoundFeedbackforPowerfulKarateTraining,NIME,Kensuke,Yutaka,Yoichi,,
Assaf,1,0,0,0,0,0,Netherlands,2004,1,TheDecentralizedPianola:EvolvingMechanicalMusicInstrumentsusingaGeneticAlgorithm,NIME,,,,,
Atau,1,0,0,0,0,0,France,2004,1,MobileMusicMaking,NIME,,,,,
Ryan,2,1,0,0,0,0,America,2004,2,TechniquesforMulti-ChannelReal-TimeSpatialDistributionUsingFrequency-DomainProcessing,NIME,Cort,,,,
Doug,1,1,1,0,0,0,Canada,2004,3,OntheChoiceofMappingsBasedonGeometricProperties,NIME,Marcelo,Philippe,,,
Ge,1,1,0,0,0,0,America,2004,2,On-the-flyProgramming:UsingCodeasanExpressiveMusicalInstrument,NIME,Perry,,,,
Sook,3,0,1,0,0,0,America,2004,3,LightPipes:ALightControlledMIDIInstrument,NIME,Humane,Jeremy,,,
Diana,4,1,0,0,0,0,America,2004,2,AoBachi:ANewInterfacefor{Japan}eseDrumming,NIME,Ichiro,,,,
Philippe,1,0,0,0,0,0,Canada,2004,1,ThumbTec:ANewHandheldInputDevice,NIME,,,,,
Jamie,3,0,0,0,0,0,America,2005,1,boomBox,NIME,,,,,
Jesse,1,1,0,0,0,0,America,2005,2,Teabox:ASensorDataInterfaceSystem,NIME,Timothy,,,,
Kevin,1,0,0,0,0,0,America,2005,1,Real-TimeGenerationofMusicNotationviaAudienceInteractionUsingPythonand{GNU}Lilypond,NIME,,,,,
A’Ålvaro,1,1,1,0,0,0,Spain,2005,3,NetworkLatencyAdaptiveTempointhePublicSoundObjectsSystem,NIME,Jorge,Gí_nter,,,
Laszlo,1,1,1,1,0,0,America,2005,4,Bangarama:CreatingMusicWithHeadbanging,NIME,Stefan,Eric,Jan,,
Ross,1,0,0,0,0,0,Spain,2005,1,TheMetasurface--ApplyingNaturalNeighbourInterpolationtoTwo-to-ManyMapping,NIME,,,,,
Frí©dí©ric,1,1,1,0,0,0,France,2005,3,MnM:aMax/MSPmappingtoolbox,NIME,Rí©my,Norbert,,,
David,1,1,3,0,0,0,America,2005,3,"Sustainable:adynamic,robotic,soundinstallation",NIME,David,Kelly,,,
David,1,4,1,1,0,0,Canada,2005,4,TowardsaDimensionSpaceforMusicalDevices,NIME,Rebecca,Joseph,Marcelo,,
Tina,4,0,0,0,0,0,America,2005,1,TheConvergenceofAlternateControllersandMusicalInterfacesinInteractiveEntertainment,NIME,,,,,
Adam,1,0,0,0,0,0,America,2005,1,Soundstone:A{3-D}WirelessMusicController,NIME,,,,,
John,1,1,0,0,0,0,England,2005,2,"NotHyper,NotMeta,NotCyberbutInfra-Instruments",NIME,Phil,,,,
Don,1,0,0,0,0,0,America,2005,1,AHistoryofBuchla\'sMusicalInstruments,NIME,,,,,
Bill,1,0,0,0,0,0,Canada,2005,1,CausalityandStrikingtheRightNote,NIME,,,,,
Juan,1,1,1,0,0,0,America,2005,3,{SC}UBA:TheSelf-ContainedUnifiedBassAugmenter,NIME,Gautham,Jeffrey,,,
Jennifer,4,1,0,0,0,0,America,2005,2,{OR}OBORO:ACollaborativeControllerwithInterpersonalHapticFeedback,NIME,Bjo’_rn,,,,
William,1,3,0,0,0,0,America,2005,2,Location33:AMobileMusical,NIME,Leslie,,,,
Elaine,4,1,4,1,0,0,America,2005,4,ESP:ADrivingInterfaceforExpressionSynthesis,NIME,Alexander,Jie,Aaron,,
Perry,1,0,0,0,0,0,"Vancouver,BC,Canada",2005,1,Real-TimePerformanceControllersforSynthesizedSinging,NIME,,,,,
Alain,1,1,0,0,0,0,Switzerland,2005,2,TangibleAcousticInterfacesandtheirApplicationsfortheDesignofNewMusicalInstruments,NIME,Pietro,,,,
Roger,1,1,1,1,0,0,America,2005,4,McBlare:ARoboticBagpipePlayer,NIME,Ben,Garth,Ron,,
Meghan,4,2,1,4,0,0,Canada,2005,4,Echology,NIME,Sidney,Reynald,Sachiyo,,
John,1,1,0,0,0,0,America,2005,2,Multiple-Touch-SensitiveKeyboard,NIME,Robert,,,,
Georg,1,1,0,0,0,0,Ireland,2005,2,Scrubber:AnInterfaceforFriction-inducedSounds,NIME,Sile,,,,
Emmanuel,1,0,0,0,0,0,France,2005,1,TheWiSeBox:aMulti-performerWirelessSensorInterfaceusing{WiFi}andOSC,NIME,,,,,
Jesse,1,4,0,0,0,0,America,2005,2,SoniMime:MovementSonificationforReal-TimeTimbreShaping,NIME,Jennifer,,,,
Angelo,1,0,0,0,0,0,Australia,2005,1,SmartController/BellGardenDemo,NIME,,,,,
Angelo,1,0,0,0,0,0,Australia,2005,1,TheSmartControllerWorkbench,NIME,,,,,
Ivan,1,0,0,0,0,0,Portugal,2005,1,TheAirstick:AFree-GestureControllerUsingInfraredSensing,NIME,,,,,
Mathias,1,1,1,0,0,0,Japan,2005,3,SonificationofFacialActionsforMusicalExpression,NIME,Kazuhiro,Michael,,,
Alain,1,0,0,0,0,0,Switzerland,2005,1,InteractiveSoundInstallation:INTRIUM,NIME,,,,,
Ju’_rg,1,1,1,0,0,0,Switzerland,2005,3,GoingPublik:UsingRealtimeGlobalScoreSynthesis,NIME,Art,Thomas,,,
David,1,1,0,0,0,0,America,2005,2,Sonictroller,NIME,Spencer,,,,
Robert,1,0,0,0,0,0,"Vancouver,BC,Canada",2005,1,PreciseControlonCompoundCurves,NIME,,,,,
Jordi,1,0,0,0,0,0,Spain,2005,1,Voice-controlledpluckedbassguitarthroughtwosynthesistechniques,NIME,,,,,
Sergi,1,0,0,0,0,0,Spain,2005,1,"Multi-userInstruments:Models,ExamplesandPromises",NIME,,,,,
David,1,0,0,0,0,0,America,2005,1,MusicalScoreGenerationinValsesandEtudes,NIME,,,,,
Shigeru,1,0,0,0,0,0,Japan,2005,2,Spinner:ASimpleApproachtoReconfigurableUserInterfaces,NIME,Akamasu,,,,
Eric,1,1,0,0,0,0,Germany,2005,2,TheRoleofTimeinEngineeringComputerMusicSystems,NIME,Jan,,,,
Paul,1,1,0,0,0,0,America,2005,2,BridgingtheGapBetweenArtandScienceEducationThroughTeachingElectronicMusicalInstrumentDesign,NIME,Todd,,,,
Golan,1,0,0,0,0,0,France,2005,1,APersonalChronologyofAudiovisualSystemsResearch,NIME,,,,,
Golan,1,1,0,0,0,0,America,2005,2,SoundsfromShapes:AudiovisualPerformancewithHandSilhouetteContoursinTheManualInputSessions,NIME,Zachary,,,,
Dan,1,1,0,0,0,0,England,2005,2,Orb3--AdaptiveInterfaceDesignforRealtimeSoundSynthesis\&DiffusionwithinSociallyMediatedSpaces,NIME,Eduardo,,,,
Alex,1,1,0,0,0,0,Spain,2005,2,Thewahwactor:avoicecontrolledwah-wahpedal,NIME,Thomas,,,,
Robert,1,1,0,0,0,0,America,2005,2,BeatBoxing:ExpressiveControlforElectronicMusicPerformanceandMusicalApplications,NIME,Jack,,,,
