Title;Author(s);Year;Country
Sonification of Women in Sound and Music Computing - The Sound of Female Authorship in ICMC, SMC and NIME Proceedings;Frid, Emma;2017;China
Musical Sonification of Super High Frequency Lighting;"Çakmak, Ö. Cem; Hamilton, Rob";2017;China
Interactive Music and Media at Rensselaer: Studio Report 2017;"Hamilton, Rob; Bahn, Curtis";2017;China
The CCM Center for Computer Music 2017;"Helmuth, Mara; Lukaszuk, Michael; DiPronio, Marissa";2017;China
Next-generation Computer-aided Composition Environment: A New Implementation of OpenMusic;"Bresson, Jean; Bouche, Dimitri; Carpentier, Thibaut; Schwarz, Diemo; Garcia, Jérémie";2017;China
Chuck-Racks: Text-Based Music Programming for the Digital Audio Workstation;"Hochenbaum, Jordan; Salazar, Spencer; Sena, Rodrigo";2017;China
Interactive computer-aided composition with constraints;"Talbot, Pierre; Agon, Carlos; Esling, Philippe";2017;China
FrameLib: Audio DSP using Frames of Arbitrary Length and Timing;Harker, Alex;2017;China
How Does Parametric Reverberation Change the Space of Instrument Emotional Characteristics?;"Mo, Ronald K.; So, Richard H.Y.; Horner, Andrew";2017;China
From Harmonization to Recolorization: Ant Foraging Inspired Auditory-Visual Synesthetic Pattern Transformation;Zheng, Chenyu;2017;China
Cross-cultural aspects of perceptual features in K-Pop: A pilot study comparing Chinese and Swedish listeners;"Friberg, Anders; Schön, Ragnar; Elowsson, Anders; Choi, Kahyun; Downie, J. Stephen";2017;China
Aural Simulation of Tactile Defensiveness;"Schlei, Kevin; Yoshikane, Rebecca";2017;China
FormSound: A Particle Formation-Based Audiovisual Interface;"Park, Sihwa; Joo, Woohun";2017;China
Interaction Models for Real-time Participatory Musical Performance using Mobile Devices;"Liu, Danyi; van der Heide, Edwin";2017;China
Hands where we can see them! Investigating the impact of gesture size on audience perception;"Bin, S. M. Astrid; Bryan-Kinns, Nick; McPherson, Andrew P.";2017;China
Understanding Interaction in Musical Multi-Touch Surfaces;"Gonzalez-Inostroza, Marie; Sylleros, Alvaro; Cádiz, Rodrigo F.";2017;China
Music Style Analysis among Haydn, Mozart, and Beethoven: an Unsupervised Machine Learning Approach;"Wen, Ru; Xie, Zheng; Chen, Kai; Guo, Ruoxuan; Xu, Kuan; Huang, Wenmin; Tian, Jiyuan; Wu, Jiang";2017;China
Improving Robotic Chordophones with Closed-Loop Embedded Audio Feedback Systems;"Long, Jason; Skelly, Neill; Murphy, Jim; Carnegie, Dale A.; Kapur, Ajay";2017;China
MyoSpat: A hand-gesture controlled system for sound and light projections manipulation;"Di Donato, Balandino; Dooley, James; Hockman, Jason; Bullock, Jamie; Hall, Simon";2017;China
VisualSoundtrack: An Approach to Style Transfer in the Context of Soundtrack Prototyping;"Ananthabhotla, Ishwarya; Paradiso, Joseph A.";2017;China
Multimedia Performance Installation with Virtual Reality;Lee, Cheng;2017;China
Interactive Composition and Performance Framework with Evolutionary Computing;Choi, Insook;2017;China
Expansion Through the Machine: A Composition for Harmonica and Wearable;"Hickman, Oliver; Park, Tae Hong";2017;China
Mediating a Comprovisation Performance: the Comprovisador's Control Interface;Louzeiro, Pedro;2017;China
Case Study of a Sensor Platform System Using the Wireless Microprocessor Module TWE-LITE for Media Art and Computer Music;"Saburo, Hirano; Akiko, Ochi";2017;China
Portable C++ Framework for Low-Latency Musical Touch Interaction with Geometrical Shapes;"Le Vaillant, Gwendal; Villée, Guillaume; Dutoit, Thierry";2017;China
Keyboard Interface with Shape-Distortion Expression for Interactive Performance;"Ogata, Masa; Goto, Masataka";2017;China
Cinemacraft: Immersive Live Machinima as an Empathetic Musical Storytelling Platform;"Narayanan, Siddharth; Bukvic, Ivica Ico";2017;China
Performing a Performer: human performers instead of electric sound generators;Nikoladze, Koka;2017;China
Assessment Techniques for New Mechatronic Instruments as Applied to speaker.motion.;"Johnson, Bridget; Kapur, Ajay";2017;China
Performance-Installation: Four Projects;"Kojs, Juraj; Lough, Alex";2017;China
MetaFlute: A Wearable Interface for Gesture Detection;"Siwiak, Diana; Carnegie, Dale A.; Murphy, Jim; Kapur, Ajay";2017;China
A Study of What Makes Calm and Sad Music So Difficult to Distinguish in Music Emotion Recognition;"Hong, Yu; Chau, Chuck-Jee; Horner, Andrew";2017;China
SoZen - Improving Productivity with a Soundscape Generating Zen Garden;"Yang, Jiajun; Hermann, Thomas";2017;China
A New Method for Objective Measurement of Perceived Audio Quality;"Wang, Hsiao-Yen; Huang, Jin-Huang; Tseng, Yu-Chung";2017;China
A Real-Time Music Emotion Modulation System for Soundtracks;"Chang, Bing Yen; Horner, Andrew";2017;China
The Effects of Convolution Reverberation on the Emotional Characteristics;"Mo, Ronald K.; Horner, Andrew";2017;China
The Impact of the Digital Interface and the Score on Controlled Improvisation When Using Acoustic Instruments in an Electroacoustic Context;Estibeiro, Marc;2017;China
CalmusWaves: Where Dancers Compose Music in Real-Time;Ólafsson, Kjartan;2017;China
fcremap'dB: Audiovisual Re-mapping, Animated Notation, and Embodied Electronics;Sigman, Alexander;2017;China
The Systematic Grouping of Detection Tools for Properties of Acousmaticity: Binary Tension Between Sonority and Pulse;Jurkūnas, Jonas;2017;China
Folk Song Notation Transcription Using Spectrogram - A Case Study of Yao Ethnic Group Folk Song from Guangxi Ling-Yun, Southwest China;"Tzeng, Shing-Kwei; Huang, Chih-Fang";2017;China
Human Excess: Aesthetics of Post-Internet Electronic Music;Pedersen, Anders Bach;2017;China
Appropriate Isomorphic Layout Determination Using 3-D Helix Lattices;"Hu, Hanlin; Gerhard, David";2017;China
A Method for Subjective Analysis of Audiovisual Works;Ciciliani, Marko;2017;China
The Machine Lab: A Modern Classroom to Teach Mechatronic Music;"Villicaña-Shaw, Nathan; Salazar, Spencer; Kapur, Ajay";2017;China
Exploring sonic landscapes through the use of spatial and temporal sampling techniques;Otondo, Felipe;2017;China
Macrostructure and Transition in an Algorithmic Composition Environment;Paoli, Ken;2017;China
Redesigning Music Education Through Laptop Ensembles;"Yépez, Juan Pablo; Hochenbaum, Jordan; Salazar, Spencer; Kapur, Ajay";2017;China
madBPM: A Modular Multimodal Environment for Data-Driven Composition And Sonification;"Fox, K. Michael; Stewart, Jeremy; Hamilton, Rob";2017;China
Exploring concatenative synthesis units in VR;Neupert, Max;2017;China
Imaginary Miles: Modeling Musebots After Musicians;Eigenfeldt, Arne;2018;South Korea
The Effects of Mode, Pitch, and Dynamics on Valence in Piano Scales and Chord Progressions;"Hong, Yu; Mo, Ronald; Horner, Andrew";2018;South Korea
Using Recurrent Neural Networks to Dream Sequences of Audio;"Pfalz, Andrew; Berdahl, Edgar; Allison, Jesse";2018;South Korea
Deep Neural Network Based Music Source Conducting System;Lee, Myungin;2018;South Korea
An Expressive Brain-computer Music Interface for Musical Neurofeedback;"Ramirez, Rafael; Giraldo, Sergio; Vamvakousis, Zacharias";2018;South Korea
The Lure Towards the Performative in Nonlinear Audiovisual Installations;Connors, Teresa Marie;2018;South Korea
Spatial Organization in Musical Form;"Boren, Braxton; Musick, Michael";2018;South Korea
Is This How It Sounded? The Idea of ‘Historic Informed Performance Practice’ in Early Mixed Music;Akkermann, Miriam;2018;South Korea
Populous Oscillation: Variety in Interactive Evolutionary Computation for Music Improvisation;Pedersen, Anders Bach;2018;South Korea
A Study on the Audiovisual Art of Nam June Paik in the Context of Multimodality and Synesthesia;"Yoon, Ji Won; Yeo, Woon Seung";2018;South Korea
Accessible Digital Musical Instruments - a Survey of Inclusive Instruments Presented at the NIME, SMC and ICMC Conferences;Frid, Emma;2018;South Korea
Gestural Envelopes: Aesthetic Considerations for Mapping Physical Gestures Using Wireless Motion Sensors;"Lough, Alex; Micchelli, Mark; Kimura, Mari";2018;South Korea
Mugeetion: Musical Interface Using Facial Gesture and Emotion;"Koh, Eunjeong Stella; Yadegari, Shahrokh";2018;South Korea
LSL.LPSR: Applying Contemporary Compositional Processes Into an Electroacoustic Improvisation Tool;Caers, Vincent;2018;South Korea
Displaced Light: a Composition for Six Instruments and Electronics Mediated Through the Application of Microsound;Estibeiro, Marc;2018;South Korea
The Murmurator: a Flocking Simulation-driven Multi-channel Software Instrument for Collaborative Improvisation;"Stine, Eli; Davis, Kevin";2018;South Korea
AMAI: Adaptive Music for Affect Improvement;"Su, David; Picard, Rosalind; Liu, Yan";2018;South Korea
Coding With a Piano: the First Phase of the Codeklavier's Development;"Veinberg, Anne; Noriega, Felipe Ignacio";2018;South Korea
Spectral Granular Synthesis;Fasciani, Stefano;2018;South Korea
UGG: a Unit Generator Generator;Dannenberg, Roger B.;2018;South Korea
Audioworklet: the Future of Web Audio;Choi, Hongchan;2018;South Korea
Topographic Synthesis: Parameter Distribution in Spatial Texture;Nyström, Erik;2018;South Korea
Electronic Music Documentations, Practices and Models;"Lemouton, Serge; Bonardi, Alain; Pottier, Laurent; Warnier, Jacques";2018;South Korea
Compel: a Crowdsourced Community-building Repository for Reproducible Computer Music;"Bukvic, Ivica Ico; Ogier, Andrea L.";2018;South Korea
(Re)discovering Sounds of CCRMA - Towards Computer Music Preservation;Dahan, Kevin;2018;South Korea
The Electro-acoustic Music Mine (EAMM): an Initiative for the Archival Preservation of Electro-acoustic Music;"Park, Tae Hong; Underwood, Kent";2018;South Korea
Sustainability of Compositions Involving Electronic Technology: Part I – in Conversation With Alcides Lanza;Garbet, Brian;2018;South Korea
Behave: a Heatmap-based Audiovisual Representation of Personal Data;Park, Sihwa;2018;South Korea
Philosophical Underpinnings of Environmental Music;Carson, Tate;2018;South Korea
Urban Soundscape: Analyzing Spatiotemporal Patterns of Acoustic Events and Soundscape Components, and Its Influence on the Socioeconomic Status of New York City Neighborhoods;"Faruqi, Shuraifa Asmah Shad Saleem; Park, Tae Hong";2018;South Korea
Citygram One: Seven Years Later;"Park, Tae Hong; Yoo, Minjoon";2018;South Korea
"Sonode; a Collaborative Sound Map of Mexico City";Garcia, Hugo Solis;2018;South Korea
The Tuning and Synthesis Issue of the Ancient Chinese Chime-bells Instrument From the Tomb of Marquis Yi of the Zeng State;"Liu, Tsung-Ching; Lin, Wan Tin";2018;South Korea
The Contributions of Computer Music Pioneer Knut Wiggen;Rudi, Jøran;2018;South Korea
The Aesthetics of Robot Opera: Human-centric or Mechanized Eccentric?;Sigman, Alexander;2018;South Korea
Voice in Electronic Music: Handling Limitations in Stockhausen’s Gesang Der Jünglinge and Lansky’s Six Fantasies;Volker, Mark;2018;South Korea
Inherent Meanings From the Environmental Impacts of the Production and Performance of Electronic Music;Blandino, Michael;2018;South Korea
University of Oregon – Future Music Oregon 2018 Studio Report;Stolet, Jeffrey;2018;South Korea
Harvestworks Digital Media Arts Center;Parkinson, Carol;2018;South Korea
Center for Arts and Technologies at Seoul National University;"Nam, Sangbong; Lee, Gang Seong; Ko, Pyoung Ryang; Ko, Byongoh; Cho, Jinok; Lee, Donoung";2018;South Korea
Studio Report: KEAMS;"Cho, Jinok; Lee, Donoung";2018;South Korea
Do People With Absolute Pitch Really Produce the P300 Response When Processing Tones?;"Park, Jonghwa; Lee, Sungeun";2018;South Korea
Investigating How Convolution Reverberation Effects the Space of Instrument Emotional Characteristics;"Mo, Ronald K.; So, Richard H. Y.; Horner, Andrew";2018;South Korea
The Effects of Pitch, Dynamics, and Vowel on the Emotional Characteristics of The Soprano Voice;"Chang, Bing Yen; Horner, Andrew";2018;South Korea
Vocal Distortion and Real-Time Processing of Roughness;"Gentilucci, Marta; Ardaillon, Luc; Liuni, Marco";2018;South Korea
OBOEJS: a Constraint-based Approach to Instrument-specific Algorithmic Composition;Döbereiner, Luc;2018;South Korea
Phil Winsor's Myst: Research and Art – a Technical and Aesthetic Consideration;Paoli, Ken;2018;South Korea
Chordscanner: Browsing Chord Progressions Based on Musical Typicality and Intra-composer Consistency;"Nakamura, Hiromi; Nakano, Tomoyasu; Fukayama, Satoru; Goto, Masataka";2018;South Korea
Music Recombination Using a Genetic Algorithm;"Majumder, Sanjay; Smith, Benjamin D.";2018;South Korea
Structured Cell: a Work in Space;Rafferty, David;2018;South Korea
Digital Ensemble Skills in a Laptop Orchestra;Lee, Cheng;2018;South Korea
Locustream Open Microphone Project;Sinclair, Peter;2018;South Korea
A Physically-distinct, Multi-agent, Sonic Space Ecosystem;Musick, Michael;2018;South Korea
Music Making Mobile Application Using Geometry;"Villée, Guillaume; Le Vaillant, Gwendal";2018;South Korea
Music Production Mobile App with Voice-to-MIDI Feature;"Au, Chun-Ming; Horner, Andrew";2018;South Korea
SPATGRIS/SERVERGRIS, Creative Tools for 2D and 3D Sound Spatialization;"Normandeau, Robert; Bélanger, Olivier; Lengelé, Christophe; Ledoux, David";2018;South Korea
Live 4 Life - A Spatial Performance Tool Focused On Rhythm And Parameter Loops;Lengelé, Christophe;2018;South Korea
Nething: An Educational Open-source Web-based Graphical User Interface for Controlling Ambisonic And Wave Field Speaker Arrays;"Rios, Ian; Hamilton, Rob";2018;South Korea
Data Visualization and Analysis for Stage Monitoring Systems;"Stillwell, Austin; Park, Tae Hong";2018;South Korea
Tangible Virtual Patch Cords;"Fasciani, Stefano; Rahman, Habibur";2018;South Korea
ENOBIO2OSC: Brain-computer Interface for Musical Creation;"Levicán, Constanza; Belaúnde, Vernon; Vega, Alberto; Aparicio, Andrés; Cádiz, Rodrigo F.";2018;South Korea
Rainbow Blob: Augmented Handpan Using Leap Motion and Oculus Rift;"Steinmeier, Christine; Becking, Dominic";2018;South Korea
“Chorale” Violin Harmonization: A Practical, Compositionally-based System for Generating Live Harmonies;Tignor, Christopher;2018;South Korea
Dipole Instruments for Sketching in Hardware with Embedded Acoustics;Berdahl, Edgar;2018;South Korea
The Emotional Characteristics of Rain Sound Effects;"Sin, Wing Lam; Ma, Xiaojuan; Horner, Andrew";2018;South Korea
The Emotional Characteristics of Section String Instruments with Different Pitch and Dynamics;"Chan, Hiu Ting; Mo, Ronald; Chau, Chuck Jee; Horner, Andrew";2018;South Korea
