,AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17,
,"[u'Robson, Dominic']",Dominic,male,England,2001,1,PLAY! : Sound Toys For the Non Musical,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
,"[u'Ulyate, Ryan', u'Bianciardi, David']",Ryan,male,America,2001,2,The Interactive Dance Club : Avoiding Chaos In A Multi Participant Environment,NIME,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,,,,,,,,,,,,,,,,
,"[u'Verplank, Bill', u'Sapp, Craig', u'Mathews, Max']",Bill,male,America,2001,3,A Course on Controllers,NIME,Craig,male,Max,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.98,,,,,,,,,,,,,,,
,"[u'Wessel, David', u'Wright, Matthew']",David,male,America,2001,2,Problems and Prospects for Intimate Musical Control of Computers,NIME,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u',IXISoftware']",IXISoftware,None,England,2002,1,IXI software,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u', StanzaGroup']",StanzaGroup,None,England,2002,1,Amorphoscapes \& Soundtoys,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Arfib, Daniel', u'Dudon, Jacques']",Daniel,male,France,2002,2,A Digital Emulator of the Photosonic Instrument,NIME,Jacques,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u'Baumann, Alain', u""S\\'{a}nchez, Rosa""]",Alain,male,Spain,2002,2,Interdisciplinary Applications of New Instruments,NIME,Rosa,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u'Bernard, David']",David,male,Scotland,2002,1,Experimental Controllers for Live Electronic Music Performance (vs. Copyright).,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Blaine, Tina', u'Forlines, Clifton']",Tina,female,America,2002,2,JAM-O-WORLD: Evolution of the Jam-O-Drum Multi-player Musical Controller into the Jam-O-Whirl Gaming Interface,NIME,Clifton,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Bongers, Bert', u'Harris, Yolande']",Bert,male,Spain,2002,2,A Structured Instrument Design Approach: The Video-Organ,NIME,Yolande,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1,,,,,,,,,,,,,,,,
,"[u'Burtner, Matthew']",Matthew,male,America,2002,1,Noisegate 67 for Metasaxophone: Composition and Performance Considerations of a New Computer Music Controller,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Camurri, Antonio', u'Trocca, Riccardo', u'Volpe, Gualtiero']",Antonio,male,Italy,2002,3,Interactive Systems Design: A KANSEI-based Approach,NIME,Riccardo,male,Gualtiero,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Chadabe, Joel']",Joel,male,America,2002,1,The Limitations of Mapping as a Structural Descriptive in Electronic Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Couturier, Jean-Michel']",Jean-Michel,male,France,2002,1,A Scanned Synthesis Virtual Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,
,"[u""D'Arcangelo, Gideon""]",Gideon,male,America,2002,1,Creating a Context for Musical Innovation: A NIME Curriculum,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Fels, Sidney S.', u'Vogt, Florian']",Sidney,male,Canada,2002,2,Tooka: Explorations of Two Person Instruments,NIME,Florian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1,,,,,,,,,,,,,,,,
,"[u'Ferris, Kieran', u'Bannon, Liam']",Kieran,male,Ireland,2002,2,The Musical Box Garden,NIME,Liam,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
,"[u""Fl\\'{e}ty, Emmanuel""]",Emmanuel,male,France,2002,1,AtoMIC Pro: a Multiple Sensor Acquisition Device,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Gadd, Ashley', u'Fels, Sidney S.']",Ashley,female,Canada,2002,2,MetaMuse: Metaphors for Expressive Instruments,NIME,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.76,,,,,,,,,,,,,,,,
,"[u'Griffith, Niall J.', u""O'Leary, Sean"", u""O'Shea, Donagh"", u'Hammond, Ed', u""O'Modhrain, Sile""]",Niall,male,Ireland,2002,5,Circles and Seeds: Adapting Kpelle Ideas about Music Performance for Collaborative Digital Music performance,NIME,Sean,male,Donagh,None,Ed,male,Sile,male,,,,,,,,,,,,,,,,,,,,,,,,,1,1,None,1,1,,,,,,,,,,,,,
,"[u'Gunther, Eric', u'Davenport, Glorianna', u""O'Modhrain, Sile""]",Eric,male,America,2002,3,Cutaneous Grooves: Composing for the Sense of Touch,NIME,Glorianna,None,Sile,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,None,1,,,,,,,,,,,,,,,
,"[u'Hankins, Tim', u'Merrill, David', u'Robert, Jocelyn']",Tim,male,America,2002,3,Circular Optical Object Locator,NIME,David,male,Jocelyn,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,0.95,,,,,,,,,,,,,,,
,"[u'Hasan, Leila', u'Yu, Nicholas', u'Paradiso, Joseph A.']",Leila,female,America,2002,3,The Termenova : A Hybrid Free-Gesture Interface,NIME,Nicholas,male,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,,,,,,,,,,,,,,,
,"[u'Hunt, Andy D.', u'Wanderley, Marcelo M.', u'Paradis, Matthew']",Andy,male,England,2002,3,The importance of Parameter Mapping in Electronic Instrument Design,NIME,Marcelo,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1,1,,,,,,,,,,,,,,,
,"[u'Huott, Robert']",Robert,male,America,2002,1,An Interface for Precise Musical Control,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Taelman,Johannes']",Johannes,male,Belgium,2002,1,A Low-cost Sonar for Unobtrusive Man-machine Interfacing,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Jord\\`{a}, Sergi']",Sergi,male,Spain,2002,1,Afasia: the Ultimate Homeric One-man-multimedia-band,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Kapur, Ajay', u'Essl, Georg', u'Davidson, Philip L.', u'Cook, Perry R.']",Ajay,male,America,2002,4,The Electronic Tabla Controller,NIME,Georg,male,Philip,male,Perry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,1,0.94,,,,,,,,,,,,,,
,"[u'Kessous, Lo\\""{\\i}c']",Loïc,male,France,2002,1,"Bi-manual Mapping Experimentation, with Angular Fundamental Frequency Control and Sound Color Navigation",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Machover, Tod']",Tod,male,America,2002,1,"Instruments, Interactivity, and Inevitability",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Mandelis, James']",James,male,England,2002,1,Adaptive Hyperinstruments: Applying Evolutionary Techniques to Sound Synthesis and Performance,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Marshall, Mark T.', u'Rath, Matthias', u'Moynihan, Breege']",Mark,male,Ireland,2002,3,The Virtual Bodhran -- The Vodhran,NIME,Matthias,male,Breege,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,None,,,,,,,,,,,,,,,
,"[u'Mccaig, Graeme', u'Fels, Sidney S.']",Graeme,male,Canada,2002,2,Playing on Heart-Strings: Experiences with the 2{H}earts System,NIME,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.76,,,,,,,,,,,,,,,,
,"[u'McElligott, Lisa', u'Dixon, Edward', u'Dillon, Michelle']",Lisa,female,Ireland,2002,3,`PegLegs in Music' Processing the Effort Generated by Levels of Expressive Gesturing in Music,NIME,Edward,male,Michelle,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Ng, Kia']",Kia,female,England,2002,1,Interactive Gesture Music Performance Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
,"[u'Nichols, Charles']",Charles,male,America,2002,1,The vBow: Development of a Virtual Violin Bow Haptic Human-Computer Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Oboe, Roberto', u'De Poli, Giovanni']",Roberto,male,Italy,2002,2,Multi-instrument Virtual Keyboard -- The MIKEY Project,NIME,Giovanni,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Paine, Garth']",Garth,male,England,2002,1,GESTATION,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Pardue, Laurel S.', u'Paradiso, Joseph A.']",Laurel,female,America,2002,2,Musical Navigatrics: New Musical Interactions with Passive Magnetic Tags,NIME,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u'Patten, James', u'Recht, Ben', u'Ishii, Hiroshi']",James,male,America,2002,3,Audiopad: A Tag-based Interface for Musical Performance,NIME,Ben,male,Hiroshi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1,,,,,,,,,,,,,,,
,"[u'Schnell, Norbert', u'Battier, Marc']",Norbert,male,France,2002,2,"Introducing Composed Instruments, Technical and Musicological Implications",NIME,Marc,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Smyth, Tamara', u'Smith, Julius O.']",Tamara,female,America,2002,2,Creating Sustained Tones with the Cicada's Rapid Sequential Buckling Mechanism,NIME,Julius,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Tanaka, Atau', u'Knapp, Benjamin']",Atau,None,France,2002,2,Multimodal Interaction in Music Using the Electromyogram and Relative Position Sensing,NIME,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1,,,,,,,,,,,,,,,,
,"[u'Verplank, Bill', u'Gurevich, Michael', u'Mathews, Max']",Bill,male,America,2002,3,THE PLANK: Designing a Simple Haptic Controller.,NIME,Michael,male,Max,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.98,,,,,,,,,,,,,,,
,"[u'Vogt, Florian', u'Mccaig, Graeme', u'Ali, Mir A.', u'Fels, Sidney S.']",Florian,male,Canada,2002,4,Tongue `n' Groove: An Ultrasound based Music Controller,NIME,Graeme,male,Mir,male,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,0.81,0.76,,,,,,,,,,,,,,
,"[u'Weinberg, Gil', u'Aimi, Roberto', u'Jennings, Kevin']",Gil,male,America,2002,3,The Beatbug Network -A Rhythmic System for Interdependent Group Collaboration,NIME,Roberto,male,Kevin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1,1,,,,,,,,,,,,,,,
,"[u'Wessel, David', u'Wright, Matthew', u'Schott, John']",David,male,America,2002,3,Intimate Musical Control of Computers with a Variety of Controllers and Gesture Mapping Metaphors,NIME,Matthew,male,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,,,,,,,,,,,,,,,
,"[u'Wilkerson, Carr', u'Serafin, Stefania', u'Ng, Carmen']",Carr,male,America,2002,3,The Mutha Rubboard Controller,NIME,Stefania,female,Carmen,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.99,1,,,,,,,,,,,,,,,
,"[u'Winkler, Todd']",Todd,male,America,2002,1,"Fusing Movement, Sound, and Video in Falling Up, an Interactive Dance/Theatre Production",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Wynnychuk, Jordan', u'Porcher, Richard', u'Brajovic, Lucas', u'Brajovic, Marko', u'Platas, Nacho']",Jordan,male,Spain,2002,5,sutoolz 1.0 alpha : {3D} Software Music Interface,NIME,Richard,male,Lucas,male,Marko,male,Nacho,male,,,,,,,,,,,,,,,,,,,,,,,,,0.77,1,1,0.99,1,,,,,,,,,,,,,
,"[u'Young, Diana']",Diana,female,America,2002,1,The Hyperbow Controller: Real-Time Dynamics Measurement of Violin Performance,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Allison, Jesse T.', u'Place, Timothy']",Jesse,male,America,2003,2,SensorBox: Practical Audio Interface for Gestural Performance,NIME,Timothy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1,,,,,,,,,,,,,,,,
,"[u'Andersen, Tue H.']",Tue,male,Denmark,2003,1,Mixxx : Towards Novel DJ Interfaces,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Baalman, Marije A.']",Marije,female,Germany,2003,1,The STRIMIDILATOR: a String Controlled MIDI-Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Baird, Kevin C.']",Kevin,male,America,2003,1,Multi-Conductor: An Onscreen Polymetrical Conducting and Notation Display System,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Blaine, Tina', u'Fels, Sidney S.']",Tina,female,America,2003,2,Contexts of Collaborative Musical Experiences,NIME,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.76,,,,,,,,,,,,,,,,
,"[u'Burtner, Matthew']",Matthew,male,America,2003,1,Composing for the (dis)Embodied Ensemble : Notational Systems in (dis)Appearances,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Cadoz, Claude', u'Luciani, Annie', u'Florens, Jean-Loup', u""Castagn\\'{e}, Nicolas""]",Claude,male,"Montreal, Canada",2003,4,{AC}ROE - {ICA} Artistic Creation and Computer Interactive Multisensory Simulation Force Feedback Gesture Transducers,NIME,Annie,female,Jean-Loup,male,Nicolas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1,1,1,,,,,,,,,,,,,,
,"[u'Cannon, Cormac', u'Hughes, Stephen', u""O'Modhrain, Sile""]",Cormac,male,Canada,2003,3,EpipE: Exploration of the Uilleann Pipes as a Potential Controller for Computer-based Music,NIME,Stephen,male,Sile,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Choi, Insook']",Insook,female,England,2003,1,A Component Model of Gestural Primitive Throughput,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Couturier, Jean-Michel', u'Arfib, Daniel']",Jean-Michel,male,France,2003,2,Pointing Fingers: Using Multiple Direct Interactions with Visual Objects to Perform Music,NIME,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1,,,,,,,,,,,,,,,,
,"[u'Dobrian, Christopher', u""Bevilacqua, Fr\\'{e}d\\'{e}ric""]",Christopher,male,America,2003,2,Gestural Control of Music Using the Vicon 8 Motion Capture System,NIME,Frédéric,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u""Fl\\'{e}ty, Emmanuel"", u'Sirguy, Marc']",Emmanuel,male,France,2003,2,EoBody : a Follow-up to AtoMIC Pro{\textquoteright}s Technology,NIME,Marc,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Gaye, Lalya', u""Maz\\'{e}, Ramia"", u'Holmquist, Lars E.']",Lalya,female,Sweden,2003,3,Sonic City: The Urban Environment as a Musical Interface,NIME,Ramia,female,Lars,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Hatanaka, Motohide']",Motohide,None,America,2003,1,Ergonomic Design of A Portable Musical Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Hewitt, Donna', u'Stevenson, Ian']",Donna,female,Australia,2003,2,E-mic: Extended Mic-stand Interface Controller,NIME,Ian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u'Hoskinson, Reynald', u'van den Doel, Kees', u'Fels, Sidney S.']",Reynald,male,Canada,2003,3,Real-time Adaptive Control of Modal Synthesis,NIME,Kees,male,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.76,,,,,,,,,,,,,,,
,"[u'Howard, David M.', u'Rimell, Stuart', u'Hunt, Andy D.']",David,male,England,2003,3,Force Feedback Gesture Controlled Physical Modelling Synthesis,NIME,Stuart,male,Andy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,0.95,,,,,,,,,,,,,,,
,"[u'Hunt, Andy D.', u'Kirk, Ross']",Andy,male,England,2003,2,"MidiGrid: Past, Present and Future",NIME,Ross,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.95,,,,,,,,,,,,,,,,
,"[u'Jord\\`{a}, Sergi']",Sergi,male,Spain,2003,1,Sonigraphical Instruments: From {FM}OL to the reacTable*,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Kartadinata, Sukandar']",Sukandar,None,Germany,2003,1,The Gluiph: a Nucleus for Integrated Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Kessous, Lo\\""{\\i}c', u'Arfib, Daniel']",Loïc,male,France,2003,2,Bimanuality in Alternate Musical Instruments,NIME,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Kleinsasser, William']",William,male,America,2003,1,"Dsp.rack: Laptop-based Modular, Programmable Digital Signal Processing and Mixing for Live Performance",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Laibowitz, Mat']",Mat,male,America,2003,1,BASIS: A Genesis in Musical Interfaces,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
,"[u'Lyons, Michael J.', u'Haehnel, Michael', u'Tetsutani, Nobuji']",Michael,male,Japan,2003,3,"Designing, Playing, and Performing with a Vision-based Mouth Interface",NIME,Michael,male,Nobuji,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,None,,,,,,,,,,,,,,,
,"[u'Merrill, David']",David,male,America,2003,1,Head-Tracking for Gestural and Continuous Control of Parameterized Audio Effects,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Modler, Paul', u'Myatt, Tony', u'Saup, Michael']",Paul,male,Germany,2003,3,An Experimental Set of Hand Gestures for Expressive Control of Musical Parameters in Realtime,NIME,Tony,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Momeni, Ali', u'Wessel, David']",Ali,male,"Montreal, Canada",2003,2,Characterizing and Controlling Musical Material Intuitively with Geometric Models,NIME,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1,,,,,,,,,,,,,,,,
,"[u'Muth, David', u'Burton, Ed']",David,male,America,2003,2,Sodaconductor,NIME,Ed,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Nagashima, Yoichi']",Yoichi,male,Japan,2003,1,Bio-Sensing Systems and Bio-Feedback Systems for Interactive Media Arts,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Nakra, Teresa M.']",Teresa,female,America,2003,1,Immersion Music: a Progress Report,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Newton-Dunn, Henry', u'Nakano, Hiroaki', u'Gibson, James']",Henry,male,Japan,2003,3,Block Jam: A Tangible Interface for Interactive Music,NIME,Hiroaki,male,James,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,,,,,,,,,,,,,,,
,"[u'Nishimoto, Kazushi', u'Oshima, Chika', u'Miyagawa, Yohei']",Kazushi,male,Japan,2003,3,Why Always Versatile? Dynamically Customizable Musical Instruments Facilitate Expressive Performances,NIME,Chika,female,Yohei,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.82,1,,,,,,,,,,,,,,,
,"[u'Orio, Nicola', u'Lemouton, Serge', u'Schwarz, Diemo']",Nicola,female,Italy,2003,3,Score Following: State of the Art and New Developments,NIME,Serge,male,Diemo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,1,None,,,,,,,,,,,,,,,
,"[u""Palacio-Quintin, Cl\\'{e}o""]",Cléo,None,Canada,2003,1,The Hyper-Flute,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Paradiso, Joseph A.']",Joseph,male,America,2003,1,Dual-Use Technologies for Electronic Music Controllers: A Personal Perspective,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Peiper, Chad', u'Warden, David', u'Garnett, Guy']",Chad,male,America,2003,3,An Interface for Real-time Classification of Articulations Produced by Violin Bowing,NIME,David,male,Guy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Ryan, Joel', u'Salter, Christopher L.']",Joel,male,Netherlands,2003,2,TGarden: Wearable Instruments and Augmented Physicality,NIME,Christopher,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,,,,,,,,,,,,,,,,
,"[u'Scavone, Gary']",Gary,male,Canada,2003,1,THE PIPE: Explorations with Breath Control,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Settel, Zack', u'Lippe, Cort']",Zack,male,Canada,2003,2,Convolution Brother{\textquoteright}s Instrument Design,NIME,Cort,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.88,,,,,,,,,,,,,,,,
