Name,Correct Gender,Title,Names
Aki,male,Sonic Scenography - Equalized Structure-borne Sound for Aurally Active Set Design,"['L\xc3\xa4hdeoja, Otso', ' Haapaniemi, Aki', ' V\xc3\xa4lim\xc3\xa4ki, Vesa']"
Akiyoshi,male,Elegans Meets Data Sonification: Can We Hear its Elegant Movement?,"['Hiroko Terasawa', '\xc2\xa0Yuta Takahashi', '\xc2\xa0Keiko Hirota', '\xc2\xa0Takayuki Hamano', '\xc2\xa0Takeshi Yamada', '\xc2\xa0Akiyoshi Fukamizu', '\xc2\xa0Shoji Makino']"
Alexis,male,Artificial Affective Listening towards a Machine Learning Tool for Sound-Based Emotion Therapy and Control,"['Alexis Kirke', ' Eduardo Miranda', ' Slawomir J Nasuto']"
Alexis,male,REAL-TIME HALLUCATINATION SONIFICATION AND SIMULATION THROUGH USER-LED DEVELOPMENT OF AN IPAD AUGMENTED REALITY PERFORMANCE,"['Kirke, Alexis', '\xc2\xa0Eaton, Joel', '\xc2\xa0Eduardo Miranda']"
Alexis,male,Technical Report on a Short Live-action Film whose Story with Soundtrack is selected in Real-time based on Audience Arousal during Performance,"['Kirke, Alexis', '\xc2\xa0Williams, Duncan', '\xc2\xa0Eduardo Miranda', '\xc2\xa0Bluglass, Amanda', '\xc2\xa0Whyte, Craig', '\xc2\xa0Pruthi, Rishi', '\xc2\xa0Eccleston, Andrew']"
Alexis,male,EVALUATING PERCEPTUAL SEPARATION IN A PILOT SYSTEM FOR AFFECTIVE COMPOSITION,"['Williams, Duncan', ' Kirke, Alexis', ' Miranda, Eduardo', ' Daly, Ian', ' Roesch, Etienne B.', ' Weaver, James C. E.', ' Nasuto, Slawomir J.']"
Alexis,male,Sonification of Dark Matter: Challenges and Opportunities,"['Bonet, N\xc3\xbaria', '\xc2\xa0Kirke, Alexis', '\xc2\xa0Eduardo Miranda']"
Alexis,male,Adapting a Computational Multi Agent Model for Humpback Whale Song Research for use as a Tool for Algorithmic Composition,"['Mcloughlin, Michael', '\xc2\xa0Lamoni, Luca', '\xc2\xa0Garland, Ellen', '\xc2\xa0Ingram, Simon', '\xc2\xa0Kirke, Alexis', '\xc2\xa0Noad, Michael', '\xc2\xa0Rendell, Luke', '\xc2\xa0Eduardo Miranda']"
Alo,male,Gene expression synthesis,"['Allik, Alo']"
AmГ­lcar,male," ""Automatic Manipulation of Music to Express Desired Emotions""","['Ant\xc3\xb3nio Oliveira', '  Am\xc3\xadlcar Cardoso']"
Andrea,male,The AGNULA/DeMuDi distribution: GNU/Linux and Free Software for the pro audio and sound research domain,"['Nicola Bernardini ', '\xc2\xa0Damien Cirotteau', ' Free Ekanayaka', '\xc2\xa0Andrea Glorioso']"
Andrea,male,AUGMENTING C-CARDS WITH MUSIC ACTIONS,"['Andrea Valente', '\xc2\xa0Kirstin Lyon', '\xc2\xa0Jensen, Kristoffer']"
Andrea,male,A platform for real-time multimodal processing,"['Antonio Camurri', ' Paolo Coletta', ' Mirko Demurtas', ' Massimiliano Peri', ' Andrea Ricci', ' Roberto Sagoleo', ' Marzia Simonetti', ' Giovanna Varni', ' Gualtiero Volpe']"
Andrea,male,Echi tra le Volte  a sound design project for churches,['Andrea Taroppi']
Andrea,male,"A framework for soundscape analysis and re-synthesis""","['Andrea Valle', ' Mattia Schirosa', ' Vincenzo Lombardo']"
Andrea,male,TOWARDS A PRACTICAL APPROACH TO MUSIC THEORY ON THE REACTABLE,['Andrea Franceschini']
Andrea,male,In a concrete space Reconstructing the spatialization of Iannis Xenakis Concret PH on a multichannel setup,"[' Andrea Valle', ' Kees Tazelaar', ' Vincenzo Lombardo']"
Andrea,male,Audio Physical Computing,['Andrea Valle']
Andrea,male,Concatenative Synthesis Unit Navigation and Dynamic Rearrangement in vrGrains,"['Victor Zappi', ' Dario Mazzanti', ' Andrea Brogni', ' Darwin Caldwell']"
Andrea,male,cage: a high-level library for real-time computer-aided composition,"['Agostini, Andrea', ' Daubresse, Eric', ' Ghisi, Daniele']"
Andrea,male,Fine-tuned Control of Concatenative Synthesis with CATART Using the BACH Library for MAX,"['Einbond, Aaron', ' Trapani, Christopher', ' Agostini, Andrea', ' Ghisi, Daniele', ' Schwarz, Diemo']"
Andrea,male,SoDA: A Sound Design Accelerator for the automatic generation of soundscapes from an ontologically annotated sound library,"['Valle, Andrea', ' Armao, Paolo', ' Casu, Matteo', ' Koustomichalis, Marinos']"
Andrea,male,Learning Musical Contour on a Tabletop,"['Franceschini, Andrea', ' Laney, Robin', ' Dobbyn, Chris']"
Anis,male,Wave Voxel Synthesis,"['Anis Haron', '\xc2\xa0Matthew Wright']"
AntГіnio,male," ""Automatic Manipulation of Music to Express Desired Emotions""","['Ant\xc3\xb3nio Oliveira', '  Am\xc3\xadlcar Cardoso']"
Arbee,male,Implementation of algorithms to classify musical texts according to rhythms,"['Arbee L. P. Chen', ' Costas Iliopoulos', ' Spiros Michalakopoulos', ' Mohammad Sohel Rahman']"
Arshia,male," ""Making an Orchestra Speak"" (received the Best Paper Award)","['Arshia Cont ', ' Gilbert Nouno ', ' Gregoire Carpentier', '  Jonathan Harvey']"
Arshia,male,On the Creative use of Score Following and its Impact on Research,['Arshia Cont']
Arshia,male,AscoGraph A User Interface for Sequencing and Score Following for Interactive Music,"[' Thomas Coffy', ' Arshia Cont', ' Jean-Louis Giavitto']"
Atau,male,Gestural Musical Affordances,"['Atau Tanaka', '\xc2\xa0Alessandro Altavilla', ' Neal Spowage']"
Atau,male,The Quiet Walk: Sonic Memories and Mobile Cartography,"['Alessandro Altavilla', ' Atau Tanaka']"
Atau,male,Composing for cars,"['Adam Parkinson', '\xc2\xa0Atau Tanaka']"
Azel,male,Joint f0 and inharmoncity estimation using second order optimization,"['Henrik Hahn', '\xc2\xa0Azel R\xc3\xb6bel']"
BalГzs,male,AN EXPLORATION ON THE INFLUENCE OF VIBROTACTILE CUES DURING DIGITAL PIANO PLAYING,"['Fontana, Federico', '\xc2\xa0Stefano Papetti', '\xc2\xa0Valentina Del Bello', '\xc2\xa0Marco Civolani', '\xc2\xa0Bal\xc3\xa0zs Bank']"
BenoГ®t,male,COMPOSING AUDIO-VISUAL ART: THE ISSUE OF TIME AND THE CONCEPT OF TRANSDUCTION,['Beno\xc3\xaet Courribet']
Camilio,male,CONCURRENT CONSTRAINTS MODELS FOR SPECIFYING INTERACTIVE SCORES,"['Antoine Allombert', '\xc2\xa0G\xc3\xa9rard Assayag', '\xc2\xa0Myriam Desainte-Catherine', ' Camilio Rueda']"
Carey,male,Movable Party: A bicycle-powered system for interactive musical performance,"['Kemper, Steven', ' Hsu, Wendy F.', ' Sargent, Carey', ' Taylor, Josef', ' Wei, Linda']"
Carmine-Emanuele,male,Vuza: a functional language for creative applications,"['Cella, Carmine-Emanuele']"
Caros,male,STYLE EMULATION OF DRUM PATTERNS BY MEANS OF EVOLUTIONARY METHODS AND STATISTICAL ANALYSIS,"['Gilberto Bernardes', ' Caros Guedes', ' Bruce Pennycook']"
Rui,male,A CONTOUR-BASED JAZZ WALKING BASS GENERATOR,"['Rui Dias,  Carlos Guedes’]"
Charlie,male,Citygram One: One Year Later вЂ¦,"['Park, Tae Hong', ' Musick, Michael', ' Turner, John', ' Mydlarz, Charlie', ' Lee, Jun Hee', ' You, Jaeseong', ' DuBois, Luke']"
Cheng-i,male,Toward Real-Time Estimation of Tonehole Configuration,"['Smyth, Tamara', ' Wang, Cheng-i']"
Chih-Fang,male,A Research of Automatic Composition and Singing Voice Synthesis System for Taiwanese Popular Songs,"['Huang, Chih-Fang', ' Hong, Wei-Gang', ' Li, Min\xe2\x80\x93Hsuan']"
Chikashi,male,The SpatDIF library вЂ“ Concepts and Practical Applications in Audio Software,"['Schacher, Jan C.', ' Miyama, Chikashi', ' Lossius, Trond']"
Chikashi,male,"Zirkonium, SpatDIF, and mediaartbase.de; an archiving strategy for spatial music at ZKM","['Miyama, Chikashi', '\xc2\xa0Dipper, G\xc3\xb6tz', '\xc2\xa0Kr\xc3\xa4mer, Robert', '\xc2\xa0Jan Schacher']"
Chikashi,male,Authoring Spatial Music with SpatDIF Version 0.4,"['Jan C. Schacher', '\xc2\xa0Nils Peters', '\xc2\xa0Trond Lossius', '\xc2\xa0Miyama, Chikashi']"
Chuck-jee,male,"Timbre Features and Music Emotion in Plucked String, Mallet Percussion, and Keyboard Tones","['Chau, Chuck-jee', ' Wu, Bin', ' Horner, Andrew']"
Chung,male,Musical Timbre and Emotion: The Identification of Salient Timbral Features in Sustained Musical Instrument Tones Equalized in Attack Time and Spectral Centroid,"['Wu, Bin', ' Horner, Andrew', ' Lee, Chung']"
Chung,male,Detection of Random Spectral Alterations of Sustained Musical Instrument Tones in Repeated Note Contexts,"['Lee, Chung', ' Horner, Andrew']"
CГЎrthach,male,Target-Based Rhythmic Pattern Generation and Variation with Genetic Algorithms,"['C\xc3\xa1rthach \xc3\x93 Nuan\xc3\xa1in', ' Perfecto Herrera', ' Sergi Jord\xc3\xa0', '\xc2\xa0Herrera, Perfecto', '\xc2\xa0Sergi Jord\xc3\xa0']"
DamiГЎn,male,Ecologically grounded multimodal design: The Palafito 1.0 study,"['Keller, Dami\xc3\xa1n', ' Timoney, Joseph', ' Constalonga, Leandro L.', ' Capasso, Ariadna', ' Tinajero, Patricia', ' Lazzarini, Victor', ' Soares Pimenta, Marcelo', ' de Lima, Maria Helena', ' Johann, Marcelo']"
Diemo,male," ""Sound Search by Content-Based Navigation in Large Databases""","['Diemo Schwarz ', ' Norbert Schnell']"
Diemo,male,DESCRIPTOR-BASED SOUND TEXTURE SAMPLING,"['Diemo Schwarz', ' Norbert Schnell']"
Diemo,male,Distance Mapping for Corpus-Based Concatenative Synthesis,['Diemo Schwarz']
Diemo,male,Content-based retrieval of environmental sounds by multiresolution analysis,"['Ianis Lallemand', ' Diemo Schwarz', ' Thierry Arti\xc3\xa8res']"
Diemo,male,Fine-tuned Control of Concatenative Synthesis with CATART Using the BACH Library for MAX,"['Einbond, Aaron', ' Trapani, Christopher', ' Agostini, Andrea', ' Ghisi, Daniele', ' Schwarz, Diemo']"
Diemo,male,Smooth Granular Sound Texture Synthesis by Control of Timbral Similarity,"['Diemo Schwarz', '\xc2\xa0Sean O\xe2\x80\x99Leary']"
Dionysios,male,ORPHEUS: A virtual learning environment of Ancient Greek music,"['Dionysios Politis', ' Dimitrios Margounakis: George Botsaris ', '  Leontios Papaleontiou']"
Dominique,male,OPEN SOURCE TOOLS FOR MUSIC REPRESENTATION AND NOTATION,"['St\xc3\xa9phane Letz', '\xc2\xa0Dominique Fober', ' Yann Orlarey ']"
Dominique,male,VEMUS - Feedback and groupware technologies for music instrument learning,"['Dominique Fober', ' St\xc3\xa9phane Letz', ' Yann Orlarey ']"
Dominique,male,"Parallelization of Audio Applications with Faust""","['Yann Orlarey', ' Dominique Fober', ' Stephane Letz']"
Dominique,male,Interlude - A Framework for Augmented Music Scores,"['Dominique Fober', ' Unknown Daudin ', ' Yann Orlarey ', ' Stephane Letz']"
Dominique,male,Programming Interactive Music Scores with INScore,"['Dominique Fober', ' Stephane Letz', ' Yann Orlarey ', ' Fr\xc3\xa9d\xc3\xa9ric Bevilacqua']"
Dominique,male,Representation of Musical Computer Processes,"['Fober, Dominique', ' Orlarey, Yann', ' Letz, St\xc3\xa9phane']"
Dominique,male,Distributing Music Scores to Mobile Platforms and to the Internet using INScore,"['Dominique Fober', '\xc2\xa0Guillaume Gouilloux ', '\xc2\xa0Yann Orlarey', ' St\xc3\xa9phane Letz']"
Dominique,male,JACK AUDIO SERVER: MACOSX PORT AND MULTI-PROCESSOR VERSION,"[' St\xc3\xa9phane Letz', '\xc2\xa0Dominique Fober', ' Yann Orlarey ', '  Paul Davis']"
Doyuen,male,Where do you want your ears? Comparing performance quality as a function of listening position in a virtual jazz band,"['Adriana Olmos', '\xc2\xa0Paul Rushka', '\xc2\xa0Doyuen Ko', '\xc2\xa0Gordon Foote', '\xc2\xa0Wieslaw Woszczyk', '\xc2\xa0Jeremy R. Cooperstock']"
DГЎniel,male,IMPROVED POLYNOMIAL TRANSITION REGIONS ALGORITHM FOR ALIAS-SUPPRESSED SIGNAL SYNTHESIS,"['Ambrits, D\xc3\xa1niel', '\xc2\xa0Bank, Bal\xc3\xa1zs']"
Flo,male,Modelling the live-electronics in electroacoustic music using particle systems,"['Perrotta, Andr\xc3\xa9 V.', ' Menezes, Flo', ' Martins, Luis Gustavo']"
Francho,male,Computer Game Piece: Exploring Video Games as Means for Controlled Improvisation,"['Jackowski, Dariusz', ' Melendez, Francho', ' Bauer, Andrzej', ' Hendrich, Pawe\xc5\x82', ' Duchnowski, Cezary']"
Free,male,The AGNULA/DeMuDi distribution: GNU/Linux and Free Software for the pro audio and sound research domain,"['Nicola Bernardini ', '\xc2\xa0Damien Cirotteau', ' Free Ekanayaka', '\xc2\xa0Andrea Glorioso']"
Gavriil,male,Optimal Acoustic Reverberation Evaluation of Byzantine Chanting in Churches,"['Mourjopoulos, John', ' Papadakos, Charalambos', ' Kamaris, Gavriil', ' Chryssochoidis, Georgios', ' Kouroupetoglou, Georgios']"
GaГ«l,male,An overview of sound and music applications for Android available on the market,"['Ga\xc3\xabl Dubus', ' Kjetil Falkenberg Hansen', ' Roberto Bresin']"
Ge,male,Principles of Visual Design for Computer Music,"['Wang, Ge']"
Ge,male,miniAudicle for iPad: Touchscreen-based Music Software Programming,"['Salazar, Spencer', ' Wang, Ge']"
Ge,male,Nuance: Adding Multi-Touch Force Detection to the iPad,"['Michon, Romain', '\xc2\xa0Smith, Julius', '\xc2\xa0Chris Chafe', '\xc2\xa0Wang, Ge', '\xc2\xa0Wright, Matthew James']"
Ge,male,FaucK!! Hybridizing the FAUST and ChucK Audio Programming Languages,"['Michon, Romain', '\xc2\xa0Wang, Ge']"
Geber,male,USING PATTERNS TO GENERATE RHYTHMIC ACCOMPANIMENT FOR GUITAR,"['Marcio Dahia', '\xc2\xa0Hugo Santana Ernesto Trajano', '\xc2\xa0Geber Ramalho', '\xc2\xa0Carlos Sandroni', '\xc2\xa0Giordano Cabral']"
GermГЎn,male,Spatialization Symbolic Music Notation at ICST,"['Ellberger, Emile', ' Toro Perez, Germ\xc3\xa1n', ' Schuett, Johannes', ' Zoia, Giorgio', ' Cavaliero, Linda']"
Gerriet,male,"Motion-Enabled Live Electronics""","['Gerhard Eckel', ' David Pirr\xc3\xb2', ' Gerriet K. Sharma']"
Gerriet,male,Orchestrating wall reflections in space by icosahedral loudspeaker: findings from first artistic research exploration,"['Sharma, Gerriet K.', ' Zotter, Franz', ' Frank, Matthias']"
Goffredo,male,MX STRUCTURAL METADATA AS MIR TOOLS,"['Goffredo Haus', '\xc2\xa0Alberto Pinto']"
Goffredo,male,STATE OF THE ART AND NEW RESULTS IN DIRECT MANIPULATION OF MPEG AUDIO CODES,"['Goffredo Haus', '\xc2\xa0Giancarlo Vercellesi']"
Goffredo,male,AN XML-BASED FORMAT FOR ADVANCED MUSIC FRUITION,"['Adriano Barat\xc3\xa8', ' Goffredo Haus', ' Luca A. Ludovico']"
Goffredo,male,From music symbolic information to sound synthesis: An XML-based approach,"['Goffredo Haus ', ' Luca A. Ludovico ', ' Elisa Russo']"
Goffredo,male,Real-time Music Composition through P-timed Petri Nets,"['Barat\xc3\xa8, Adriano', ' Haus, Goffredo', ' Ludovico, Luca A.']"
Goffredo,male,Visualization and manipulation of stereophonic audio signals by means of IID and IPD,"['Presti, Giorgio', ' Haus, Goffredo', ' Mauro, Davide A.']"
Goffredo,male,TRAP: TRAnsient Presence detection exploiting Continuous Brightness Estimation (CoBE),"['Giorgio Presti', '\xc2\xa0Davide A. Mauro', '\xc2\xa0Goffredo Haus']"
Gopala,male,Corpora for Music Information Research in Indian Art Music,"['Srinivasamurthy, Ajay', ' Krishna Koduri, Gopala', ' Gulati, Sankalp', ' Ishwar, Vignesh', ' Serra, Xavier']"
Gopala,male,A Score-Informed Computational Description of Svaras Using a Statistical Model,"['\xc5\x9eenturk, Sertan', ' Koduri, Gopala Krishna', ' Xavier Serra']"
Gopala-Krishna,male,A Survey of Raaga Recognition Techniques and Improvements to the State-of-the-Art,"['Gopala-Krishna Koduri', '\xc2\xa0Sankalp Gulati', '\xc2\xa0Preeti Rao']"
Grigore,male,An Online Tempo Tracker for Automatic Accompaniment based on Audio-to-audio Alignment and Beat Tracking,"['Burloiu, Grigore']"
Hamzeen,male,Implementation and Evaluation of Real-Time Interactive User Interface Design in Self-learning Singing Pitch Training Apps,"['Lin, Kin Wah Edward', ' Anderson, Hans', ' Hamzeen, Hamzeen', ' Lui, Simon']"
Hani,male," ""Content Analysis of Note Transitions in Music Performance""","['Mauricio Loureiro', '  Thiago Campolina', ' Davi Mota ', ' Hugo de Paula ', ' Hani Yehia']"
Hani,male,Motion recurrence analysis in music performances,"['Teixeira, Euler', '\xc2\xa0Yehia, Hani', '\xc2\xa0Loureiro, Mauricio', '\xc2\xa0Marcelo Wanderley']"
Haralampos,male,Time domain pitch recognition,"['Michael G. Chourdakis', ' Haralampos C. Spyridis']"
Haralampos,male,Image to sound and sound to image transform,"['Haralampos C. Spyridis', ' Aggelos K. Moustakas']"
Hidefumi,male,Modeling of Melodic Rhythm Based on Entropy toward Creating Expectation and Emotion,"['Ohmura, Hidefumi', '\xc2\xa0Shibayama, Takuro', '\xc2\xa0Shibuya, Satoshi', '\xc2\xa0Takahashi, Tatsuji', '\xc2\xa0Okanoya, Kazuo', '\xc2\xa0Kiyoshi Furukawa']"
Hidefumi,male,REINFORCEMENT LEARNING MODELS FOR ACQUIRING,"['Tsubasa Tanaka', '\xc2\xa0Ohmura, Hidefumi', '\xc2\xa0Kiyoshi Furukawa']"
Hidefumi,male,Creating a Place as a Medium for Musical Communication Using Multiple Electroencephalography,"['Hamano, Takayuki', ' Ohmura, Hidefumi', ' Nakagawa, Ryu', ' Terasawa, Hiroko', ' Hoshi-Shiba, Reiko', ' Okanoya, Kazuo', ' Furukawa, Kiyoshi']"
Hirokazu,male,Automatic Arrangement For Guitars Using Hidden Markov Model,"['Gen Hori', '\xc2\xa0Yuma Yoshinaga', '\xc2\xa0Satoru Fukayama', '\xc2\xa0Hirokazu Kameoka', '\xc2\xa0Shigeki Sagayama']"
Ho-Hsiang,male,AUDIO-BASED MUSIC VISUALIZATION FOR MUSIC STRUCTURE ANALYSIS,"['Ho-Hsiang Wu ', ' Juan P. Bello']"
Homei,male,DEVELOPING A NON-VISUAL OUTPUT DEVICE FOR MUSICAL PERFORMERS,"['Homei MIYASHITA', '\xc2\xa0Kazushi NISHIMOTO']"
Homei,male,"What is the Essence of ""Music?"" A Case Study on a Japanese Audience","['Homei Miyashita', '\xc2\xa0Kazushi Nishimoto']"
Hsin-Min,male,Simulated Formant Modeling of Accompanied Singing Signals for Vocal Melody Extraction,"['Yu-Ren Chien', '\xc2\xa0Hsin-Min Wang', '\xc2\xa0Shyh-Kang Jeng']"
Iohannes,male,Musical sonification in electronic therapy aids for motor-functional treatment - a smartphone approach,"['Stahl, Benjamin', '\xc2\xa0Zm\xc3\xb6lnig, Iohannes']"
Jaeseong,male,Citygram One: One Year Later вЂ¦,"['Park, Tae Hong', ' Musick, Michael', ' Turner, John', ' Mydlarz, Charlie', ' Lee, Jun Hee', ' You, Jaeseong', ' DuBois, Luke']"
Jaeseong,male,Towards Soundscape Information Retrieval (SIR),"['Park, Tae Hong', ' Lee, Jun Hee', ' You, Jaeseong', ' Yoo, Min-Joon', ' Turner, John']"
Jamie,male,IMPROVING PERFORMERSвЂ™ MUSICALITY THROUGH LIVE INTERACTION WITH HAPTIC FEEDBACK: A CASE STUDY,"['Tychonas Michailidis', ' Jamie Bullock']"
Jamie,male,LARGE DATA SETS & RECOMMENDER SYSTEMS: A FEASIBLE APPROACH TO LEARNING MUSIC ?,"['Gabriel, Jamie']"
Jan,male," ""A stratified approach for sound spatialization""","['Nils Peters ', ' Trond Lossius', '  Jan Schacher ', ' Pascal Baltazar ', ' Charles Bascou']"
Jan-Torsten,male,Using natural language to specify sound parameters,"['Milde, Jan-Torsten']"
Jan-Torsten,male,Teaching Audio Programming with the Neonlicht-Engine,"['Milde, Jan-Torsten']"
Jayme,male,Real-time event sequencing without a visual interface,"['Tavares, Tiago Fernandes', '\xc2\xa0Monteiro, Adriano', '\xc2\xa0Barbedo, Jayme G. A.', '\xc2\xa0Attux, Romis', '\xc2\xa0Manzolli, J\xc3\xb4natas']"
Jean,male,Mixing time representations in a programmable score editor,"['Carlos Agon', ' Jean Bresson']"
Jean,male,Generation and representation of data and events for the control of sound synthesis,"['Jean Bresson', ' Marco Stroppa', ' Carlos Agon']"
Jean,male,New Framework for Score Segmentation and Analysis in OpenMusic,"['Jean Bresson', ' Carlos Perez-Sancho']"
Jean,male,MODELING AND SIMULATION: THE SPECTRAL CANON FOR CONLON NANCARROW BY JAMES TENNEY,"['de Paiva Santana, Charles', '\xc2\xa0Jean Bresson', '\xc2\xa0Moreno Andreatta']"
Jean,male,pOM: Linking Pen Gestures to Computer-Aided Composition Processes,"['Garcia, J\xc3\xa9r\xc3\xa9mie', ' Leroux, Philippe', ' Bresson, Jean']"
Jean,male,Programmation and Control of Faust Sound Processing in OpenMusic,"['Bouche, Dimitri', ' Bresson, Jean', ' Letz, St\xc3\xa9phane']"
Jean,male,Tempo Curving As A Framework For Interactive Computer-aided Composition,"['Jean Bresson', ' John MacCallum']"
Jean,male,Guided improvisation as dynamic calls to an offline model,"['J\xc3\xa9r\xc3\xb4me Nika', '\xc2\xa0Dimitri Bouche', '\xc2\xa0Jean Bresson', '\xc2\xa0Marc Chemillier', '\xc2\xa0G\xc3\xa9rard Assayag']"
Jean,male,TEMPORAL CONTROL OVER SOUND SYNTHESIS PROCESSES,"['Jean Bresson', '\xc2\xa0Carlos Agon']"
Jean-Dominique,male,AURALIZATION OF COUPLED SPACES BASED ON A DIFFUSION EQUATION MODEL,"['Luizard, Paul', ' Polack, Jean-Dominique', ' Katz, Brian F.G.']"
Jean-Julien,male,INSTRUMENTAL GESTURES AND SONIC TEXTURES,"['Jean-Julien Filatriau', '\xc2\xa0Daniel Arfib']"
Jean-Julien,male," ""Prototyping Musical Experiments for Tangisense  a Tangible and Traceable Table""","['Daniel Arfib', '  Jean-Julien Filatriau', '  Lo\xc3\xafc Kessous']"
Jean-Julien,male,CREATION AND EXPLORATION OF A PERCEPTUAL SONIC TEXTURES SPACE USING A TANGIBLE INTERFACE,"['Jean-Julien Filatriau', ' Daniel Arfib']"
JerГ©mie,male,Papertonnetz: Music Composition With Interactive Paper,"['Louis Bigot', '\xc2\xa0Jer\xc3\xa9mie Garcia', '\xc2\xa0Antoine Spicher', ' Wendy E. Mackay']"
Jordan,male,CrossSong Puzzle: Generating and Unscrambling Music Mashups with Real-time Interactivity,"['Jordan Smith', '\xc2\xa0Graham Percival', '\xc2\xa0Jun Kato', '\xc2\xa0Masataka Goto', '\xc2\xa0Satoru Fukayama']"
Juan-Pablo,male,"JackTrip/SoundWIRE Meets Server Farm""","['Juan-Pablo Caceres', ' Chris Chafe']"
Jules,male,A Hierarchical Approach for the Design of Gesture-to-Sound Mappings,"['Jules Fran\xc3\xa7oise', '\xc2\xa0Baptiste Caramiaux', '\xc2\xa0Fr\xc3\xa9d\xc3\xa9ric Bevilacqua']"
