AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"[u'Alistair G. Stead', u'Alan F. Blackwell', u'Samual Aaron']",Alistair,male,"Ann Arbor, Michigan",2012,3,Graphic Score Grammars for End-Users,NIME,Alan,male,Samual,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Sidharth Subramanian', u'Jason Freeman', u'Scott McCoid']",Sidharth,male,"Ann Arbor, Michigan",2012,3,LOLbot: Machine Musicianship in Laptop Ensembles,NIME,Jason,male,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
[u'Greg Surges'],Greg,male,"Ann Arbor, Michigan",2012,1,DIY Hybrid Analog/Digital Modular Synthesis,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Olivier Tache', u'Stephen Sinclair', u'Jean-Loup Florens', u'Marcelo Wanderley']",Olivier,male,"Ann Arbor, Michigan",2012,4,Exploring audio and tactile qualities of instrumentality with bowed string simulations,NIME,Stephen,male,Jean-Loup,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,1.0,,,,,,,,,,,,,,
"[u'Atau Tanaka', u'Adam Parkinson', u'Zack Settel', u'Koray Tahiroglu']",Atau,None,"Ann Arbor, Michigan",2012,4,A Survey and Thematic Analysis Approach as Input to the Design of Mobile Music GUIs,NIME,Adam,male,Zack,male,Koray,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.98,1.0,,,,,,,,,,,,,,
"[u'Jim Torresen', u'Hauback, O\\""yvind N.', u'Dan Overholt', u'Jensenius, Alexander Refsum']",Jim,male,"Ann Arbor, Michigan",2012,4,Development and Evaluation of a ZigFlea-based Wireless Transceiver Board for CUI32,NIME,Öyvind,None,Dan,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,0.98,1.0,,,,,,,,,,,,,,
"[u'Shawn Trail', u'Michael Dean', u'Gabrielle Odowichuk', u'Tiago Fernandes Tavares', u'Peter Driessen', u'Andrew Schloss', u'George Tzanetakis']",Shawn,male,"Ann Arbor, Michigan",2012,7,Non-invasive sensing and gesture control for pitched percussion hyper-instruments using the Kinect,NIME,Michael,male,Gabrielle,female,Tiago,male,Peter,male,Andrew,male,George,male,,,,,,,,,,,,,,,,,,,,,0.9,1.0,0.99,1.0,1.0,1.0,0.99,,,,,,,,,,,
"[u'Shawn Trail', u'Tiago Fernandes Tavares', u'Dan Godlovitch', u'George Tzanetakis']",Shawn,male,"Ann Arbor, Michigan",2012,4,Direct and surrogate sensing for the Gyil african xylophone,NIME,Tiago,male,Dan,male,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.0,0.98,0.99,,,,,,,,,,,,,,
[u'Christoph Trappe'],Christoph,male,"Ann Arbor, Michigan",2012,1,Making Sound Synthesis Accessible for Children,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Akito van Troyer'],Akito,male,"Ann Arbor, Michigan",2012,1,DrumTop: Playing with Everyday Objects,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,
"[u'Zacharias Vamvakousis', u'Rafael Ramirez']",Zacharias,male,"Ann Arbor, Michigan",2012,2,Temporal Control In the EyeHarp Gaze-Controlled Musical Interface,NIME,Rafael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Gabriel Vigliensoni', u'Marcelo M. Wanderley']",Gabriel,male,"Ann Arbor, Michigan",2012,2,A Quantitative Comparison of Position Trackers for the Development of a Touch-less Musical Interface,NIME,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Johnty Wang', u""Nicolas d'Alessandro"", u'Sidney Fels', u'Robert Pritchard']",Johnty,None,"Ann Arbor, Michigan",2012,4,Investigation of Gesture Controlled Articulatory Vocal Synthesizer using a Bio-Mechanical Mapping Layer,NIME,Nicolas,male,Sidney,male,Robert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.76,1.0,,,,,,,,,,,,,,
"[u'Nathan Weitzner', u'Jason Freeman', u'Stephen Garrett', u'Yan-Ling Chen']",Nathan,male,"Ann Arbor, Michigan",2012,4,massMobile -an Audience Participation Framework,NIME,Jason,male,Stephen,male,Yan-Ling,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,None,,,,,,,,,,,,,,
[u'Red Wierenga'],Red,male,"Ann Arbor, Michigan",2012,1,"A New Keyboard-Based, Sensor-Augmented Instrument For Live Performance",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,
"[u'Lonce Wyse', u'Suranga Nanayakkara', u'Paul Seekings', u'Sim Heng Ong', u'Elizabeth Taylor']",Lonce,None,"Ann Arbor, Michigan",2012,5,Palm-area sensitivity to vibrotactile stimuli above 1~{kHz},NIME,Suranga,male,Paul,male,Sim,male,Elizabeth,female,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,0.63,1.0,,,,,,,,,,,,,
"[u'Qi Yang', u'Georg Essl']",Qi,male,"Ann Arbor, Michigan",2012,2,Augmented Piano Performance using a Depth Camera,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,,,,,,,,,,,,,,,,
"[u'Kamer Ali Yuksel', u'Sinan Buyukbas', u'Elif Ayiter']",Kamer,male,"Ann Arbor, Michigan",2012,3,An Interface for Emotional Expression in Audio-Visuals,NIME,Sinan,male,Elif,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,0.93,,,,,,,,,,,,,,,
[u'Francisco Zamorano'],Francisco,male,"Ann Arbor, Michigan",2012,1,Simpletones: A System of Collaborative Physical Controllers for Novices,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Jesse Allison', u'Yemin Oh', u'Benjamin Taylor']",Jesse,male,"Daejeon, Republic of Korea",2013,3,"NEXUS: Collaborative Performance for the Masses, Handling Instrument Interface Distribution through the Web",NIME,Yemin,None,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,None,1.0,,,,,,,,,,,,,,,
"[u'Alessandro Altavilla', u'Baptiste Caramiaux', u'Atau Tanaka']",Alessandro,male,"Daejeon, Republic of Korea",2013,3,Towards Gestural Sonic Affordances,NIME,Baptiste,male,Atau,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,None,,,,,,,,,,,,,,,
"[u'Anders-Petter Andersson', u'Birgitta Cappelen']",Anders-Petter,None,"Daejeon, Republic of Korea",2013,2,Designing Empowering Vocal and Tangible Interaction,NIME,Birgitta,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,,
"[u'Maria Astrinaki', u""Nicolas d'Alessandro"", u'Lo\\""{\\i}c Reboursi{\\`e}re', u'Alexis Moinet', u'Thierry Dutoit']",Maria,female,"Daejeon, Republic of Korea",2013,5,MAGE 2.0: New Features and its Application in the Development of a Talking Guitar,NIME,Nicolas,male,Loïc,male,Alexis,male,Thierry,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,0.52,0.99,,,,,,,,,,,,,
"[u'Stefano Baldan', u'Amalia De G{\\""o}tzen', u'Stefania Serafin']",Stefano,male,"Daejeon, Republic of Korea",2013,3,Sonic Tennis: a rhythmic interaction game for mobile devices,NIME,Amalia,female,Stefania,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,,,,,,,,,,,,,,,
"[u'Alyssa Batula', u'Manu Colacot', u'David Grunberg', u'Youngmoo Kim']",Alyssa,female,"Daejeon, Republic of Korea",2013,4,Using Audio and Haptic Feedback to Improve Pitched Percussive Instrument Performance in Humanoids,NIME,Manu,male,David,male,Youngmoo,female,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.77,1.0,0.5,,,,,,,,,,,,,,
"[u'Matan Ben-Asher', u'Colby Leider']",Matan,male,"Daejeon, Republic of Korea",2013,2,Toward an Emotionally Intelligent Piano: Real-Time Emotion Detection and Performer Feedback via Kinesthetic Sensing in Piano Performance,NIME,Colby,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.8,,,,,,,,,,,,,,,,
"[u'Edgar Berdahl', u'Spencer Salazar', u'Myles Borins']",Edgar,male,"Daejeon, Republic of Korea",2013,3,Embedded Networking and Hardware-Accelerated Graphics with Satellite CCRMA,NIME,Spencer,male,Myles,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,,,,,,,,,,,,,,,
"[u'Florent Berthaut', u'Mark T. Marshall', u'Sriram Subramanian', u'Martin Hachet']",Florent,male,"Daejeon, Republic of Korea",2013,4,Rouages: Revealing the Mechanisms of Digital Musical Instruments to the Audience,NIME,Mark,male,Sriram,male,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
"[u'Daniel Bisig', u""Se\\'bastien Schiesser""]",Daniel,male,"Daejeon, Republic of Korea",2013,2,Coral - a Physical and Haptic Extension of a Swarm Simulation,NIME,Sébastien,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,,,,,,,,,,,,,,,,
"[u'Brennon Bortz', u'Aki Ishida', u'Ivica Ico Bukvic', u'Benjamin Knapp']",Brennon,male,"Daejeon, Republic of Korea",2013,4,"Lantern Field: Exploring Participatory Design of a Communal, Spatially Responsive Installation",NIME,Aki,male,Ivica,male,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.63,0.98,1.0,,,,,,,,,,,,,,
"[u'Danielle Bragg', u'Rebecca Fiebrink']",Danielle,female,"Daejeon, Republic of Korea",2013,2,Synchronous Data Flow Modeling for DMIs,NIME,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Gregory Burlet', u'Ichiro Fujinaga']",Gregory,male,"Daejeon, Republic of Korea",2013,2,Stompboxes: Kicking the Habit,NIME,Ichiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Baptiste Caramiaux', u'Atau Tanaka']",Baptiste,male,"Daejeon, Republic of Korea",2013,2,Machine Learning of Musical Gestures,NIME,Atau,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,None,,,,,,,,,,,,,,,,
"[u'Mark Cerqueira', u'Spencer Salazar', u'Ge Wang']",Mark,male,"Daejeon, Republic of Korea",2013,3,SoundCraft: Transducing StarCraft 2,NIME,Spencer,male,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.61,,,,,,,,,,,,,,,
"[u'Hongchan Choi', u'Jonathan Berger']",Hongchan,None,"Daejeon, Republic of Korea",2013,2,WAAX: Web Audio {API} eXtension,NIME,Jonathan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,,
"[u'Kameron Christopher', u'Jingyin He', u'Raakhi Kapur', u'Ajay Kapur']",Kameron,male,"Daejeon, Republic of Korea",2013,4,Kontrol: Hand Gesture Recognition for Music and Dance Interaction,NIME,Jingyin,None,Raakhi,female,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,None,0.5,0.99,,,,,,,,,,,,,,
"[u'Erfan Abdi Dezfouli', u'Edwin van der Heide']",Erfan,male,"Daejeon, Republic of Korea",2013,2,Notesaaz: a new controller and performance idiom,NIME,Edwin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Dimitri Diakopoulos', u'Ajay Kapur']",Dimitri,male,"Daejeon, Republic of Korea",2013,2,Netpixl: Towards a New Paradigm for Networked Application Development,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Russell Eric Dobda'],Russell,male,"Daejeon, Republic of Korea",2013,1,Applied and Proposed Installations with Silent Disco Headphones for Multi-Elemental Creative Expression,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Marco Donnarumma', u'Baptiste Caramiaux', u'Atau Tanaka']",Marco,male,"Daejeon, Republic of Korea",2013,3,Muscular Interactions. Combining {EMG} and MMG sensing for musical practice,NIME,Baptiste,male,Atau,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,None,,,,,,,,,,,,,,,
"[u'Dalia El-Shimy', u'Jeremy R. Cooperstock']",Dalia,female,"Daejeon, Republic of Korea",2013,2,Reactive Environment for Network Music Performance,NIME,Jeremy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Steve Everett'],Steve,male,"Daejeon, Republic of Korea",2013,1,Sonifying Chemical Evolution,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Michael Everman', u'Colby Leider']",Michael,male,"Daejeon, Republic of Korea",2013,2,Toward DMI Evaluation Using Crowd-Sourced Tagging Techniques,NIME,Colby,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,,,,,,,,,,,,,,,,
"[u'Xin Fan', u'Georg Essl']",Xin,female,"Daejeon, Republic of Korea",2013,2,Air Violin: A Body-centric Style Musical Instrument,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,1.0,,,,,,,,,,,,,,,,
"[u'Yuan-Yi Fan', u'Myles Sciotto']",Yuan-Yi,None,"Daejeon, Republic of Korea",2013,2,BioSync: An Informed Participatory Interface for Audience Dynamics and Audiovisual Content Co-creation using Mobile PPG and {EEG},NIME,Myles,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,,
"[u'Stefano Fasciani', u'Lonce Wyse']",Stefano,male,"Daejeon, Republic of Korea",2013,2,A Self-Organizing Gesture Map for a Voice-Controlled Instrument Interface,NIME,Lonce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,,,,,,,,,,,,,,,,
"[u'Sam Ferguson', u'Aengus Martin', u'Andrew Johnston']",Sam,male,"Daejeon, Republic of Korea",2013,3,A corpus-based method for controlling guitar feedback,NIME,Aengus,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.0,1.0,,,,,,,,,,,,,,,
"[u'Lionel Feug{\\`e}re', u""Christophe d'Alessandro""]",Lionel,male,"Daejeon, Republic of Korea",2013,2,Digitartic: bi-manual gestural control of articulation in performative singing synthesis,NIME,Christophe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Wolfgang Fohl', u'Malte Nogalski']",Wolfgang,male,"Daejeon, Republic of Korea",2013,2,A Gesture Control Interface for a Wave Field Synthesis System,NIME,Malte,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Adrian Freed', u'John MacCallum', u'Sam Mansfield']",Adrian,male,"Daejeon, Republic of Korea",2013,3,``Old'' is the New ``New'': a Fingerboard Case Study in Recrudescence as a NIME Development Strategy,NIME,John,male,Sam,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.76,,,,,,,,,,,,,,,
"[u'Adrian Freed', u'John MacCallum', u'David Wessel']",Adrian,male,"Daejeon, Republic of Korea",2013,3,Agile Interface Development using OSC Expressions and Process Migration,NIME,John,male,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,1.0,,,,,,,,,,,,,,,
"[u'Ohad Fried', u'Rebecca Fiebrink']",Ohad,male,"Daejeon, Republic of Korea",2013,2,Cross-modal Sound Mapping Using Deep Learning,NIME,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Anton Fuhrmann', u'Johannes Kretz', u'Peter Burwik']",Anton,male,"Daejeon, Republic of Korea",2013,3,Multi Sensor Tracking for Live Sound Transformation,NIME,Johannes,male,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Steven Gelineck', u'Dan Overholt', u'Morten B{\\""u}chert', u'Jesper Andersen']",Steven,male,"Daejeon, Republic of Korea",2013,4,Towards an Interface for Music Mixing based on Smart Tangibles and Multitouch,NIME,Dan,male,Morten,male,Jesper,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,1.0,1.0,,,,,,,,,,,,,,
[u'Shawn Greenlee'],Shawn,male,"Daejeon, Republic of Korea",2013,1,Graphic Waveshaping,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
"[u'Mick Grierson', u'Chris Kiefer']",Mick,male,"Daejeon, Republic of Korea",2013,2,NoiseBear: A Malleable Wireless Controller Designed In Participation with Disabled Children,NIME,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.93,,,,,,,,,,,,,,,,
"[u'Tobias Grosshauser', u'Gerhard Tr{\\""o}ster']",Tobias,male,"Daejeon, Republic of Korea",2013,2,Finger Position and Pressure Sensing Techniques for String and Keyboard Instruments,NIME,Gerhard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Aristotelis Hadjakos', u'Tobias Grosshauser']",Aristotelis,male,"Daejeon, Republic of Korea",2013,2,Motion and Synchronization Analysis of Musical Ensembles with the Kinect,NIME,Tobias,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Takayuki Hamano', u'Tomasz Rutkowski', u'Hiroko Terasawa', u'Kazuo Okanoya', u'Kiyoshi Furukawa']",Takayuki,male,"Daejeon, Republic of Korea",2013,5,Generating an Integrated Musical Expression with a Brain--Computer Interface,NIME,Tomasz,male,Hiroko,female,Kazuo,male,Kiyoshi,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.89,,,,,,,,,,,,,
[u'Rob Hamilton'],Rob,male,"Daejeon, Republic of Korea",2013,1,Sonifying Game-Space Choreographies With UDKOSC,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"[u'Yoonchang Han', u'Sejun Kwon', u'Kibeom Lee', u'Kyogu Lee']",Yoonchang,None,"Daejeon, Republic of Korea",2013,4,A Musical Performance Evaluation System for Beginner Musician based on Real-time Score Following,NIME,Sejun,None,Kibeom,male,Kyogu,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1.0,None,,,,,,,,,,,,,,
"[u'Yoon Chung Han', u'Byeong-jun Han', u'Matthew Wright']",Yoon,female,"Daejeon, Republic of Korea",2013,3,Digiti Sonus: Advanced Interactive Fingerprint Sonification Using Visual Feature Analysis,NIME,Byeong-jun,None,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,None,1.0,,,,,,,,,,,,,,,
[u'Abram Hindle'],Abram,male,"Daejeon, Republic of Korea",2013,1,"{SW}ARMED: Captive Portals, Mobile Devices, and Audience Participation in Multi-User Music Performance",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"[u'Jordan Hochenbaum', u'Ajay Kapur']",Jordan,male,"Daejeon, Republic of Korea",2013,2,Toward The Future Practice Room: Empowering Musical Pedagogy through Hyperinstruments,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.99,,,,,,,,,,,,,,,,
"[u'Dae Ryong Hong', u'Woon Seung Yeo']",Dae,male,"Daejeon, Republic of Korea",2013,2,Laptap: Laptop Computer as a Musical Instrument using Audio Feedback,NIME,Woon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.86,,,,,,,,,,,,,,,,
"[u'Colin Honigman', u'Andrew Walton', u'Ajay Kapur']",Colin,male,"Daejeon, Republic of Korea",2013,3,The Third Room: A {3D} Virtual Music Framework,NIME,Andrew,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.99,,,,,,,,,,,,,,,
"[u'Lode Hoste', u'Beat Signer']",Lode,male,"Daejeon, Republic of Korea",2013,2,Expressive Control of Indirect Augmented Reality During Live Music Performances,NIME,Beat,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.95,,,,,,,,,,,,,,,,
"[u'Jackie', u'Yi Tang Chui', u'Mubarak Marafa', u'Samson', u'Ka Fai Young']",Jackie,female,"Daejeon, Republic of Korea",2013,5,SoloTouch: A Capacitive Touch Controller with Lick-based Note Selector,NIME,Yi,female,Mubarak,male,Samson,male,Ka,female,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.56,1.0,1.0,0.59,,,,,,,,,,,,,
