Title,Author(s),,Year,Country
317 A 3-D Future for Loudspeaker Orchestras Emulated in Higher-Order Ambisonics,Natasha Barrett,,2016,Netherlands
322 Extending the piano through spatial transformation of motion capture data,Martin Ritter; Alyssa Aska,,2016,Netherlands
327 Approaches to Real Time Ambisonic Spatialization and Sound Diffusion using Motion Capture,Alyssa Aska; Martin Ritter,,2016,Netherlands
333 Big Tent: A Portable Immersive Intermedia Environment,Benjamin D. Smith Robin Cox,,2016,Netherlands
337 Gesture-based Collaborative Virtual Reality Performance in Carillon,Rob Hamilton; Chris Platz,,2016,Netherlands
341 Emphasizing Form in Virtual Reality-Based Music Performance,Zachary Berkowitz; Edgar Berdahl; Stephen David Beck,,2016,Netherlands
345 Description of Chord Progressions by Minimal Transport Graphs Using the System & Contrast Model,Corentin Louboutin; Frederic Bimbot,,2016,Netherlands
351 Do Structured Dichotomies Help in Music Genre Classification?,Tom Arjannikov; John Z. Zhang,,2016,Netherlands
357 Algorithmic Composition Parameter as Intercultural and Cross-level MIR Feature: The Susceptibility of Melodic Pitch Contour,Hsin-Ming Lin; Shlomo Dubnov,,2016,Netherlands
363 The GiantSteps Project: A Second-Year Intermediate Report,Peter Knees; Kristina Andersen; Sergi Jorda; Michael Hlatky; Andres Bucci; Wulf Gaebele; Roman Kaurson,,2016,Netherlands
369 A supervised approach for rhythm transcription based on tree series enumeration,Adrien Ycart; Florent Jacquemard; Jean Bresson; Sławek Staworko,,2016,Netherlands
377 Graphical Temporal Structured Programming for Interactive Music,Jean-Michael Celerier; Myriam Desainte-Catherine; Jean-Michel Couturier,,2016,Netherlands
381 Introducing a Context-based Model and Language for Representation; Transformation;  Visualization; Analysis and Generation of Music,David M. Hofmann,,2016,Netherlands
589 Recreating Gérard Grisey’s Vortex Temporum with cage,Daniele Ghisi; Andrea Agostini; Eric Maestri,,2016,Netherlands
388 Sound; Electronics and Music: an evaluation of early embodied education,Lauren Hayes,,2016,Netherlands
394 Performing Computer Network Music. Well-known challenges and new possibilities.,Miriam Akkermann,,2016,Netherlands
401 The Emotional Characteristics of Mallet Percussion Instruments with Different Pitches  and Mallet Hardness,Chuck-jee Chau; Andrew Horner,,2016,Netherlands
405 The Effects of Pitch and Dynamics on the Emotional Characteristics of Bowed String Instruments,Samuel J. M. Gilburt; Chuck-jee Chau; Andrew Horner,,2016,Netherlands
411 The Effects of MP3 Compression on Emotional Characteristics,Ronald Mo; Ga Lam Choi; Chung Lee; Andrew Horner,,2016,Netherlands
417 Composition as an Evolving Entity,Sever Tipei,,2016,Netherlands
422 Nodewebba: Software for Composing with Networked Iterated Maps,Bret Battey,,2016,Netherlands
426 Relative Sound Localization for Sources in a Haphazard Speaker Array,Neal Andersen; Benjamin D. Smith,,2016,Netherlands
430 AIIS: An Intelligent Improvisational System,Steven Leffue; Grady Kestler,,2016,Netherlands
434 RackFX: A Cloud-Based Solution for Analog Signal Processing,Sean Peuquet; David Jones,,2016,Netherlands
438 Composing and Performing Digital Voice Using Microphone-Centric Gesture and Control Data,Kristina Warren,,2016,Netherlands
442 Composing for an Orchestra of Sonic Objects: The Shake-ousmonium Project,Otso Lähdeoja,,2016,Netherlands
448 Hand Gestures in Music Production,Axel Berndt; Simon Waloschek; Aristotelis Hadjakos,,2016,Netherlands
454 Grab-and-play mapping: Creative machine learning approaches for musical inclusion and exploration,Hugo Scurto; Rebecca Fiebrink,,2016,Netherlands
460 The problem of musical gesture continuation and a baseline system,Charles Bascou; Valentin Emiya; Mathieu Lauriere,,2016,Netherlands
466 Anthèmes 2: addressing the performability of live-electronic music,Laurens van der Wee; Roel van Doorn; Jos Zwaanenburg,,2016,Netherlands
471 Stride: A Declarative and Reactive Language for Sound Synthesis and Beyond,Joseph Tilbian; Andres Cabrera,,2016,Netherlands
478 Embedding native audio-processing in a score following system with almost sample accuracy,Pierre Donat-Bouillud; Jean-Louis Giavitto; Arshia Cont; Nicolas Schmidt; Yann Orlarey,,2016,Netherlands
485 A Literature Review of Interactive Conducting Systems: 1970-2015,Kyungho Lee; Michael J. Junokas; Guy E. Garnett,,2016,Netherlands
492 O2: Rethinking Open Sound Control,Roger B. Dannenberg; Zhang Chi,,2016,Netherlands
496 Introducing D4: An Interactive 3D Audio Rapid Prototyping and Transportable Rendering Environment Using High Density Loudspeaker Arrays,Ivica Ico Bukvic,,2016,Netherlands
501 Improvements of iSuperColliderKit and its Applications,Akinori Ito; Kengo Watanabe; Genki Kuroda; Ken’ichiro Ito,,2016,Netherlands
505 The Sky’s the Limit: Composition with Massive Replication and Time-shifting,Christopher Coleman,,2016,Netherlands
510 SCATLAVA: Software for Computer-Assisted Transcription Learning through Algorithmic Variation and Analysis,David Su,,2016,Netherlands
514 Effects of Test Duration in Subjective Listening Tests,Diemo Schwarz; Guillaume Lemaitre; Mitsuko Aramaki; Richard Kronland-Martinet,,2016,Netherlands
519 The Ear Tone Toolbox for Auditory Distortion Product Synthesis,Alex Chechile,,2016,Netherlands
524 Sonification of Optically-Ordered Brownian Motion,Chad McKell,,2016,Netherlands
529 Cybernetic Principles and Sonic Ecosystems,Daren Pickles; Adam Collis,,2016,Netherlands
533 Continuous Order Polygonal Waveform Synthesis,Christoph Hohnerlein; Maximilian Rest; Julius O. Smith ,,2016,Netherlands
537 Textual and Sonic Feedback Loops: Simultaneous conversations as a collaborative process,Christopher Jette; Nathan Krueger,,2016,Netherlands
541 Tectonic: a networked; generative and interactive; conducting environment for iPad,Lindsay Vickery;  Stuart James,,2016,Netherlands
547 AVA: A Graphical User Interface For Automatic Vibrato and Portamento Detection and  Analysis,Luwei Yang; Khalid Z. Rajab; Elaine Chew,,2016,Netherlands
551 Spectrorhythmic evolutions: towards semantically enhanced algorave systems,Alo Allik,,2016,Netherlands
557 A Differential Equation Based Approach Sound Synthesis and Sequencing,Byron Jacobs,,2016,Netherlands
562 Music Poet:A Performance-Driven Composing System,Li Rongfeng; Zhang Xinyun; Bi Minghui,,2016,Netherlands
568 Multiple Single-Dimension Mappings of the Henon Attractor as a Compositional Algorithm,Alexandra Kurepa; Rodney Waschka,,2016,Netherlands
572 From live to interactive electronics. Symbiosis: a study on sonic human-computer synergy.,Artemi - Maria Gioti,,2016,Netherlands
597 Composing in Bohlen-Pierce and Carlos alpha scales for solo clarinet,Todd Harrop; Nora-Louise Muller,,2016,Netherlands
579 A Web-based System for Designing Interactive Virtual Soundscapes,Anil Çamci; Paul Murray; Angus G. Forbes,,2016,Netherlands
General Characteristics Analysis of Chinese Folk Songs based on Layered Stabilities Detection(LSD) Audio Segmentation Algorithm,Juan Li lijuan; Yinrui Wang Xi’an Jiaotong; Xinyu Yang,,2016,Netherlands
Synchronization of van der Pol Oscillators with Delayed Coupling,Andreas Henrici; Martin Neukom,,2016,Netherlands
Design Considerations of HKBU’s Laboratory for Immersive Arts and Technology: a Studio Report,Christopher Keyes; Christopher Coleman; Vanissa Law Wing Lun,,2016,Netherlands
SIG~: Performance Interface for Schaefferian Sound-Object Improvisation,"Neuman, Israel",,2015,USA
Building a Harmonically Ecosystemic Machine: Combining Sonic Ecosystems with Models of Contemporary Harmonic Language,"Musick, Michael; Forsyth, Jonathan P.; Bittner, Rachel",,2015,USA
Using Singing Voice Vibrato as a Control Parameter in a Chamber Opera,"Einarsson, Anna; Friberg, Anders",,2015,USA
Architecture in Motion: a Model for Music Composition,"Variego, Jorge",,2015,USA
An Online Interactive Course on Computer Music,"Dannenberg, Roger B.; Stiles, Jesse; Li, Yuezhang; Zhang, Qiao",,2015,USA
Another Take on Renovating Dated Technology for Concert Performance,"Dudas, Richard",,2015,USA
The Just Intonation Automat – a Musically Adaptive Interface,"Rudi, Jøran",,2015,USA
Witold Lutosławski – An Algorithmic Music Composer?,"Krupowicz, Stanisław",,2015,USA
Music Programming in Gibber,"Roberts, Charles; Wright, Matthew; Kuchera-Morin, JoAnn",,2015,USA
Dynamic Message-Oriented Middleware with Open Sound Control and Odot,"MacCallum, John; Gottfried, Rama; Rostovtsev, Ilya; Bresson, Jean; Freed, Adrian",,2015,USA
Rhythmic Similarity Based on a Descriptor Balancing between Meter and Tempo,"Juchs, Sébastien; Hanna, Pierre; Robine, Matthias; Desainte-Catherine, Myriam",,2015,USA
Genre-specific Key Profiles,"O'Brien, Cian; Lerch, Alexander",,2015,USA
Sonification of Medical Images Based on Statistical Descriptors,"Cadiz, Rodrigo F.; de la Cuadra, Patricio; Montoya, Aarón; Marín, Veronica; E. Andia, Marcelo; Tejos, Cristian; Irarrazaval, Pablo",,2015,USA
Generative Feedback Networks Using Time-Varying Allpass Filters,"Surges, Greg; Smyth, Tamara; Puckette, Miller",,2015,USA
"Audio Processing by Means of FM Synthesis Parameters: Fundamentals, Real-Time Implementation, and Preliminary Compositional Applications","Freire, Sérgio",,2015,USA
Unsampled Digital Synthesis: Computing the Output of Implicit and Non-Linear Systems,"Medine, David",,2015,USA
Morphing Sound in Real Time through the Timbre Tunnel,"Kretz, Johannes",,2015,USA
Haptic Control of Multistate Generative Music Systems,"Battey, Bret; Giannoukakis, Marinos; Picinali, Lorenzo",,2015,USA
Feature Extraction and Expertise Analysis of Pianists’ Motion-Captured Finger Gestures,"Tits, Mickaël; Tilmanne, Joëlle; d’Alessandro, Nicolas; Wanderley, Marcelo M.",,2015,USA
Audio Collage as an Instrument for Musical Expression: Combining Freehand and Tangible Controllers,"Law, Vanissa; Paine, Garth",,2015,USA
Towards an Interactive Argentine Tango Milonga,"Brown, Courtney; Paine, Garth",,2015,USA
Musical Acoustics & Instrument Design: When Engineering Meets Music,"Bertrand, Thibault; Kaczmarek, Konrad; Wilen, Larry",,2015,USA
Interactive Virtual Soundscapes: A Research Report,"Çamcı,  Anıl; Özcan, Zeynep; Pehlevan, Damla",,2015,USA
"Measuring the Effectiveness of Sonified Crossmodal Attribute Pairings Using Contour Matching, Symmetry and Perceived Similarity","Hamilton, Rob",,2015,USA
Fuzzy Equalization of Musical Genres,"González, Marie; de la Cuadra, Patricio; F. Cadiz, Rodrigo",,2015,USA
The Effects of Early-Release on Emotion Characteristics and Timbre in Non-Sustaining Musical Instrument Tones,"Chau, Chuck-jee; Wu, Bin; Horner, Andrew",,2015,USA
VizScore: An On-Screen Notation Delivery System for Live Performance,"Shafer, Seth",,2015,USA
Brooklyn College Center for Computer Music,"Geers, Douglas; R. Nelson, Nicholas; Wierenga, Red",,2015,USA
Studio Report 2015: New York University (NYU) Music Technology Program,"You, Jaesong; Telichan, Andrew; Musick, Michael; Hong Park, Tae",,2015,USA
Studio Report: Music Technology at the Pennsylvania State University,"Ballora, Mark",,2015,USA
Peabody Computer Music: 46 Years of Looking to the Future,"Wright,  Geoffrey; Boyle,  McGregor; Armenta, Joshua; Woodward, Ryan; Xia, Sunhuimei",,2015,USA
Studio Report: Arizona State University,"Paine, Garth; Moon, Barry",,2015,USA
Wesleyan University Electronic Music Studios Report,"Kuivila, Ron; Matthusen, Paula",,2015,USA
The Intrinsic Value of Timbre in Doppelganger,"Blokkum Flø, Asbjørn; Wilmers, Hans",,2015,USA
State Space Models: Virtual World for Composition,"Soria-Luz, Rosalia",,2015,USA
Specifying Sounding Frequency of a Voice Model during Live Interactive Saxophone Performance,"Hsu, Jennifer; Smyth, Tamara",,2015,USA
Cross-Modality in Multi-Channel Acousmatic Music: The Physical and Virtual in Music Where There Is Nothing to See,"Mooore, Adrian",,2015,USA
Low-Level Topology of Spatial Texture,"Nyström, Erik",,2015,USA
Developing a Socio-Historical Model for Electro-Acoustic Music Analysis: The Challenge from an Adornian Perspective,"You, Jaeseong; Telichan, Andrew; Hong Park, Tae",,2015,USA
Exploratory Analysis on Expressions in Two Different 4/4 Beat Patterns,"Lee, Kyungho; J. Junokas, Michael; Amanzadeh, Mohammad; E. Garnett, Guy",,2015,USA
Improving the Musical Expressiveness of Tesla Coils with Software,"Long, Jason; Bailey, Josh; McVay, James; Carnegie, Dale A.; Kapur, Ajay",,2015,USA
Automatic Transcription of Japanese Taiko Drumming Using the Microsoft Kinect,"Hua, Willian; Salgian, Andrea",,2015,USA
Neural Versus Symbolic Rap Battle Bots,"Wu, Dekai; Addanki, Karteek",,2015,USA
Piece Description: Growth of the Universe (in log time),"Ballora, Mark",,2015,USA
Simple Synchronisation for Open Sound Control,"Madgwick, Sebastian; Mitchell, Thomas; Barreto, Carlos; Freed, Adrian",,2015,USA
Computer Music through the Cloud: Evaluating a Cloud Service for Collaborative Computer Music Applications,"Deusany de Carvalho Junior, Antonio; Queiroz, Marcelo; Essl, Georg",,2015,USA
iSuperColliderKit: A Toolkit for iOS Using an Internal SuperCollider Server as a Sound Engine,"Ito, Akinori; Watanabe, Kengo; Kuroda, Genki; Ito, Ken’ichiro",,2015,USA
Flatter Frequency Response from Feedback Delay Network Reverbs,"Anderson, Hans; Wah Edward Lin, Kin; So, Clifford; Lui, Simon",,2015,USA
Hierarchical Genomes in a Genetic Algorithm for Control of a Guitar Synthesizer,"Walker, Timothy M.",,2015,USA
Spatial Modulation Synthesis,"McGee, Ryan",,2015,USA
Initial Survey Results from The LilyPond Consortium,"Solomon, Michael; Liska, Urs; Bača, Trevor",,2015,USA
Physical Modeling Synthesis of the Stone Chime Instrument “Pyeongyeong”,"Ahn, Jae hyun; Dudas, Richard",,2015,USA
"fXfD, A Digital Approach to the No-Input Practice","Thibault, Dominic",,2015,USA
Building the Erbe-Verb: Extending the Feedback Delay Network Reverb for Modular Synthesizer Use,"Erbe, Tom",,2015,USA
Noisebox: Design and Prototype of a New Digital Musical Instrument,"Sullivan, John",,2015,USA
"Twenty Years of Ircam Spat: Looking Back, Looking Forward","Carpentier, Thibaut; Noisternig, Markus; Warusfel, Olivier",,2015,USA
Spectromorphology and Spatiomorphology of Sound Shapes: Audio-Rate AEP and DBAP Panning of Spectra,"James, Stuart",,2015,USA
Binaural Navigation for the Visually Impaired with a Smartphone,"Tae Hoon, Lee; Reddy Vuyyuru, Manish; Kumar, Ananda T.; Lui, Simon",,2015,USA
Improving and Adapting Finite State Transducer Methods for Musical Accompaniment,"Forsyth, Jonathan P.; Bittner, Rachel M.; Musick, Michael; Bello, Juan P.",,2015,USA
Automatic Piano Reduction from Ensemble Scores Based on Merged-Output Hidden Markov Model,"Nakamura, Eita; Sagayama, Shigeki",,2015,USA
Composing with Kulitta,"Quick, Donya",,2015,USA
Wearable Sound System for Dance and Music,"Otondo, Felipe; Torres, Rodrigo",,2015,USA
The Decibel ScorePlayer: New Developments and Improved Functionality,"Hope, Cat; Wyatt, Aaron; Vickery, Lindsay",,2015,USA
Network Gyre - Exercising the Network's Rhythmic Potential,"Cayko, Ethan",,2015,USA
Sound Spatialisation from a Composer’s Perspective,"Timmermans, Hans",,2015,USA
The XQIFFT: Increasing the Accuracy of Quadratic Interpolation of Spectral Peaks via Exponential Magnitude Spectrum Weighting,"Werner, Kurt James",,2015,USA
Augmenting Room Acoustics and System Interaction for Intentional Control of Audio Feedback,"Kim, Seunghun; Wakefield, Graham; Nam, Juhan",,2015,USA
Extending Brass & Woodwind Instruments with Acoustic-Aggregate-Synthesis,"Clift, Paul; Mamou-Mani, Adrien; Caussé, René",,2015,USA
Antony: A Reimagining,"MacCallum, John; Goodheart, Matthew; Freed, Adrian",,2015,USA
"Notes on “Culture of Fire” for Analog Neural Network Synthesizer, Geiger Muller Counters and Computer","Gresham-Lancaster, Scot",,2015,USA
Audio Spray Gun 0.8 – the Generation of Large Sound-Groups and Their Use in Three-Dimensional Spatialisation,"Garrett, Richard",,2015,USA
materialssoundmusic: a Computer-Aided Data-Driven Composition Environment for the Sonification and Dramatization of Scientific Data Streams,"Buongiorno Nardelli, Marco",,2015,USA
An Approach to the Generation of Real-Time Notation via Audio Analysis: The Semantics of Redaction,"Vickery, Lindsay",,2015,USA
"In and Out, Over and Under: An Interactive Audio-Visual Installation Responding to Percy Grainger’s Free Music and the Grainger Museum","Alsop, Roger",,2015,USA
ToscA: an OSC Communication Plugin for Object-Oriented Spatialization Authoring,"Carpentier, Thibaut",,2015,USA
The Effects of Pitch and Dynamics on the Emotional Characteristics of Piano Sounds,"Chau, Chuck-jee; Horner, Andrew",,2015,USA
Media Modules: Intermedia Systems in a Pure Functional Paradigm,"Santolucito, Mark; Quick, Donya; Hudak, Paul",,2015,USA
"Gesture Capture, Processing, and Asynchronous Playback within Web Audio Instruments","Taylor, Benjamin; Allison, Jesse",,2015,USA
Rasping Music: Remodeling Early Minimalist Music through Mechatronic Sound-Sculpture,"Zareei, Mo H.; Kapur, Ajay; Carnegie, Dale A.",,2015,USA
Mapping Tone Helixes to Cylindrical Lattices Using Chiral Angles,"Hu, Hanlin; Park, Brett; Gerhard, David",,2015,USA
Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre,"Qin, Yi; Fang, Da-Lei; Xu, Zhi-Bo; Da, Yan",,2015,USA
Brain-Computer Interfaces and Their Application as an Audiovisual Instrument,"de Quay, Yago; Beira, João",,2015,USA
“There is pleasure...”: An Improvisation Using the AAIM Performance System,"Fay, Simon",,2015,USA
RCCM Canons: Not Only a Problem of Cage,"Francesca Battista, Alba; Maximiliano Mollo, Carlos; Monopoli, Nicola",,2015,USA
Minimal Fitness Functions in Genetic Algorithms for the Composition of Piano Music,"Waschka II, Rodney",,2015,USA
Kinesonic Composition as Choreographed Sound: Composing Gesture in Sensor-Based Music,"Hsu, Aurie; Kemper, Steven",,2015,USA
Adaptive Music Technology: History and Future Perspectives,"Graham-Knight, Kimberlee; Tzanetakis, George",,2015,USA
Composition Techniques for the Ilinx Vibrotactile Garment,"Hattwick, Ian; Franco, Ivan; Giordano, Marcello; Egloff, Deborah; Wanderley, Marcelo M.; Lamontagne, Valerie; Arawjo, Ian; Salter, Chris; Martinucci, Maurizio",,2015,USA
The New Developments in Csound 6,"ffitch, John; Lazzarini, Victor; Yi, Steven; Gogins, Michael; Cabrera, Andrés",,2015,USA
Creative Symbolic Interaction,"Assayag, Gérard",,2014,Greece
Mathews’ Diagram and Euclid’s Line: Fifty Years Ago,"Chowning, John",,2014,Greece
What Is Sound?,"Nelson, Peter",,2014,Greece
Sound and Music Computing Meets Philosophy,"Risset, Jean-Claude",,2014,Greece
Rhythmic Processes in Electronic Music,"Roads, Curtis",,2014,Greece
Chorale Synthesis by the Multidimensional Scaling of Pitches,"Barlow, Clarence",,2014,Greece
Musings on the Status of Electronic Music Today,"Lippe, Cort",,2014,Greece
Echoes in Plato’s Cave: Ontology of Sound Objects in Computer Music and Analysis,"Marsden, Alan",,2014,Greece
"The place and meaning of computing in a sound relationship of man, machines, and environment","Di Scipio, Agostino",,2014,Greece
Xenakis’s Philosophy of Technology Through Some Interviews,"Solomos, Makis",,2014,Greece
Real-Time Composition of Sound Environments,"Spiropoulos, Georgia",,2014,Greece
Computational ethnomusicology: a music information retrieval perspective,"Tzanetakis, George",,2014,Greece
Auditory Fusion and Holophonic Musical Texture in Xenakis’s Pithoprakta,"Kokoras, Panayiotis",,2014,Greece
Chronotope: the mutual dependency of time and space in visual music,"Zavada, Ivan",,2014,Greece
Computer Game Piece: Exploring Video Games as Means for Controlled Improvisation,"Jackowski, Dariusz; Melendez, Francho; Bauer, Andrzej; Hendrich, Paweł; Duchnowski, Cezary",,2014,Greece
"Computer, Formalisms, Intuition and Metaphors. A Xenakian and Post-Xenakian Approach","Besada, José L.",,2014,Greece
Contemporary Practices in the Performance and Sustainability of Computer Music Repertoire,"Baguyos, Jeremy C.",,2014,Greece
Could the endless progressions in James Tenney’s music be viewed as sonic koans?,"Féron, François-Xavier",,2014,Greece
Creativity Through Technology And Science In Xenakis,"Paparrigopoulos, Kostas",,2014,Greece
December Variations (on a Theme by Earle Brown),"Hoadley, Richard",,2014,Greece
Degrees of Interpretation in Computer Aided Algorithmic Composition,"Aslan, Jessica",,2014,Greece
Diffusing Diffusion: A History of the Technological Advances in Spatial Performance,"Johnson, Bridget; Norris, Michael; Kapur, Ajay",,2014,Greece
Digitally Extending the Optical Soundtrack,"Dupuis, Alexander; Dominguez, Carlos",,2014,Greece
Easter Eggs: Hidden Tracks and Messages in Musical Mediums,"Weinel, Jonathan; Griffiths, Darryl; Cunningham, Stuart",,2014,Greece
EROTICISM AND TIME IN COMPUTER MUSIC: JULIANA HODKINSON AND NIELS RØNSHOLDT’S FISH & FOWL,"Sofer, Danielle",,2014,Greece
Examining the Analysis of Dynamical Sonic Ecosystems: in Light of a Criterion for Evaluating Theories,"Musick, Michael",,2014,Greece
Expanding the Vocalist’s Role Through the Use of Live Electronics in Real-Time Improvisation,"Åse, Tone",,2014,Greece
Experimence: Considerations for Composing a Rock Song for Interactive Audience Participation,"Hödl, Oliver; Fitzpatrick, Geraldine; Holland, Simon",,2014,Greece
Exploring a Visual/Sonic Representational Continuum,"Vickery, Lindsay",,2014,Greece
